"instanceType","label","id","description","name","uuid:ID"
"Encounter","Screening 1","Encounter_1","Screening encounter","E1","71c15207-b83a-41e3-b3cb-ff3949d4d86a"
"Encounter","Screening 2","Encounter_2","Screening encounter - Ambulatory ECG Placement","E2","317e192e-3afa-40a4-b8a6-05e18c943323"
"Encounter","Baseline","Encounter_3","Baseline encounter - Ambulatory ECG Removal","E3","1048f68a-5a62-433d-a316-2c010a6a3e6f"
"Encounter","Week 2","Encounter_4","Day 14","E4","a2d25a59-3031-49df-9741-a831562e8f66"
"Encounter","Week 4","Encounter_5","Day 28","E5","a88e10ff-5857-4ee6-ac24-6596063be59a"
"Encounter","Week 6","Encounter_6","Day 42","E7","8b7bec81-3fe1-415a-abed-6000d4632e89"
"Encounter","Week 8","Encounter_7","Day 56","E8","0489a81c-f6dd-4648-813a-564a971b0f77"
"Encounter","Week 12","Encounter_8","Day 84","E9","0fdf66dc-049d-4b35-a98e-f3112b464ae8"
"Encounter","Week 16","Encounter_9","Day 112","E10","58165055-1583-4ee1-a12d-09aef67e63a7"
"Encounter","Week 20","Encounter_10","Day 140","E11","1b9637fb-b852-4fdf-9b10-9a9e7879f31b"
"Encounter","Week 24","Encounter_11","Day 168","E12","fc5c74e2-0ebc-44d2-b78d-9eab5fdfc5bb"
"Encounter","Week 26","Encounter_12","Day 182","E13","f8cdd4c5-c0a1-4c30-ba85-fbfc2406e30a"
