"instanceType","label","id","name","synonyms","reference","uuid:ID"
"BiomedicalConcept","Sex","BiomedicalConcept_20","Sex","","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","15928d03-f67e-4973-8f29-348b633eb06b"
"BiomedicalConcept","Race","BiomedicalConcept_21","Race","['Racial Group']","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","0d32eeb4-4469-415d-90a7-4bce540d268b"
"BiomedicalConcept","Temperature","BiomedicalConcept_22","Temperature","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","24fb605a-c2e3-4361-b6a3-47d982655c2f"
"BiomedicalConcept","Weight","BiomedicalConcept_23","Weight","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","cf72d724-7abf-4341-aa77-ef1d41342f51"
"BiomedicalConcept","Height","BiomedicalConcept_24","Height","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","cc2542ad-9b7a-443b-b2b1-1c5f8774b4cf"
"BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_25","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","296eddd2-37f4-466b-9d29-5cbffeffc6fb"
"BiomedicalConcept","Albumin Presence in Urine","BiomedicalConcept_26","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","1942a533-8089-4b79-b098-8034822c34b7"
"BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_27","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","7dec1369-bd17-49b5-bdef-2fdb1df4c990"
"BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_28","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","ad3f6a2b-79e2-4cad-a253-aaba2a49cb60"
"BiomedicalConcept","Creatinine Concentration in Urine","BiomedicalConcept_29","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","2366fd17-9dc6-4fec-9641-efaaf533f662"
"BiomedicalConcept","Potassium Concentration in Urine","BiomedicalConcept_30","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","d02f27c4-886f-423b-abbb-fee75bf5fa6f"
"BiomedicalConcept","Sodium Concentration in Urine","BiomedicalConcept_31","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","14d58824-8677-4109-879a-2559975e34ea"
"BiomedicalConcept","Hemoglobin A1C Concentration in Blood","BiomedicalConcept_32","Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","1c22c4d5-ed31-4802-b0e9-2d01207d0531"
