"instanceType","windowLabel","label","id","value","valueLabel","description","name","windowLower","uuid:ID","windowUpper"
"Timing","","Screening","Timing_1","P2W","2 weeks","Screening timing","TIM1","","8acd2718-ea2e-4b1a-9823-f1407d9a13b7",""
"Timing","-4..0 hours","Pre dose","Timing_2","P2D","2 days","Pre dose timing","TIM2","PT4H","6e210966-f780-4b47-badf-4c82810959be","PT0H"
"Timing","","Dosing","Timing_3","P1D","1 Day","Dosing anchor","TIM3","","39eafebe-ad9f-4a92-abf2-afe46ebd1a42",""
"Timing","-3..3 days","Week 2","Timing_4","P2W","2 Weeks","Week 2 timing","TIM4","P3D","bfed33e8-81ec-4f79-9468-c7b882d09927","P3D"
"Timing","-3..3 days","Week 4","Timing_5","P4W","4 Weeks","Week 4 timing","TIM5","P3D","bd0cbf98-1ddd-4f7b-b698-5c35d925aa54","P3D"
"Timing","-3..3 days","Week 6","Timing_6","P6W","6 Weeks","Week 6 timing","TIM6","P3D","a4a18f6d-f16e-47cc-a5f7-d07f02962a81","P3D"
"Timing","-3..3 days","Week 8","Timing_7","P8W","8 Weeks","Week 8 timing","TIM7","P3D","77515e85-b5c3-4f14-a4e8-f26e99148cda","P3D"
"Timing","-4..4 days","Week 12","Timing_9","P12W","12 Weeks","Week 12 timing","TIM9","P4D","ee29a153-8d8c-4fde-93f6-ffb048be20c0","P4D"
"Timing","-4..4 days","Week 16","Timing_11","P16W","16 Weeks","Week 16 timing","TIM11","P4D","e53d0815-96eb-4cfa-b188-368ed57ec8d9","P4D"
"Timing","-4..4 days","Week 20","Timing_13","P20W","20 Weeks","Week 20 timing","TIM13","P4D","18edae0d-036c-41fe-bcde-c298af5d903d","P4D"
"Timing","-4..4 days","Week 24","Timing_15","P24W","24 Weeks","Week 24 timing","TIM15","P4D","9f5d7943-5420-4df6-ba18-75e55e2f916e","P4D"
"Timing","-3..3 days","Week 26","Timing_16","P26W","26 Weeks","Week 26 timing","TIM16","P3D","3a9ba65c-185b-4bda-934f-bba33b349776","P3D"
"Timing","","Week 8 Home","Timing_8","P2W","2 Weeks","Week 8 at home timing","TIM8","","8f8d825c-f1c6-4d4a-ba88-1ccf41b33ad3",""
"Timing","","Week 12 Home","Timing_10","P2W","2 Weeks","Week 12 at home timing","TIM10","","fdedf651-d1c8-4538-bc9a-50a8aaa910d9",""
"Timing","","Week 16 Home","Timing_12","P2W","2 Weeks","Week 16 at home timing","TIM12","","2fb05d7a-15f9-4034-8368-a9aaa9226000",""
"Timing","","Week 20 Home","Timing_14","P2W","2 Weeks","Week 20 at home timing","TIM14","","090ddb64-40cd-44ed-8d7a-fcd977019dac",""
"Timing","","Adverse Event","Timing_17","P1D","1 Day","Adverse Event","TIM17","","2a358adf-d3f7-4611-bace-66d7b55032b8",""
"Timing","","Early Termination","Timing_18","P1D","1 Day","Early Termination","TIM18","","8fbdd9cc-0398-484d-8228-958c4b1b1e94",""
"Timing","","Supine","Timing_19","PT0M","0 mins","Supine","TIM19","","decc42fd-816a-4600-9619-77e088fb73d8",""
"Timing","","VS while supine","Timing_20","PT5M","5 mins","VS while supine","TIM20","","d62dd238-2de2-49af-bf3f-ff0c52e5a8fe",""
"Timing","","Standing","Timing_21","PT0M","0 min","Standing","TIM21","","bc927a76-32ad-4381-82f7-78fc5fc12550",""
"Timing","","VS while standing","Timing_22","PT1M","1 min","VS while standing","TIM22","","c2cf4105-cf64-4b40-8344-47fe11055c7b",""
"Timing","","Standing","Timing_23","PT0M","0 min","Standing","TIM23","","33c2c21e-5077-43b0-a67b-540199bee0b4",""
"Timing","","VS while standing","Timing_24","PT2M","2 min","VS while standing","TIM24","","1ec86f66-985e-432f-adc4-0225c24765b5",""
