"instanceType","id","text","name","uuid:ID"
"TransitionRule","TransitionRule_1","Subject identifier","ENCOUNTER_START_RULE_1","8c53fa7a-465c-4db1-95b9-c8cd0709ab9a"
"TransitionRule","TransitionRule_2","completion of screening activities","ENCOUNTER_START_RULE_1","58f14ed7-ac2c-4792-8c6f-59afdfab7b8a"
"TransitionRule","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2","9b24e78f-6fb9-4ba0-be89-5e62f1ac30ab"
"TransitionRule","TransitionRule_4","subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3","ad1931d6-c327-44e6-840a-81cadedb983d"
"TransitionRule","TransitionRule_5","Radomized","ENCOUNTER_START_RULE_3","6d9206b3-525f-49c3-ae1b-03b0aa3b9ef5"
"TransitionRule","TransitionRule_6","End of treatment","ENCOUNTER_START_RULE_12","7f8191b7-3903-4242-97f0-a8615fb634f9"
"TransitionRule","TransitionRule_7","Informed consent","ELEMENT_START_RULE_1","1f7ea286-fec6-41b7-92ec-1d43e277b393"
"TransitionRule","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1","3da8d44a-df8c-40d1-904f-bddc4057f90e"
"TransitionRule","TransitionRule_9","Administration of first dose","ELEMENT_START_RULE_2","f48504f7-b0ae-491c-8917-fb0301a63e7b"
"TransitionRule","TransitionRule_14","End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7","59cc57f5-0040-46ed-b0db-cc52f29eb663"
"TransitionRule","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7","8e258cb8-0016-465c-a921-4525fc997700"
"TransitionRule","TransitionRule_10","Administration of first dose","ELEMENT_START_RULE_3","7d4f000f-6abe-4490-90e0-b24d3b2811bd"
"TransitionRule","TransitionRule_11","Randomized","ELEMENT_START_RULE_4","4641921e-c295-4c30-ba1f-1952ba2d418f"
"TransitionRule","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5","a7789ce5-5803-4b89-8914-4c8cc0a6cfc9"
"TransitionRule","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6","ba484c61-5715-4357-bfa7-87e2e65b3604"
