"instanceType","label","purpose","id","text","description","name","uuid:ID"
"Endpoint","","","Endpoint_1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","END1","0db9e05c-fcd5-4a79-888f-94e2f15eb819"
"Endpoint","","","Endpoint_2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","END2","2d3a41cf-0b62-4166-b25e-4ade952b6bbb"
"Endpoint","","","Endpoint_3","Adverse events","","END3","5b7d79ef-e758-447b-a447-1647a9ac1547"
"Endpoint","","","Endpoint_4","Vital signs (weight, standing and supine blood pressure, heart rate)","","END4","54745d9f-0c8c-466c-ab58-678d57b3b53c"
"Endpoint","","","Endpoint_5","Laboratory evaluations (Change from Baseline)","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","END5","6437068c-753a-4bca-bb54-ee0862e36229"
"Endpoint","","","Endpoint_6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","END6","243a99c6-aeb0-42ff-bcc9-668f5f6c65d6"
"Endpoint","","","Endpoint_7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","END7","93a365ba-050c-4c20-8c9a-5ffdd34c8ac6"
"Endpoint","","","Endpoint_8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","END8","49676b8a-098d-4803-83ab-175eb166ce78"
"Endpoint","","","Endpoint_9","*** To be determined from protocol ***","","END9","1651eb74-6081-4219-a38f-c79a1f044c3f"
"Endpoint","","","Endpoint_10","*** To be determined from protocol ***","","END10","7486d0fe-2434-4642-934e-8745f8353ad1"
"Endpoint","","","Endpoint_11","*** To be determined from protocol ***","","END11","0db8531d-8272-4b7f-bcb6-6f6e43b2120c"
