"instanceType","label","id","description","name","uuid:ID"
"ScheduledActivityInstance","Screen One","ScheduledActivityInstance_9","-","SCREEN1","b8b83352-429f-4c26-a3ca-cba89f43fda8"
"ScheduledActivityInstance","Screen Two","ScheduledActivityInstance_10","-","SCREEN2","74415931-474c-4e92-8d8c-aadc5f673eaa"
"ScheduledActivityInstance","Dose","ScheduledActivityInstance_11","-","DOSE","90876c95-b7ee-4df1-b0bf-235a38c9b651"
"ScheduledActivityInstance","Week 2","ScheduledActivityInstance_12","-","WK2","800beeaf-13f6-4efc-a059-a801819e4d9c"
"ScheduledActivityInstance","Week 4","ScheduledActivityInstance_13","-","WK4","107b9175-b399-4ecb-9220-dfe1cc089475"
"ScheduledActivityInstance","Week 6","ScheduledActivityInstance_14","-","WK6","987aab55-21b1-428f-bc8d-47a0ea212df8"
"ScheduledActivityInstance","Week 8","ScheduledActivityInstance_15","-","WK8","92d08c66-32b9-4665-956d-9da24aa77297"
"ScheduledActivityInstance","Week NPI","ScheduledActivityInstance_16","-","WK8N","1fed6f7d-4d36-4e9f-a358-f512a94f9563"
"ScheduledActivityInstance","Week 12","ScheduledActivityInstance_17","-","WK12","82691b40-89f3-48b8-9c10-d8f743edda14"
"ScheduledActivityInstance","Week 12 NPI","ScheduledActivityInstance_18","-","WK12N","10bf3d8d-bdb1-4017-860b-241759ffb339"
"ScheduledActivityInstance","Week 16","ScheduledActivityInstance_19","-","WK16","1c3d3fea-1e42-4d18-ac0c-f1e40f477d41"
"ScheduledActivityInstance","Week 16 NPI","ScheduledActivityInstance_20","-","WK16N","4dd79592-2811-4b4f-bd03-0afe52e3d5f9"
"ScheduledActivityInstance","Week 20","ScheduledActivityInstance_21","-","WK20","64223b01-804c-4815-a983-da6aaaf164e9"
"ScheduledActivityInstance","Week 20 NPI","ScheduledActivityInstance_22","-","WK20N","e765c94f-0605-4003-8e79-f447f80a86ae"
"ScheduledActivityInstance","Week 24","ScheduledActivityInstance_23","-","WK24","f8418436-b4c4-46b3-a45d-c1c7026fa289"
"ScheduledActivityInstance","Week 26","ScheduledActivityInstance_24","-","WK26","c092b0ab-2fb9-425a-918e-be5f1685949a"
"ScheduledActivityInstance","Adevers Event","ScheduledActivityInstance_1","-","AE","66c94f2b-0b26-42a9-ab15-1e52974882c3"
"ScheduledActivityInstance","Early Termination","ScheduledActivityInstance_2","-","ET","45100949-d9b6-43e3-b307-fad05fe60870"
"ScheduledActivityInstance","5 minute supine","ScheduledActivityInstance_3","","VS_5MIN","7d3c5e1c-87c2-4b17-ab24-8acd31755255"
"ScheduledActivityInstance","Vital signs supine","ScheduledActivityInstance_4","","VS_SUPINE","83d5b7d7-59a3-4281-992c-62314bf9c65f"
"ScheduledActivityInstance","1 minute standing","ScheduledActivityInstance_5","","VS_1MIN","6d33f033-ae3e-46c6-8473-a584fb2ba10e"
"ScheduledActivityInstance","Vital signs after 1 min standing","ScheduledActivityInstance_6","","VS_STAND1","ef80e6be-12e5-4403-92e8-03519589a652"
"ScheduledActivityInstance","2 minute standing","ScheduledActivityInstance_7","","VS_2MIN","e5c2fc2d-b7d2-4566-9ef3-0ef66fa8a705"
"ScheduledActivityInstance","Vital signs after 3 min standing","ScheduledActivityInstance_8","","VS_STAND3","db6bd7e1-b1bb-41c0-b3e9-53d4a9de462d"
