"description","instanceType","id","name","purpose","uuid:ID","text","label"
"","Endpoint","Endpoint_1","END1","","dd6c8547-9541-4e85-bc21-c56ca5c131f3","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24",""
"","Endpoint","Endpoint_2","END2","","ce5320f6-ed85-458b-9d17-376b70b03928","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24",""
"","Endpoint","Endpoint_3","END3","","1803a940-d20d-44f4-b816-81d978fcfbfc","Adverse events",""
"","Endpoint","Endpoint_4","END4","","f786d0e0-1f5f-4509-bde7-0320ac7cdb99","Vital signs (weight, standing and supine blood pressure, heart rate)",""
"The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint","Endpoint_5","END5","","92603844-d2b8-4682-abb9-0bd97de16935","Laboratory evaluations (Change from Baseline)",""
"","Endpoint","Endpoint_6","END6","","55194adb-0656-41e4-bc96-ecb4221612a5","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16",""
"","Endpoint","Endpoint_7","END7","","0ff5a466-f7ed-4a48-864b-4395c607bbe4","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16",""
"","Endpoint","Endpoint_8","END8","","b486c693-a9a9-4035-aded-3f25381d3db2","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24",""
"","Endpoint","Endpoint_9","END9","","a9359063-e2a2-4521-a1ee-8ca44766d2fc","*** To be determined from protocol ***",""
"","Endpoint","Endpoint_10","END10","","67404063-8dd2-4123-9abc-8bda12b37a24","*** To be determined from protocol ***",""
"","Endpoint","Endpoint_11","END11","","4499a315-207d-43db-b486-3d45c30fb9ef","*** To be determined from protocol ***",""
