"isEnabled","instanceType","id","isRequired","datatype","name","uuid:ID","label"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_116","True","text","DSDECOD","243fe217-1c2f-49c2-a22a-d6f8a0c1c127","DSDECOD"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_117","True","text","DSTERM","72313d0a-505f-4ed3-b93f-da4288bcd59c","DSTERM"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_118","True","datetime","DSSTDTC","7186d904-bfdc-46cd-a27b-5e34aa7fd96e","DSSTDTC"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_119","True","string","Sex","7357eedf-6598-4749-a6c2-19f0ce040326","Sex"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_120","True","string","Race","67c4cd32-88a3-4ec5-a8e3-5bec18f01887","Race"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_121","True","","VSTESTCD","aed834cc-c427-4918-a337-45fd0343ff43","VSTESTCD"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_122","True","float","VSORRES","f0746131-f883-49f7-b17c-ff6c1619f77a","VSORRES"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_123","True","","VSORRESU","3cb2a511-4e8d-4382-9ff2-1b412b8bf1bb","VSORRESU"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_124","True","","VSLOC","53129769-dfff-4aa5-a036-f50d6994fd66","VSLOC"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_125","True","","VSTESTCD","f7c225d4-9d1c-4016-bc5d-78313d214616","VSTESTCD"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_126","True","float","VSORRES","05d631ec-4688-4311-87c1-a95ca80f3bbd","VSORRES"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_127","True","","VSORRESU","709ad678-eeb1-4248-8a85-8650cfa0c68f","VSORRESU"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_128","True","","VSTESTCD","8c43d928-184a-4db1-b831-f330adedb79b","VSTESTCD"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_129","True","float","VSORRES","80169bf8-8f43-45ad-9e18-762a61f6d64e","VSORRES"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_130","True","","VSORRESU","07ca7a5e-2f9c-4fcf-8240-42d391af193b","VSORRESU"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_131","True","","LBTESTCD","cd717440-5c3a-4969-aa18-37663322ef04","LBTESTCD"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_132","True","float","LBORRES","8bcf0ef8-b214-4932-ae93-89d3b9ae7e5b","LBORRES"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_133","True","","LBORRESU","76027759-d04a-4473-b3ed-5d770e4cc537","LBORRESU"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_134","True","","LBSPEC","12ef2ff3-d785-4078-9ad7-3386ac900f1f","LBSPEC"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_135","True","","LBFAST","49d3d497-44d3-40f0-adf9-d65151a80289","LBFAST"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_136","True","","LBTESTCD","d8a2c4bc-fb9b-406b-876f-32850bfc2ff9","LBTESTCD"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_137","True","text","LBORRES","1f30f54d-b7f3-4af2-be51-4a1ee8df7cef","LBORRES"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_138","True","","LBSPEC","6f9dd182-a073-40f2-9e4d-df524921689d","LBSPEC"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_139","True","","LBFAST","541e2e7a-896e-4fd5-bc64-30ef7421f397","LBFAST"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_140","True","","LBTESTCD","81871ca2-a54d-4c85-9565-009540a446f1","LBTESTCD"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_141","True","float","LBORRES","a64176fc-2683-4469-800e-a4f1cda66c5b","LBORRES"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_142","True","","LBORRESU","87c1910e-7297-4d68-8fc2-9a39a01c6457","LBORRESU"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_143","True","","LBSPEC","33257e19-9b6a-4ae6-8256-7097cdfbc902","LBSPEC"
"True","BiomedicalConceptProperty","BiomedicalConceptProperty_144","True","","LBFAST","59ec7faf-acfc-434b-bc8c-e3456da9d5f8","LBFAST"
