"description","instanceType","id","name","uuid:ID","label"
"-","ScheduledActivityInstance","ScheduledActivityInstance_9","SCREEN1","714045a7-1d36-4d40-bd02-181a7e31473e","Screen One"
"-","ScheduledActivityInstance","ScheduledActivityInstance_10","SCREEN2","166dbc7b-ff67-4433-9fa0-fe79c81823f5","Screen Two"
"-","ScheduledActivityInstance","ScheduledActivityInstance_11","DOSE","81261977-98c4-4e98-88f7-3b87479fe30e","Dose"
"-","ScheduledActivityInstance","ScheduledActivityInstance_12","WK2","4325dbdf-7b58-4054-9d27-d69d1a10f6df","Week 2"
"-","ScheduledActivityInstance","ScheduledActivityInstance_13","WK4","d7e5a206-8f20-44ca-a197-ed363a73a74e","Week 4"
"-","ScheduledActivityInstance","ScheduledActivityInstance_14","WK6","6ce35d66-fd45-4b97-9802-4ac8dc9cef07","Week 6"
"-","ScheduledActivityInstance","ScheduledActivityInstance_15","WK8","3bfdab4f-d85d-4fe2-9a5e-75eb1a048c7c","Week 8"
"-","ScheduledActivityInstance","ScheduledActivityInstance_16","WK8N","224b12f3-f35f-449a-9653-cf0d83414915","Week NPI"
"-","ScheduledActivityInstance","ScheduledActivityInstance_17","WK12","d20eaf7b-1930-44ae-ac17-4db97240d754","Week 12"
"-","ScheduledActivityInstance","ScheduledActivityInstance_18","WK12N","4accbbe0-4141-4eab-bc17-57b421941e70","Week 12 NPI"
"-","ScheduledActivityInstance","ScheduledActivityInstance_19","WK16","94b16281-d0f4-4e11-a3eb-262928a50835","Week 16"
"-","ScheduledActivityInstance","ScheduledActivityInstance_20","WK16N","5de94d76-7363-4612-88ef-8fa2936c5f0a","Week 16 NPI"
"-","ScheduledActivityInstance","ScheduledActivityInstance_21","WK20","b2a4480a-0d38-4902-b422-50429117d592","Week 20"
"-","ScheduledActivityInstance","ScheduledActivityInstance_22","WK20N","c7d45121-5a47-4441-9384-ed023e52600c","Week 20 NPI"
"-","ScheduledActivityInstance","ScheduledActivityInstance_23","WK24","d4bc741e-b2c0-4072-897c-70ec8e19a8de","Week 24"
"-","ScheduledActivityInstance","ScheduledActivityInstance_24","WK26","7b00763c-ba83-411e-a057-655d7811b2b6","Week 26"
"-","ScheduledActivityInstance","ScheduledActivityInstance_1","AE","8952af2c-22a7-4e4c-9997-47ceea979408","Adevers Event"
"-","ScheduledActivityInstance","ScheduledActivityInstance_2","ET","490d0d9f-d04c-4f92-8a93-14836a8584fd","Early Termination"
"","ScheduledActivityInstance","ScheduledActivityInstance_3","VS_5MIN","8b7bbad8-89f2-4c4b-8999-c93f58a43e3c","5 minute supine"
"","ScheduledActivityInstance","ScheduledActivityInstance_4","VS_SUPINE","123d0bba-e9ba-419f-b314-c703a9e898ae","Vital signs supine"
"","ScheduledActivityInstance","ScheduledActivityInstance_5","VS_1MIN","b42a1344-4e72-4e65-8d37-af032f4dae24","1 minute standing"
"","ScheduledActivityInstance","ScheduledActivityInstance_6","VS_STAND1","0226028d-599c-4dad-b231-1bb54d03800d","Vital signs after 1 min standing"
"","ScheduledActivityInstance","ScheduledActivityInstance_7","VS_2MIN","4cb6d588-2234-4673-ad65-a4715c178a2c","2 minute standing"
"","ScheduledActivityInstance","ScheduledActivityInstance_8","VS_STAND3","3baac16e-e22f-411b-a67b-e96dcf8fc035","Vital signs after 3 min standing"
