"description","instanceType","id","name","uuid:ID","label"
"","Activity","Activity_1","Informed consent","30da1bf6-ba01-40bd-9016-1a3391170b86","Informed consent"
"","Activity","Activity_2","Inclusion/exclusion criteria","0ee888f0-f9a5-425a-902b-1c703b9a6465","Inclusion and exclusion criteria"
"","Activity","Activity_3","Patient number assigned","0c85bf55-eb44-4453-bc64-eafa86d5dae9","Patient number assigned"
"","Activity","Activity_4","Demographics","e45f829b-2339-4a04-96a7-52e17b88f5ff","Demographics"
"","Activity","Activity_5","Hachinski","eeb67408-4476-47bf-aa0f-0c557215ec20","Hachinski Ischemic Scale"
"","Activity","Activity_6","MMSE","0416ab1a-48ec-45fd-82ce-106e46684642","MMSE"
"","Activity","Activity_7","Physical examination","08f02fcb-b76c-467d-aac6-3ad6c91b6548","Physical examination"
"","Activity","Activity_8","Medical history","841c1980-868e-41b6-9304-22d209d15f6a","Medical history"
"","Activity","Activity_9","Habits","36b65a71-8950-4588-93c1-9eca129a4edd","Habits"
"","Activity","Activity_10","Chest X-ray","9cc7f15f-9cb0-413b-9167-b6b9d763a823","Chest X-ray"
"","Activity","Activity_11","Apo E genotyping","26ea44ad-956e-4ed7-85cc-887ceee6d64e","Apo E genotyping"
"","Activity","Activity_12","Patient randomised","8476a460-3926-4cdf-946e-be65b9a8a232","Patient randomised"
"","Activity","Activity_13","Vital signs / Temperature","6e950458-07ca-42a1-9b3e-3fc4472ecbcd","Vital Signs and Temperature"
"","Activity","Activity_14","Ambulatory ECG placed","1cb227e2-0d27-41a5-854a-4c5e9e1e32b9","Ambulatory ECG placed"
"","Activity","Activity_15","Ambulatory ECG removed","3866eb3d-db7e-42f2-afdd-fd9b115a674e","Ambulatory ECG removed"
"","Activity","Activity_16","ECG","c67fd424-5701-4999-94db-16ac2467a344","ECG"
"","Activity","Activity_17","Placebo TTS test","cc9a0232-a9a1-4d36-bc03-886dd6cfc8bd","Placebo TTS test"
"","Activity","Activity_18","CT scan","96d851e2-48ec-484a-8996-bc1fce8782cc","CT scan"
"","Activity","Activity_19","Concomitant medications","3b8c7c76-506f-4cd5-a9d2-7ea8c3633081","Concomitant medications"
"","Activity","Activity_20","Hematology","c2476c62-da4b-4d89-8996-5cb8e3b78e66","Hematology"
"","Activity","Activity_21","Chemistry","a554b819-d8df-435d-9919-85963837e886","Chemistry"
"","Activity","Activity_22","Uninalysis","ee232ec2-4d71-4ea1-9a6e-45106ca62ce3","Uninalysis"
"","Activity","Activity_23","Plasma Specimen (Xanomeline)","4e78dbfa-f298-4e63-ba71-2cc1bbfc25e7","Plasma Specimen (Xanomeline)"
"","Activity","Activity_24","Hemoglobin A1C","cd9cf251-223c-443a-bf2f-5ec3c872d75a","Hemoglobin A1C"
"","Activity","Activity_25","Study drug","35f80aa7-d5c3-4cd5-9b37-4584e7d15011","Study drug record , Medications dispensed, Medications returned"
"","Activity","Activity_26","TTS Acceptability Survey","951a94a1-c016-47f4-b4b4-2698f2c17c54","TTS Acceptability Survey"
"","Activity","Activity_27","ADAS-Cog","175ce518-3c79-47ec-a30b-6888a9137fc4","ADAS-Cog"
"","Activity","Activity_28","CIBIC+","49a7bfbc-4757-417c-aa3a-df4a4856d8a1","CIBIC+"
"","Activity","Activity_29","DAD","9996f9d1-3aa4-4d87-a6a7-027c893adc00","DAD"
"","Activity","Activity_30","NPI-X","80952d0d-cea7-47c9-a1f8-d98abcd3dbf8","NPI-X"
"","Activity","Activity_31","Adverse events","b6a38878-fa91-45e6-83d7-622971bad93e","Adverse events"
"","Activity","Activity_32","Check adverse events","e9cda2e7-82e7-4354-bf9e-bd00f81199f9","Check adverse events"
"","Activity","Activity_33","Supine","f01c0c6f-be65-4838-98ab-d5e2e89e0c33","Subject supine"
"","Activity","Activity_34","Vital Signs Supine","94b022d6-078d-4346-88e8-b802809f16da","Vital signs while supine"
"","Activity","Activity_35","Stand","96511ee1-a45e-439c-9a50-4be031833d6f","Subject Standing"
"","Activity","Activity_36","Vital Signs Standing","92b88b6d-0b5b-4db2-a126-c44e3169e9c3","Vital signs while standing"
