"description","instanceType","id","name","uuid:ID","label"
"Screening encounter","Encounter","Encounter_1","E1","119565af-06ca-4388-8be3-17a8a696f9d4","Screening 1"
"Screening encounter - Ambulatory ECG Placement","Encounter","Encounter_2","E2","82cf937a-0260-4423-8557-e99183b2e6a8","Screening 2"
"Baseline encounter - Ambulatory ECG Removal","Encounter","Encounter_3","E3","e5e924f0-28d4-4da7-a34b-853509663e16","Baseline"
"Day 14","Encounter","Encounter_4","E4","666804c3-8ede-406e-8ea9-1fcec7f5acb3","Week 2"
"Day 28","Encounter","Encounter_5","E5","994b78aa-27b3-43b2-8277-f5f321e618d2","Week 4"
"Day 42","Encounter","Encounter_6","E7","19214e75-893c-42ba-b880-b5cebf3cd9e4","Week 6"
"Day 56","Encounter","Encounter_7","E8","184d56a3-c542-4c9a-9c4c-d4d2193203a7","Week 8"
"Day 84","Encounter","Encounter_8","E9","ce268f76-12cc-48f9-ae47-df60c406c978","Week 12"
"Day 112","Encounter","Encounter_9","E10","8971f7bb-e570-46b8-b167-9f5558a93c15","Week 16"
"Day 140","Encounter","Encounter_10","E11","04348883-1325-4e73-990a-236c2e55fa8b","Week 20"
"Day 168","Encounter","Encounter_11","E12","97cb15c0-450f-49fc-acaf-f00391f9356f","Week 24"
"Day 182","Encounter","Encounter_12","E13","022bf174-cbca-43cf-b43a-1e95fff62b9e","Week 26"
