"instanceType","id","reference","name","uuid:ID","synonyms","label"
"BiomedicalConcept","BiomedicalConcept_20","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","Informed Consent Obtained","716815b2-3005-4ea7-8c87-1cb26282bd97","['Informed Consent Obtained', 'Informed Consent']","Informed Consent Obtained"
"BiomedicalConcept","BiomedicalConcept_21","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","Sex","5d93a970-8714-4bb1-a856-2ecf9ccd1c39","","Sex"
"BiomedicalConcept","BiomedicalConcept_22","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","Race","e97e809e-f84c-4147-9746-b0b260b9a691","['Racial Group']","Race"
"BiomedicalConcept","BiomedicalConcept_23","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","Temperature","7291643b-4836-4308-9ead-e9a53767c3b9","['Temperature', 'Body Temperature']","Temperature"
"BiomedicalConcept","BiomedicalConcept_24","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","Weight","e7dbdb27-444c-4593-90e0-f748eb137ee7","['Weight', 'Body Weight']","Weight"
"BiomedicalConcept","BiomedicalConcept_25","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","Height","0b472f0b-657c-462f-9e8b-0c9fbeb880d3","['Height', 'Body Height']","Height"
"BiomedicalConcept","BiomedicalConcept_26","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","Alanine Aminotransferase Concentration in Serum/Plasma","ee6f9de6-a203-4409-8180-34feceddb72b","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma"
"BiomedicalConcept","BiomedicalConcept_27","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","Albumin Presence in Urine","22c35603-72be-483a-ac1d-5f79bf282e06","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine"
"BiomedicalConcept","BiomedicalConcept_28","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","Alkaline Phosphatase Concentration in Serum/Plasma","7ee5a535-c897-4c66-b071-1357ffaf67ac","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma"
"BiomedicalConcept","BiomedicalConcept_29","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","Aspartate Aminotransferase in Serum/Plasma","1958bae7-a7dd-4e7c-891e-1b62cbf486e0","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma"
"BiomedicalConcept","BiomedicalConcept_30","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","Creatinine Concentration in Urine","1eee7d67-c930-4d7b-85b5-708f0f603f98","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine"
"BiomedicalConcept","BiomedicalConcept_31","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","Potassium Concentration in Urine","6ca6a2ab-8f26-40d2-b237-3c43d999eec6","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine"
