"instanceType","id","code","codeSystemVersion","decode","uuid:ID","codeSystem"
"Code","Code_1","C98388","2023-12-15","Interventional Study","6542d14b-9a93-4f7b-b06c-716f3c718380","http://www.cdisc.org"
"Code","Code_2","C15601","2023-12-15","Phase II Trial","a79cd080-9dfa-42b6-a3b4-fef098a3a9d8","http://www.cdisc.org"
"Code","Code_9","C132352","2023-12-15","Sponsor Approval Date","b83974a1-e995-41f0-87b5-c771853ad4e7","http://www.cdisc.org"
"Code","Code_10","C68846","2023-12-15","Global","e2d27c3f-4b47-4d7f-b809-2579aeb11dbf","http://www.cdisc.org"
"Code","Code_72","C99904x3","2023-12-15","IRB/IEC Feedback","0d023990-2ec9-4349-97cd-fd53a1ecebe3","http://www.cdisc.org"
"Code","Code_73","C17649","2023-12-15","Other","b6114ec3-3802-4831-8d56-92961ae4c641","http://www.cdisc.org"
"Code","Code_75","C41129","2023-12-15","Region","3c1220ba-32d1-47e4-9ccb-d77c52de72b8","http://www.cdisc.org"
"Code","Code_74","150","2020-08","Europe","4a88648a-de32-4308-9dab-57f8dfe92838","ISO 3166 1 alpha3"
"Code","Code_4","PHARMA","12","Eli Lilly","c1abaab9-cc64-474d-aef0-4fd4a2f1c880","SPONSOR"
"Code","Code_76","C70793","2023-12-15","Clinical Study Sponsor","89193e63-076b-410b-ad8a-6a1f9b7002b5","http://www.cdisc.org"
"Code","Code_77","USA","2020-08","United States of America","24d30a42-9e34-4acf-a02f-decaac67b59c","ISO 3166 1 alpha3"
"Code","Code_78","C93453","2023-12-15","Study Registry","bce9098b-4be6-49b6-9fb5-4e62eb2801cf","http://www.cdisc.org"
"Code","Code_79","USA","2020-08","United States of America","8d623e0d-725a-4b8a-95c8-c476aaffac69","ISO 3166 1 alpha3"
"Code","Code_137","C49656","2023-12-15","Treatment Study","550a90e1-9ade-494d-aa4c-c85739b5c3e3","http://www.cdisc.org"
"Code","Code_138","C49666","2023-12-15","Efficacy Study","93b9ec3f-72e9-4edd-83a1-58086d9a7a96","http://www.cdisc.org"
"Code","Code_139","C49667","2023-12-15","Safety Study","692a43f7-c945-4ee0-b215-3546f507af9c","http://www.cdisc.org"
"Code","Code_140","C49663","2023-12-15","Pharmacokinetic Study","86f28ce7-a0e2-4d91-9433-6ee66ea2befd","http://www.cdisc.org"
"Code","Code_134","MILD_MOD_ALZ","12","Mild to Moderate Alzheimer's Disease","b555fdb9-499a-49a5-89b3-05cd7115aa5d","SPONSOR"
"Code","Code_135","26929004","January 31, 2018","Alzheimer's disease","51db1b95-9f0a-4e8d-9d76-159cfa81c696","SNOMED"
"Code","Code_143","C99907x1","2023-12-15","EXTENSION","2f72506f-ee9e-48d8-9900-c972f559bad1","http://www.cdisc.org"
"Code","Code_144","C98704","2023-12-15","ADAPTIVE","c2c72d25-e482-4dc8-aeae-95bf62067b98","http://www.cdisc.org"
"Code","Code_141","C82639","2023-12-15","Parallel Study","3c35b268-dd7d-468f-ac2a-bf5c21e2766f","http://www.cdisc.org"
"Code","Code_83","C25716","2023-12-15","Visit","3268a7fe-611b-475e-a3d3-168d5c275c30","http://www.cdisc.org"
"Code","Code_84","C51282","2023-12-15","Clinic","838100e3-b57a-4d07-ad55-fc5bdf6d32ef","http://www.cdisc.org"
"Code","Code_85","C175574","2023-12-15","In Person","9162da8a-e181-4feb-8d5d-e01c9be3b1e1","http://www.cdisc.org"
"Code","Code_86","C25716","2023-12-15","Visit","49c9f4cf-ba79-4739-8ccb-3322527fdefc","http://www.cdisc.org"
"Code","Code_87","C51282","2023-12-15","Clinic","edbc716d-7ea1-4513-a44c-9407de56f28f","http://www.cdisc.org"
"Code","Code_88","C175574","2023-12-15","In Person","ddbae53b-28a0-4c5c-85cc-7e45a1f1c6f8","http://www.cdisc.org"
"Code","Code_89","C25716","2023-12-15","Visit","3a2f423a-9398-4e2e-872e-3034d4b45560","http://www.cdisc.org"
"Code","Code_90","C51282","2023-12-15","Clinic","b031a88a-6254-42d4-9926-7100f59675c8","http://www.cdisc.org"
"Code","Code_91","C175574","2023-12-15","In Person","d332143d-d0bd-45d1-bb54-7b73a3656382","http://www.cdisc.org"
"Code","Code_92","C25716","2023-12-15","Visit","6a8b02f6-6e85-4ee2-aec1-c771ca4cf8b6","http://www.cdisc.org"
"Code","Code_93","C51282","2023-12-15","Clinic","773afde7-d7bf-4f98-af94-aac29a9f3108","http://www.cdisc.org"
"Code","Code_94","C175574","2023-12-15","In Person","e995a99e-51db-4ed6-af14-8c3969ae874b","http://www.cdisc.org"
"Code","Code_95","C25716","2023-12-15","Visit","c9fe0b6c-0c97-46fd-86db-32e031331eb6","http://www.cdisc.org"
"Code","Code_96","C51282","2023-12-15","Clinic","fc503710-b3e7-4e3a-83e5-8fb146faabdd","http://www.cdisc.org"
"Code","Code_97","C175574","2023-12-15","In Person","44c63f2b-d954-428d-9085-bae909483958","http://www.cdisc.org"
"Code","Code_98","C25716","2023-12-15","Visit","b8dc1164-9dd8-488f-850c-1cafb6ee83c9","http://www.cdisc.org"
"Code","Code_99","C51282","2023-12-15","Clinic","fa7f89f6-bac7-41b3-89b4-0ce6bbb51b57","http://www.cdisc.org"
"Code","Code_100","C175574","2023-12-15","In Person","3e4c1b2f-627a-43e4-a107-ec2262b70719","http://www.cdisc.org"
"Code","Code_101","C25716","2023-12-15","Visit","c35b5627-1e52-46a6-879b-d7558ff11470","http://www.cdisc.org"
"Code","Code_102","C51282","2023-12-15","Clinic","1a985c54-65fe-4401-97fe-0c6f5ffa80f9","http://www.cdisc.org"
"Code","Code_103","C175574","2023-12-15","In Person","1a1937ca-36f2-425f-979f-b3312141798c","http://www.cdisc.org"
"Code","Code_104","C171537","2023-12-15","Telephone Call","3ee4cecc-169a-43c1-a25d-bb8be926a669","http://www.cdisc.org"
"Code","Code_105","C25716","2023-12-15","Visit","e8a8bacf-7707-451e-8b40-1a38aeaafc0f","http://www.cdisc.org"
"Code","Code_106","C51282","2023-12-15","Clinic","dbd04dcb-a103-4ea2-99f1-68357ee843e4","http://www.cdisc.org"
"Code","Code_107","C175574","2023-12-15","In Person","a34a2c82-9bf8-45bc-ba0a-981a4ac01336","http://www.cdisc.org"
"Code","Code_108","C171537","2023-12-15","Telephone Call","64072c75-d516-4177-b6a4-fadc3d966a2c","http://www.cdisc.org"
"Code","Code_109","C25716","2023-12-15","Visit","2700f57d-0671-46d4-ae60-836910173bb5","http://www.cdisc.org"
"Code","Code_110","C51282","2023-12-15","Clinic","ca157178-4d0e-49e2-8d9f-81f14f70b69c","http://www.cdisc.org"
"Code","Code_111","C175574","2023-12-15","In Person","d72e2279-8e38-4b91-8c06-cecbe1470524","http://www.cdisc.org"
"Code","Code_112","C171537","2023-12-15","Telephone Call","705f02b2-b7dc-4c8c-946d-f0450aa1b812","http://www.cdisc.org"
"Code","Code_113","C25716","2023-12-15","Visit","8dbd12e2-f7dc-48f3-816a-4d94a847542c","http://www.cdisc.org"
"Code","Code_114","C51282","2023-12-15","Clinic","c9dc6b2f-2e8d-41a9-a850-83a3846f2932","http://www.cdisc.org"
"Code","Code_115","C175574","2023-12-15","In Person","0b30ef26-5f62-4248-b4dc-6c03196be47b","http://www.cdisc.org"
"Code","Code_116","C171537","2023-12-15","Telephone Call","b8fe207d-f125-4374-aa2a-e11fcd5f3418","http://www.cdisc.org"
"Code","Code_117","C25716","2023-12-15","Visit","4aef1577-9999-4a7f-880a-e5f1b954992d","http://www.cdisc.org"
"Code","Code_118","C51282","2023-12-15","Clinic","73212660-c34f-4c36-8acd-4e0c6673b346","http://www.cdisc.org"
"Code","Code_119","C175574","2023-12-15","In Person","32c4788d-8735-44cb-b318-9c7c2805a8fc","http://www.cdisc.org"
"Code","Code_120","C25716","2023-12-15","Visit","adf8a3fc-efa9-43ba-abae-b40971db681b","http://www.cdisc.org"
"Code","Code_121","C51282","2023-12-15","Clinic","4c6c4103-40cc-4b30-af2c-9653c2a943e3","http://www.cdisc.org"
"Code","Code_122","C175574","2023-12-15","In Person","7d351192-b916-4dce-bd66-190b5b7ee33d","http://www.cdisc.org"
"Code","Code_80","383371000119108","January 31, 2018","CT of head without contrast","6eb449eb-0444-4fde-aa5a-2f7ec8306d4f","SNOMED"
"Code","Code_81","123","12","Subject Supine","86644383-7575-48fb-805b-f6c7d62fcb04","SPONSOR"
"Code","Code_82","124","12","Subject Standing","088d1ef7-71a0-4838-90fc-ab837228c218","SPONSOR"
"Code","Code_429","C82977","2023-12-15","Dictionary-derived Term","32910014-11f4-47cd-9b66-5574b30ff98d","http://www.cdisc.org"
"Code","Code_430","C82571","2023-12-15","Reported Event Term","f7370122-d5fe-4deb-b0f5-f318fedf48a7","http://www.cdisc.org"
"Code","Code_431","C82517","2023-12-15","Observation Start Date Time","761a7cae-0c3b-4751-a395-9a28d6f3b31e","http://www.cdisc.org"
"Code","Code_432","C16735","2023-12-15","Informed Consent","6d1b27d3-57f4-4e51-b28b-c5725e891105","http://www.cdisc.org"
"Code","Code_433","C20197","2023-12-15","Male","64c82f39-5553-4418-8008-affa79e389fb","http://www.cdisc.org"
"Code","Code_434","C16576","2023-12-15","Female","6c20326e-586a-434d-b307-89968512af79","http://www.cdisc.org"
"Code","Code_435","C28421","2023-12-15","Sex","5a2b990d-6d1a-464c-80f3-0d22114ff530","http://www.cdisc.org"
"Code","Code_436","C28421","2023-12-15","Sex","9041203c-79c5-4497-a29c-e8fcc0b657f1","http://www.cdisc.org"
"Code","Code_437","C17049","2023-12-15","Race","fcab8bbd-babf-48dd-b654-ff2dea39bc11","http://www.cdisc.org"
"Code","Code_438","C17049","2023-12-15","Race","fba588d2-3ec8-4fd2-ac40-b80b83b26490","http://www.cdisc.org"
"Code","Code_439","C174446","2023-12-15","TEMP","bd99c797-bbad-4107-ad2c-5d45e9464749","http://www.cdisc.org"
"Code","Code_440","C77140","2023-12-15","Clinical Test Result","65caa6c1-10fa-45d7-b786-d0cf01b2434c","http://www.cdisc.org"
