"windowLower","description","instanceType","id","valueLabel","windowLabel","name","windowUpper","uuid:ID","value","label"
"","Screening timing","Timing","Timing_1","2 weeks","","TIM1","","ad807e25-1ba7-4ef7-9103-028ea9e7d927","P2W","Screening"
"PT4H","Pre dose timing","Timing","Timing_2","2 days","-4..0 hours","TIM2","PT0H","c4d30e4d-be12-47fd-9494-e25f55fb5de3","P2D","Pre dose"
"","Dosing anchor","Timing","Timing_3","1 Day","","TIM3","","c9640a6b-4198-4fb5-ad1b-683e122a310c","P1D","Dosing"
"P3D","Week 2 timing","Timing","Timing_4","2 Weeks","-3..3 days","TIM4","P3D","a27fc8a0-0016-4428-8b55-35aa2f004f74","P2W","Week 2"
"P3D","Week 4 timing","Timing","Timing_5","4 Weeks","-3..3 days","TIM5","P3D","9ee57655-0851-4b8a-b928-26a4dcefb49e","P4W","Week 4"
"P3D","Week 6 timing","Timing","Timing_6","6 Weeks","-3..3 days","TIM6","P3D","8a37d738-b6bc-41b2-baef-4a79d91b8572","P6W","Week 6"
"P3D","Week 8 timing","Timing","Timing_7","8 Weeks","-3..3 days","TIM7","P3D","fa447dba-e482-4c6e-9752-e8663f76fe9f","P8W","Week 8"
"P4D","Week 12 timing","Timing","Timing_9","12 Weeks","-4..4 days","TIM9","P4D","e5fb2c36-6665-4d9d-bd59-ba8dd2e47b2e","P12W","Week 12"
"P4D","Week 16 timing","Timing","Timing_11","16 Weeks","-4..4 days","TIM11","P4D","219053ba-5ac6-4fe3-8e0e-f66523513e1f","P16W","Week 16"
"P4D","Week 20 timing","Timing","Timing_13","20 Weeks","-4..4 days","TIM13","P4D","cda45a03-b71b-4c94-98c1-c3c787cd805c","P20W","Week 20"
"P4D","Week 24 timing","Timing","Timing_15","24 Weeks","-4..4 days","TIM15","P4D","ce595b95-fd50-4100-89d1-af6649b7cd45","P24W","Week 24"
"P3D","Week 26 timing","Timing","Timing_16","26 Weeks","-3..3 days","TIM16","P3D","921f4566-d3d6-4ab0-9c5d-59ec54c676fa","P26W","Week 26"
"","Week 8 at home timing","Timing","Timing_8","2 Weeks","","TIM8","","e86f1d55-3b97-4e13-9028-0c74de53f734","P2W","Week 8 Home"
"","Week 12 at home timing","Timing","Timing_10","2 Weeks","","TIM10","","0ab7d7e6-5ed3-4964-ad58-4c6056e61811","P2W","Week 12 Home"
"","Week 16 at home timing","Timing","Timing_12","2 Weeks","","TIM12","","aad2b7ad-8eed-4726-9edd-c42f68f9a80a","P2W","Week 16 Home"
"","Week 20 at home timing","Timing","Timing_14","2 Weeks","","TIM14","","113a2054-5930-4199-9389-49a97770afbf","P2W","Week 20 Home"
"","Adverse Event","Timing","Timing_17","1 Day","","TIM17","","4bf05d32-4dc4-471e-8f7a-48f0fed633a8","P1D","Adverse Event"
"","Early Termination","Timing","Timing_18","1 Day","","TIM18","","9751fa69-5edb-44fd-87fe-28b44433d498","P1D","Early Termination"
"","Supine","Timing","Timing_19","0 mins","","TIM19","","2246b942-6f6b-4d0e-be22-8fb5ab580693","PT0M","Supine"
"","VS while supine","Timing","Timing_20","5 mins","","TIM20","","421fe16f-520a-4e8a-b71c-d35228e195de","PT5M","VS while supine"
"","Standing","Timing","Timing_21","0 min","","TIM21","","2ce5acb1-8c5a-417c-9c1c-3447a1b7e125","PT0M","Standing"
"","VS while standing","Timing","Timing_22","1 min","","TIM22","","809d5de2-acdc-4ff0-bdd0-9288db808c82","PT1M","VS while standing"
"","Standing","Timing","Timing_23","0 min","","TIM23","","20d5fa62-9183-4460-9c8f-0af637721262","PT0M","Standing"
"","VS while standing","Timing","Timing_24","2 min","","TIM24","","412ffc6a-c38b-4cc7-9f7d-8d3b37f220cb","PT2M","VS while standing"
