"instanceType","id","name","uuid:ID","text"
"TransitionRule","TransitionRule_1","ENCOUNTER_START_RULE_1","f6af3297-af49-467f-9ae2-5165ae52a6b8","Subject identifier"
"TransitionRule","TransitionRule_2","ENCOUNTER_START_RULE_1","8414e2f2-5382-48dd-8432-a07738b35461","completion of screening activities"
"TransitionRule","TransitionRule_3","ENCOUNTER_START_RULE_2","158ac600-2c97-44d9-b3df-cd603eee14dc","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule","TransitionRule_4","ENCOUNTER_START_RULE_3","5a51d09f-be49-49b4-acd0-7b2725c0599d","subject has connection of ambulatory ECG machine removed"
"TransitionRule","TransitionRule_5","ENCOUNTER_START_RULE_3","18316798-731f-4c67-a03d-839eada169bb","Radomized"
"TransitionRule","TransitionRule_6","ENCOUNTER_START_RULE_12","98fdcaa7-61f6-459c-b14f-57f75db4bbfa","End of treatment"
"TransitionRule","TransitionRule_7","ELEMENT_START_RULE_1","03f6e5bc-738a-4de6-923c-d89c44028da2","Informed consent"
"TransitionRule","TransitionRule_8","ELEMENT_END_RULE_1","3967d98f-e04b-4199-b2dc-44efd335f9a9","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule","TransitionRule_9","ELEMENT_START_RULE_2","2adf6bca-1ab9-432d-aa67-02118202f4c4","Administration of first dose"
"TransitionRule","TransitionRule_14","ELEMENT_START_RULE_7","74bc026d-0528-4896-8d5b-fd21d5a7cb2a","End of last scheduled visit on study (including early termination)"
"TransitionRule","TransitionRule_15","ELEMENT_END_RULE_7","3ef41b43-6ada-43f8-90eb-2c874d2c3885","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule","TransitionRule_10","ELEMENT_START_RULE_3","d3480b02-4e3a-4613-adfc-3ed3dfd7683d","Administration of first dose"
"TransitionRule","TransitionRule_11","ELEMENT_START_RULE_4","549ce264-fafa-4aee-8058-2498fabcf59a","Randomized"
"TransitionRule","TransitionRule_12","ELEMENT_START_RULE_5","b91d980e-63d3-47ab-b839-ddaebf7db7d3","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule","TransitionRule_13","ELEMENT_START_RULE_6","b9a6b7fe-5a9a-412d-828c-072df82ad187","Administration of first dose (from patches supplied at Visit 12)"
