"id","uuid:ID","text","instanceType","name"
"TransitionRule_1","1f9e2e46-fe20-44f0-829d-cb0d30a4355c","Subject identifier","TransitionRule","ENCOUNTER_START_RULE_1"
"TransitionRule_2","0c1ef18f-4428-4468-bd03-0432911ee7bf","completion of screening activities","TransitionRule","ENCOUNTER_START_RULE_1"
"TransitionRule_3","08fae7dc-3b85-46e2-bf6a-d0b95541a2b0","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule","ENCOUNTER_START_RULE_2"
"TransitionRule_4","3a760592-69d6-4410-84d7-f0d79248c682","subject has connection of ambulatory ECG machine removed","TransitionRule","ENCOUNTER_START_RULE_3"
"TransitionRule_5","5bcc3a78-fdd9-4fce-88ab-d4bc608cd1e7","Radomized","TransitionRule","ENCOUNTER_START_RULE_3"
"TransitionRule_6","d118cce7-fb61-402f-a4a8-6b541652e1fc","End of treatment","TransitionRule","ENCOUNTER_START_RULE_12"
"TransitionRule_7","c07ffc31-a72c-42f9-b1fa-b029c63ef9e4","Informed consent","TransitionRule","ELEMENT_START_RULE_1"
"TransitionRule_8","5ecdf677-fa11-464f-a4ef-4c6306a0da08","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule","ELEMENT_END_RULE_1"
"TransitionRule_9","1e3958a7-f924-44f6-907c-6aa933977818","Administration of first dose","TransitionRule","ELEMENT_START_RULE_2"
"TransitionRule_14","34ae65b1-6714-45c1-9976-ee4c5e5b0edc","End of last scheduled visit on study (including early termination)","TransitionRule","ELEMENT_START_RULE_7"
"TransitionRule_15","266e4c93-a05c-4db4-8ac0-2e34e28eac6a","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule","ELEMENT_END_RULE_7"
"TransitionRule_10","9da128a4-33cc-4baa-9611-115496b71726","Administration of first dose","TransitionRule","ELEMENT_START_RULE_3"
"TransitionRule_11","4654eefd-0cc6-4d9a-a30a-af094c80b86f","Randomized","TransitionRule","ELEMENT_START_RULE_4"
"TransitionRule_12","d2a62f14-4b61-4447-abb6-8843e02e0ad7","Administration of first dose (from patches supplied at Visit 4)","TransitionRule","ELEMENT_START_RULE_5"
"TransitionRule_13","97d2de23-5d5b-4d5d-b460-3847a46c8231","Administration of first dose (from patches supplied at Visit 12)","TransitionRule","ELEMENT_START_RULE_6"
