"id","uuid:ID","instanceType","label","description","name"
"Encounter_1","6dcb10af-0586-4495-b89c-b95bd86d5de8","Encounter","Screening 1","Screening encounter","E1"
"Encounter_2","ac25f121-e5a1-4d7a-8f02-289310271a72","Encounter","Screening 2","Screening encounter - Ambulatory ECG Placement","E2"
"Encounter_3","c2b56b24-4630-44a1-bee7-556f91727afd","Encounter","Baseline","Baseline encounter - Ambulatory ECG Removal","E3"
"Encounter_4","512c7962-66e9-434b-b695-e86709a84b05","Encounter","Week 2","Day 14","E4"
"Encounter_5","5cec1651-2af6-4b1e-9706-4fdd15996acb","Encounter","Week 4","Day 28","E5"
"Encounter_6","eedf335e-7c47-4e7c-867e-07cb04d501af","Encounter","Week 6","Day 42","E7"
"Encounter_7","03f56e37-699d-4c2a-8209-58bc3ba3beb3","Encounter","Week 8","Day 56","E8"
"Encounter_8","0a65b8d4-32d0-4392-86e6-ee91e145f1e7","Encounter","Week 12","Day 84","E9"
"Encounter_9","9ca10b95-85e1-4902-8d3a-62ba5e2bcb18","Encounter","Week 16","Day 112","E10"
"Encounter_10","fc75ce89-58f7-4cdd-8ee3-cd654efd0c1f","Encounter","Week 20","Day 140","E11"
"Encounter_11","3b0ec0b2-8d7b-4adb-9785-17b56e99e7ad","Encounter","Week 24","Day 168","E12"
"Encounter_12","bac88ebd-a8d3-484e-bfe2-f4188bfb5daa","Encounter","Week 26","Day 182","E13"
