"window","id","uuid:ID","windowLower","value","instanceType","label","description","windowUpper","name"
"","Timing_1","540a2a2a-08cb-4b38-ab4c-6c679200b7bf","","P2W","Timing","Screening","Screening timing","","TIM1"
"-4..0 hours","Timing_2","88e588e8-1aef-431c-8d6d-a610d0b8c25e","PT4H","P2D","Timing","Pre dose","Pre dose timing","PT0H","TIM2"
"","Timing_3","4463644d-fad2-48ff-b92c-5d11128d30bd","","P1D","Timing","Dosing","Dosing anchor","","TIM3"
"-3..3 days","Timing_4","5ea51c1b-6e3a-4fb0-b9c6-a852999a9771","P3D","P2W","Timing","Week 2","Week 2 timing","P3D","TIM4"
"-3..3 days","Timing_5","299e384c-32ac-40bf-9069-f03195f84f6a","P3D","P4W","Timing","Week 4","Week 4 timing","P3D","TIM5"
"-3..3 days","Timing_6","aa0063f0-eb30-469d-9255-d1d2061b77b3","P3D","P6W","Timing","Week 6","Week 6 timing","P3D","TIM6"
"-3..3 days","Timing_7","2b44b06c-5beb-4caa-bc3e-3b25176cab45","P3D","P8W","Timing","Week 8","Week 8 timing","P3D","TIM7"
"-4..4 days","Timing_9","673d7f3f-e33b-436d-8352-314420124b14","P4D","P12W","Timing","Week 12","Week 12 timing","P4D","TIM9"
"-4..4 days","Timing_11","7e00e4e4-49e4-45cf-9234-bde6f4555f0b","P4D","P16W","Timing","Week 16","Week 16 timing","P4D","TIM11"
"-4..4 days","Timing_13","3dbcb1f9-2f2d-4bdf-9682-1a78ad4e178e","P4D","P20W","Timing","Week 20","Week 20 timing","P4D","TIM13"
"-4..4 days","Timing_15","f043e2dc-420c-4110-8f53-17fb8ed1bd33","P4D","P24W","Timing","Week 24","Week 24 timing","P4D","TIM15"
"-3..3 days","Timing_16","f75f982b-5b29-4521-9501-ee007730f409","P3D","P26W","Timing","Week 26","Week 26 timing","P3D","TIM16"
"","Timing_8","8d8942da-51e2-4fc5-927c-386af5477cce","","P2W","Timing","Week 8 Home","Week 8 at home timing","","TIM8"
"","Timing_10","573fe458-ee99-42ab-9271-00fa9ce135fb","","P2W","Timing","Week 12 Home","Week 12 at home timing","","TIM10"
"","Timing_12","ed9f2eaf-3fca-4e87-8199-01fc41c027e7","","P2W","Timing","Week 16 Home","Week 16 at home timing","","TIM12"
"","Timing_14","09dea0d3-00a0-49d3-bd20-c9194cae57d0","","P2W","Timing","Week 20 Home","Week 20 at home timing","","TIM14"
"","Timing_17","e5ed2af1-4225-487f-9fdf-fda0e5f487b4","","P1D","Timing","Adverse Event","Adverse Event","","TIM17"
"","Timing_18","69caa07e-29fa-4337-98ae-8294611894ef","","P1D","Timing","Early Termination","Early Termination","","TIM18"
"","Timing_19","76fa3784-eee8-4f5a-9129-1ceb92b8925d","","PT0M","Timing","Supine","Supine","","TIM19"
"","Timing_20","f15702e8-b487-489c-8663-99748768352e","","PT5M","Timing","VS while supine","VS while supine","","TIM20"
"","Timing_21","b712311f-10af-48cb-ab0c-8d33c85b7534","","PT0M","Timing","Standing","Standing","","TIM21"
"","Timing_22","b388fdc5-d069-49c5-b237-98d57816ac8e","","PT1M","Timing","VS while standing","VS while standing","","TIM22"
"","Timing_23","59566d1c-2ff0-4bc5-89c1-7a84c3818303","","PT0M","Timing","Standing","Standing","","TIM23"
"","Timing_24","3553f8ae-85d8-4b5d-b501-6e1d9c5cba0a","","PT2M","Timing","VS while standing","VS while standing","","TIM24"
