"id","uuid:ID","isEnabled","datatype","instanceType","label","isRequired","name"
"BiomedicalConceptProperty_98","56ae672c-64cc-4ff4-83e8-77c254c07f39","True","decimal","BiomedicalConceptProperty","Vital Signs Result","True","Vital Signs Result"
"BiomedicalConceptProperty_99","3e39bf92-3931-4c74-9cc1-586eb695bf53","True","string","BiomedicalConceptProperty","Unit of Temperature","True","Unit of Temperature"
"BiomedicalConceptProperty_100","8bd3b3d7-d198-4a50-b7db-7d4c3c4f7c70","True","string","BiomedicalConceptProperty","Vital Signs Location","True","Vital Signs Location"
"BiomedicalConceptProperty_101","f3ec544b-e77c-496f-a73d-697858d2664b","True","decimal","BiomedicalConceptProperty","Vital Signs Result","True","Vital Signs Result"
"BiomedicalConceptProperty_102","59ce726a-e1ac-4520-bb78-b6dac6549d77","True","string","BiomedicalConceptProperty","Unit of Weight","True","Unit of Weight"
"BiomedicalConceptProperty_103","8d719b00-6807-4edc-938d-ffb70372aa4c","True","decimal","BiomedicalConceptProperty","Vital Signs Result","True","Vital Signs Result"
"BiomedicalConceptProperty_104","c712ddbd-32ee-41ea-a197-901896a33c50","True","string","BiomedicalConceptProperty","Unit of Height","True","Unit of Height"
"BiomedicalConceptProperty_105","a744e598-f776-4cd8-a85f-58cf36491b26","True","decimal","BiomedicalConceptProperty","Laboratory Test Result","True","Laboratory Test Result"
"BiomedicalConceptProperty_106","49dab40b-048f-4582-ac01-8701d4e74242","True","boolean","BiomedicalConceptProperty","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status"
"BiomedicalConceptProperty_107","f8112034-7b9a-4938-ab42-33157437edef","True","string","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration"
"BiomedicalConceptProperty_108","b7fe3d69-ed29-4c9d-81af-efb484074ae5","True","string","BiomedicalConceptProperty","Biospecimen Type","True","Biospecimen Type"
"BiomedicalConceptProperty_109","b23156b2-d5ed-433b-bffd-f700fc9ad409","True","string","BiomedicalConceptProperty","Laboratory Test Result","True","Laboratory Test Result"
"BiomedicalConceptProperty_110","0f8e3072-b950-4bd1-ae91-465be97bb6ee","True","boolean","BiomedicalConceptProperty","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status"
"BiomedicalConceptProperty_111","3cc01a3f-2044-49b6-9991-e08276ab6842","True","string","BiomedicalConceptProperty","Unit of Concentration","True","Unit of Concentration"
"BiomedicalConceptProperty_112","95ebee91-a31a-4995-8bc4-dc4924654440","True","string","BiomedicalConceptProperty","Biospecimen Type","True","Biospecimen Type"
"BiomedicalConceptProperty_113","4416ecd8-5493-448f-a0c6-e6be23df8d18","True","decimal","BiomedicalConceptProperty","Laboratory Test Result","True","Laboratory Test Result"
"BiomedicalConceptProperty_114","36134f8a-9c35-457d-9eb0-377d089b5f1e","True","boolean","BiomedicalConceptProperty","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status"
"BiomedicalConceptProperty_115","794967aa-06f2-4384-a7d5-b8a6ce65a09d","True","string","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration"
"BiomedicalConceptProperty_116","59453fe6-22ee-4b0c-a52b-75418987231c","True","string","BiomedicalConceptProperty","Biospecimen Type","True","Biospecimen Type"
"BiomedicalConceptProperty_117","aa6b0a74-f773-4282-baed-b2dd2e6626c0","True","decimal","BiomedicalConceptProperty","Laboratory Test Result","True","Laboratory Test Result"
"BiomedicalConceptProperty_118","bf3da851-3799-4b64-a3d9-61c9e9ac9d28","True","boolean","BiomedicalConceptProperty","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status"
"BiomedicalConceptProperty_119","5a699c10-f71b-4992-a711-9854734ed4d4","True","string","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration"
"BiomedicalConceptProperty_120","d2f68809-bc46-43bc-a726-34b75d04ceea","True","string","BiomedicalConceptProperty","Biospecimen Type","True","Biospecimen Type"
"BiomedicalConceptProperty_121","f2ef81b4-c3a0-4a3c-b8fb-9b1de74277f8","True","string","BiomedicalConceptProperty","Laboratory Test Result","True","Laboratory Test Result"
"BiomedicalConceptProperty_122","be77ca3a-ebcb-4b12-bba4-07c6b8d7fc7f","True","boolean","BiomedicalConceptProperty","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status"
"BiomedicalConceptProperty_123","e289cad1-be50-47bd-848a-1946ce809d8c","True","string","BiomedicalConceptProperty","Unit of Concentration","True","Unit of Concentration"
"BiomedicalConceptProperty_124","3f9b2e72-37e6-4a21-afd8-a76fe81664bf","True","string","BiomedicalConceptProperty","Biospecimen Type","True","Biospecimen Type"
"BiomedicalConceptProperty_125","934a7877-bde1-4362-a9fc-fc301ac1752c","True","decimal","BiomedicalConceptProperty","Laboratory Test Result","True","Laboratory Test Result"
"BiomedicalConceptProperty_126","03010250-57f1-4fc9-bfa1-7d8f4a9a5e26","True","boolean","BiomedicalConceptProperty","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status"
"BiomedicalConceptProperty_127","2cd686bc-301c-453b-8366-91361091d159","True","string","BiomedicalConceptProperty","Molarity Unit","True","Molarity Unit"
"BiomedicalConceptProperty_128","25f36d9a-da3b-4f4f-90e1-c505d89a3ce0","True","string","BiomedicalConceptProperty","Biospecimen Type","True","Biospecimen Type"
"BiomedicalConceptProperty_129","6e3356d3-54e7-4f95-98d6-a267cf9c6b16","True","decimal","BiomedicalConceptProperty","Laboratory Test Result","True","Laboratory Test Result"
"BiomedicalConceptProperty_130","9d723ec1-74e3-4691-ac12-0c14028b9737","True","boolean","BiomedicalConceptProperty","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status"
"BiomedicalConceptProperty_131","ab8427e2-e0d0-4157-bebe-ae29708a31fb","True","string","BiomedicalConceptProperty","Molarity Unit","True","Molarity Unit"
"BiomedicalConceptProperty_132","b2d038d4-8b2a-47d6-80c0-55de0d63d4e3","True","string","BiomedicalConceptProperty","Biospecimen Type","True","Biospecimen Type"
"BiomedicalConceptProperty_1","f09b05c5-5eaf-4c85-a054-2d5d54f0e516","True","string","BiomedicalConceptProperty","Adverse Event Verbatim Description","True","Adverse Event Verbatim Description"
"BiomedicalConceptProperty_2","22f2fb14-575a-48bb-94da-c614c342d53c","True","string","BiomedicalConceptProperty","Adverse Event Dictionary Derived Term","True","Adverse Event Dictionary Derived Term"
"BiomedicalConceptProperty_3","0f81be7f-9940-4610-ba2c-fa96d67f4854","True","string","BiomedicalConceptProperty","Adverse Event Category","True","Adverse Event Category"
"BiomedicalConceptProperty_4","d90ebcfb-1cca-4965-810e-d3e577367df9","True","string","BiomedicalConceptProperty","Adverse Event Subcategory","True","Adverse Event Subcategory"
"BiomedicalConceptProperty_5","2d454c03-5e96-4417-afe4-94fa0d8296cc","True","boolean","BiomedicalConceptProperty","Adverse Event Pre-specified","True","Adverse Event Pre-specified"
