"id","uuid:ID","instanceType","label","reference","synonyms","name"
"BiomedicalConcept_20","a177a04e-0ca9-4ab4-be97-3f71a1e750c7","BiomedicalConcept","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","Body Temperature"
"BiomedicalConcept_21","47aefaa0-5f25-4108-bfd5-235da7ed5abf","BiomedicalConcept","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","Body Weight"
"BiomedicalConcept_22","f19c6ac8-4810-4e6e-ad4c-3b275377fbd4","BiomedicalConcept","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","Body Height"
"BiomedicalConcept_23","aae8b581-e598-4849-909e-f1123d777c69","BiomedicalConcept","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","Alanine Aminotransferase Measurement"
"BiomedicalConcept_24","2a941ab6-2fdd-4adc-bac0-7acc69d361f9","BiomedicalConcept","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","Albumin Measurement"
"BiomedicalConcept_25","c2e60a65-3dce-41f1-b67f-08502a30d48b","BiomedicalConcept","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement"
"BiomedicalConcept_26","49f9b3fc-9d02-407e-844b-4fd2ae213f5c","BiomedicalConcept","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","Aspartate Aminotransferase Measurement"
"BiomedicalConcept_27","b03094e3-7b27-41b0-bcb0-792339bb6114","BiomedicalConcept","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","Creatinine Measurement"
"BiomedicalConcept_28","dbd62b51-2157-45a0-83a6-9894e44290c4","BiomedicalConcept","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","Potassium Measurement"
"BiomedicalConcept_29","c346eb4b-e7d2-47e5-a586-e2872f1e988b","BiomedicalConcept","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","Sodium Measurement"
"BiomedicalConcept_1","3fef11cb-23b2-4034-8efa-89d390ce3ee4","BiomedicalConcept","Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","['Adverse Event Reported Term', 'AETERM']","Adverse Event"
"BiomedicalConcept_2","5621eb13-39cf-4b01-8b41-3ab0566a6d80","BiomedicalConcept","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","Systolic Blood Pressure"
"BiomedicalConcept_3","79277cf0-b212-4362-be7f-f34f75eec8a2","BiomedicalConcept","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","Diastolic Blood Pressure"
"BiomedicalConcept_4","9b576603-fcfa-4935-8d4b-5321e0234201","BiomedicalConcept","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","Body Temperature"
"BiomedicalConcept_5","28e5ea35-1f01-4f5c-a7c9-e1dcd75f878d","BiomedicalConcept","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","Body Weight"
"BiomedicalConcept_6","d5fa25d5-a7c0-4335-8a72-31e6d40f99a1","BiomedicalConcept","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","Body Height"
"BiomedicalConcept_7","66089d98-ce2a-4482-82bb-61fba1bee727","BiomedicalConcept","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","Alanine Aminotransferase Measurement"
"BiomedicalConcept_8","16cffa8b-7fca-4f39-9dd6-d2257e0cf527","BiomedicalConcept","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","Albumin Measurement"
