"sectionTitle","id","sectionNumber","uuid:ID","text","instanceType","name"
"Root","NarrativeContent_1","0","af7ee8d5-c8be-44bb-84ce-0c0a71d551f6","","NarrativeContent","ROOT"
"TITLE PAGE","NarrativeContent_2","0","178ec649-2ec6-4ce3-a8be-a606040bee48","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent","SECTION 0"
"PROTOCOL SUMMARY","NarrativeContent_3","1","5eebd255-93d6-438b-a983-5a81e10cda51","<div></div>","NarrativeContent","SECTION 1"
"Protocol Synopsis","NarrativeContent_4","1.1","876f7d92-e9ce-4db6-a196-13c465b98269","<div></div>","NarrativeContent","SECTION 1.1"
"Trial Schema","NarrativeContent_5","1.2","b076e62b-b056-4931-8ef7-a31b877e870f","<div></div>","NarrativeContent","SECTION 1.2"
"Schedule of Activities","NarrativeContent_6","1.3","9657090f-2db2-45c6-b968-a5766cad50ec","<div></div>","NarrativeContent","SECTION 1.3"
"INTRODUCTION","NarrativeContent_7","2","dcf11404-908c-4716-9cc2-41495bca61d8","<div></div>","NarrativeContent","SECTION 2"
"Purpose of Trial","NarrativeContent_8","2.1","405e8d09-4aeb-4ce4-a375-65f87c17f7cb","<div></div>","NarrativeContent","SECTION 2.1"
"Summary of Benefits and Risks","NarrativeContent_9","2.2","e9b26f09-5606-4bd2-b6c4-21313547b8e9","<div></div>","NarrativeContent","SECTION 2.2"
"TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent_10","3","8a69cc77-9420-4221-9aba-0290e6ac4c25","<div></div>","NarrativeContent","SECTION 3"
"Primary Objectives","NarrativeContent_11","3.1","ff813bef-be28-4773-ac62-98870cd93c5a","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent","SECTION 3.1"
"TRIAL DESIGN","NarrativeContent_12","4","746378ec-3091-4120-9586-845adb213fc8","<div></div>","NarrativeContent","SECTION 4"
"Description of Trial Design","NarrativeContent_13","4.1","e5ed87bc-3ae9-46ca-8cee-3bdbb9a43ca0","<div></div>","NarrativeContent","SECTION 4.1"
"Participant Input into Design","NarrativeContent_14","4.1.1","be3712bb-4923-4d98-8dbe-6cabe8f83e31","<div></div>","NarrativeContent","SECTION 4.1.1"
"Rationale for Trial Design","NarrativeContent_15","4.2","aaeb4e9e-7dea-4be4-902c-137cab87fa3a","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent","SECTION 4.2"
"Rationale for Comparator","NarrativeContent_16","4.2.1","2a8c6e17-afba-4107-8a13-cf12b410b47c","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent","SECTION 4.2.1"
"Rationale for Adaptive or Novel Trial Design","NarrativeContent_17","4.2.2","637ea3cd-59ca-4b32-af4f-a02d93dfe838","<div></div>","NarrativeContent","SECTION 4.2.2"
"Other Trial Design Considerations","NarrativeContent_18","4.2.3","2d6cc16d-d094-45a0-8bd7-7fc3294b730f","<div></div>","NarrativeContent","SECTION 4.2.3"
"Access to Trial Intervention After End of Trial","NarrativeContent_19","4.3","a657c1f6-b824-45b9-b5da-aa179101c2bc","<div></div>","NarrativeContent","SECTION 4.3"
