"id","uuid:ID","codeSystem","code","instanceType","decode","codeSystemVersion"
"Code_1","f63b4699-83cf-40b0-ac5d-76cb52550d7e","http://www.cdisc.org","C98388","Code","Interventional Study","2023-09-29"
"Code_2","be5dee66-0d55-4dc4-afc2-137b37d5134e","http://www.cdisc.org","C15601","Code","Phase II Trial","2023-09-29"
"Code_9","ce8081ed-bf90-4bae-8390-a8ba992fd109","http://www.cdisc.org","C132352","Code","Sponsor Approval Date","2023-09-29"
"Code_10","338c1f6a-ca3b-4e4a-ac01-241724bc8898","http://www.cdisc.org","C68846","Code","Global","2023-09-29"
"Code_72","44214392-fbe7-4b06-8a9b-3430290c0bb6","http://www.cdisc.org","C99904x3","Code","IRB/IEC Feedback","2023-09-29"
"Code_73","cf2aa728-8f91-45a4-a88c-f3aabb89c6f3","http://www.cdisc.org","C17649","Code","Other","2023-09-29"
"Code_75","e5133d63-1b25-4d45-8d74-c7c35284438a","http://www.cdisc.org","C41129","Code","Region","2023-09-29"
"Code_74","7cc92dd8-d7ff-42a6-8257-702b6c0b3165","ISO 3166 1 alpha3","150","Code","Europe","2020-08"
"Code_4","f1d13a8f-e2e1-4611-845f-9123f92dcb3b","SPONSOR","PHARMA","Code","Eli Lilly","12"
"Code_76","73967037-0507-4a4c-a2ca-5be10f863fee","http://www.cdisc.org","C70793","Code","Clinical Study Sponsor","2023-09-29"
"Code_77","c9de8c34-9395-4eec-8150-0d196e83e9cc","ISO 3166 1 alpha3","DNK","Code","Denmark","2020-08"
"Code_78","96fce1e8-8963-467d-b955-3d82178f2cbf","http://www.cdisc.org","C93453","Code","Study Registry","2023-09-29"
"Code_136","6d8ebe9b-dcb1-4c56-bcd9-0ade9ec8d5b1","http://www.cdisc.org","C49656","Code","Treatment Study","2023-09-29"
"Code_137","cb13b89a-4fac-4bac-a9c8-0dbf8b5c4f02","http://www.cdisc.org","C49666","Code","Efficacy Study","2023-09-29"
"Code_138","40e28cac-7589-4a0e-8d80-b87b608a249d","http://www.cdisc.org","C49667","Code","Safety Study","2023-09-29"
"Code_139","56f8555b-78d0-4d13-b7ca-ee31c5188204","http://www.cdisc.org","C49663","Code","Pharmacokinetic Study","2023-09-29"
"Code_133","0cdbd9aa-a720-4e66-b0b9-77049ef1d378","SPONSOR","MILD_MOD_ALZ","Code","Mild to Moderate Alzheimer's Disease","12"
"Code_134","f262c1bd-d720-4572-9c89-cd54e962da54","SNOMED","26929004","Code","Alzheimer's disease","January 31, 2018"
"Code_142","31a5bd8e-9e3a-440a-91dd-ac1b57cb7431","http://www.cdisc.org","C99907x1","Code","EXTENSION","2023-09-29"
"Code_143","f130a68e-1969-4c60-b2fa-70055c4e7d7c","http://www.cdisc.org","C98704","Code","ADAPTIVE","2023-09-29"
"Code_140","83f87cc3-8b3b-4c3e-b882-0032f87160ed","http://www.cdisc.org","C82639","Code","Parallel Study","2023-09-29"
"Code_82","cec2e6b0-143c-48d4-a254-1eff0b26cd00","http://www.cdisc.org","C25716","Code","Visit","2023-09-29"
"Code_83","8224e605-9577-41b5-9ba3-ae8644d8aff2","http://www.cdisc.org","C51282","Code","Clinic","2023-09-29"
"Code_84","5573dd99-b90c-4986-9c19-b33d48c0c61b","http://www.cdisc.org","C175574","Code","In Person","2023-09-29"
"Code_85","8ad66a3a-3266-4e30-a79b-912b5cd78282","http://www.cdisc.org","C25716","Code","Visit","2023-09-29"
"Code_86","1ec837ff-8871-47ce-9bf7-2fd4aab5e01b","http://www.cdisc.org","C51282","Code","Clinic","2023-09-29"
"Code_87","6f5006d7-92d8-44cc-b780-9863b1aa2a17","http://www.cdisc.org","C175574","Code","In Person","2023-09-29"
"Code_88","c2b3f36a-30f8-4a5e-8279-39b0e6fe1677","http://www.cdisc.org","C25716","Code","Visit","2023-09-29"
"Code_89","96e643b8-42a3-4fd0-b2f3-b4b49b4232f1","http://www.cdisc.org","C51282","Code","Clinic","2023-09-29"
"Code_90","a9b8d22d-d31b-4cf9-b1e1-71b03d0de7bd","http://www.cdisc.org","C175574","Code","In Person","2023-09-29"
"Code_91","d2567a74-1990-4c22-9b2e-627675feb781","http://www.cdisc.org","C25716","Code","Visit","2023-09-29"
"Code_92","2ec5f680-1570-4de2-8414-ab26989697d8","http://www.cdisc.org","C51282","Code","Clinic","2023-09-29"
"Code_93","be699227-b6d1-4bfa-8f47-4f1f5b0dd253","http://www.cdisc.org","C175574","Code","In Person","2023-09-29"
