"purpose","uuid:ID","description","text","label","id","instanceType","name"
"","0333c643-91a9-42cd-97e6-4dc43cba43c4","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","Endpoint_1","Endpoint","END1"
"","d509b959-4725-47be-a59d-3bf2f1234e48","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","Endpoint_2","Endpoint","END2"
"","f827e155-34d1-4b2d-b96d-9786864f7109","","Adverse events","","Endpoint_3","Endpoint","END3"
"","a6808991-b30e-4298-9abe-54e7a9f1556f","","Vital signs (weight, standing and supine blood pressure, heart rate)","","Endpoint_4","Endpoint","END4"
"","f72cf8a7-24ca-4210-bbfa-fce3bb2a95d9","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Laboratory evaluations (Change from Baseline)","","Endpoint_5","Endpoint","END5"
"","e440f98c-0e9a-48a2-bb76-9237746071c6","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","Endpoint_6","Endpoint","END6"
"","2b4d8554-2d2d-43f6-88eb-b0020e3e7a03","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","Endpoint_7","Endpoint","END7"
"","124af079-451a-4352-b619-8352d62c183a","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","Endpoint_8","Endpoint","END8"
"","d5e07318-b4a7-421d-aa7f-3f8c4a03549b","","*** To be determined from protocol ***","","Endpoint_9","Endpoint","END9"
"","18cf812d-10d0-453c-a7dc-164559bc7952","","*** To be determined from protocol ***","","Endpoint_10","Endpoint","END10"
"","74db5d13-b63a-40f1-838e-7737a72004a7","","*** To be determined from protocol ***","","Endpoint_11","Endpoint","END11"
