"uuid:ID","text","id","instanceType","name"
"063fb755-013d-4ec6-8ba9-482eb1e6d061","Subject identifier","TransitionRule_1","TransitionRule","ENCOUNTER_START_RULE_1"
"090b7fe9-0d2c-4d14-b85c-3e083f1be66d","completion of screening activities","TransitionRule_2","TransitionRule","ENCOUNTER_START_RULE_1"
"8d41c51a-2469-4b87-89b4-9e4dcdbf0df6","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","TransitionRule","ENCOUNTER_START_RULE_2"
"c94e7c0c-2d87-4159-a35d-08af906793e0","subject has connection of ambulatory ECG machine removed","TransitionRule_4","TransitionRule","ENCOUNTER_START_RULE_3"
"2f8a799a-f500-4267-8553-f264e9099a19","Radomized","TransitionRule_5","TransitionRule","ENCOUNTER_START_RULE_3"
"f41763fa-4779-4017-93f0-debf69b5307e","End of treatment","TransitionRule_6","TransitionRule","ENCOUNTER_START_RULE_12"
"cb800ce0-cf99-4ea7-bd30-a54e7360c1b5","Informed consent","TransitionRule_7","TransitionRule","ELEMENT_START_RULE_1"
"07b39686-c5b6-4b0e-a761-a883b63bdf3c","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","TransitionRule","ELEMENT_END_RULE_1"
"063e9024-1256-4cc5-b335-88d7cf65a3ef","Administration of first dose","TransitionRule_9","TransitionRule","ELEMENT_START_RULE_2"
"809b0cfc-0b68-4c4e-a76d-bc00dea528e7","End of last scheduled visit on study (including early termination)","TransitionRule_14","TransitionRule","ELEMENT_START_RULE_7"
"1086b2c5-b4eb-43a2-aa5d-a238262e1368","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","TransitionRule","ELEMENT_END_RULE_7"
"e6797e4a-7852-4214-9c97-db80e7406c53","Administration of first dose","TransitionRule_10","TransitionRule","ELEMENT_START_RULE_3"
"29e970cc-59eb-45e8-b9cc-91b78a43fe51","Randomized","TransitionRule_11","TransitionRule","ELEMENT_START_RULE_4"
"5c211e2f-e30d-452a-82f2-8c9bdad96b31","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","TransitionRule","ELEMENT_START_RULE_5"
"26455050-cfe2-4262-904d-cde5c4b5fbd7","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","TransitionRule","ELEMENT_START_RULE_6"
