"uuid:ID","isEnabled","datatype","label","isRequired","id","instanceType","name"
"656f4f05-6158-4bd0-8c2c-fc1dc18f1d30","True","text","DSDECOD","True","BiomedicalConceptProperty_116","BiomedicalConceptProperty","DSDECOD"
"c4b49fce-9d25-46aa-a795-1eb2fdbdf3ec","True","text","DSTERM","True","BiomedicalConceptProperty_117","BiomedicalConceptProperty","DSTERM"
"fd4e2a40-10ef-4289-a8f9-3033f6a47f97","True","datetime","DSSTDTC","True","BiomedicalConceptProperty_118","BiomedicalConceptProperty","DSSTDTC"
"3f76771e-0be1-4df0-9593-46519b3fa176","True","string","Sex","True","BiomedicalConceptProperty_119","BiomedicalConceptProperty","Sex"
"9d9e79aa-edf0-413b-bb76-dd599667196d","True","string","Race","True","BiomedicalConceptProperty_120","BiomedicalConceptProperty","Race"
"c1a3242b-f43e-4cae-8afc-726dcc854afa","True","","VSTESTCD","True","BiomedicalConceptProperty_121","BiomedicalConceptProperty","VSTESTCD"
"b67d01b6-93eb-42bf-809a-42d8f708adb6","True","float","VSORRES","True","BiomedicalConceptProperty_122","BiomedicalConceptProperty","VSORRES"
"9f06c31b-35e7-493c-8ccb-6dce216481b7","True","","VSORRESU","True","BiomedicalConceptProperty_123","BiomedicalConceptProperty","VSORRESU"
"cd1a3133-a5e0-4169-b76c-049a180d435c","True","","VSLOC","True","BiomedicalConceptProperty_124","BiomedicalConceptProperty","VSLOC"
"6f226720-334c-45ca-bfdb-1d1e3ce6bc69","True","","VSTESTCD","True","BiomedicalConceptProperty_125","BiomedicalConceptProperty","VSTESTCD"
"db738e6b-f379-4e68-aba9-6e40aaf2229a","True","float","VSORRES","True","BiomedicalConceptProperty_126","BiomedicalConceptProperty","VSORRES"
"9db73caa-04e5-4d07-8094-52a72a8deb65","True","","VSORRESU","True","BiomedicalConceptProperty_127","BiomedicalConceptProperty","VSORRESU"
"aa305834-7fa9-4eb7-9400-91552d33ec74","True","","VSTESTCD","True","BiomedicalConceptProperty_128","BiomedicalConceptProperty","VSTESTCD"
"9f0831d3-e93d-48eb-8dd5-5af2c99cdcc5","True","float","VSORRES","True","BiomedicalConceptProperty_129","BiomedicalConceptProperty","VSORRES"
"9c07e560-9d16-47f4-834a-c2fc261fedc7","True","","VSORRESU","True","BiomedicalConceptProperty_130","BiomedicalConceptProperty","VSORRESU"
"6c7c660a-3d4c-4ddf-a0bb-999ad0350712","True","","LBTESTCD","True","BiomedicalConceptProperty_131","BiomedicalConceptProperty","LBTESTCD"
"f7e3855c-cb9e-4ac8-816f-ad816be2730c","True","float","LBORRES","True","BiomedicalConceptProperty_132","BiomedicalConceptProperty","LBORRES"
"c3bedf0e-ffcd-4513-94dc-b57f91de7549","True","","LBORRESU","True","BiomedicalConceptProperty_133","BiomedicalConceptProperty","LBORRESU"
"ea28b76a-4d04-44d3-8556-d6a892d2ba21","True","","LBSPEC","True","BiomedicalConceptProperty_134","BiomedicalConceptProperty","LBSPEC"
"d7ea8f4b-35dc-44ee-bfb0-875a51b0867a","True","","LBFAST","True","BiomedicalConceptProperty_135","BiomedicalConceptProperty","LBFAST"
"871784d6-aa9e-4cb3-8814-8169cf5fe229","True","","LBTESTCD","True","BiomedicalConceptProperty_136","BiomedicalConceptProperty","LBTESTCD"
"28ad9036-94b9-46ef-be9f-0385acd579a7","True","text","LBORRES","True","BiomedicalConceptProperty_137","BiomedicalConceptProperty","LBORRES"
"f1bf3897-afa4-448c-a19a-b22f439e3314","True","","LBSPEC","True","BiomedicalConceptProperty_138","BiomedicalConceptProperty","LBSPEC"
"c72286bc-1b96-4c6c-bd08-231ba01b65cc","True","","LBFAST","True","BiomedicalConceptProperty_139","BiomedicalConceptProperty","LBFAST"
"e21c3bf6-58b9-4b2b-84b3-413cbe12b284","True","","LBTESTCD","True","BiomedicalConceptProperty_140","BiomedicalConceptProperty","LBTESTCD"
"59b77bd5-7c57-40f0-bc69-9c39b35e7d36","True","float","LBORRES","True","BiomedicalConceptProperty_141","BiomedicalConceptProperty","LBORRES"
"f3c28e0c-d4f4-4a8a-8a27-b2c2cf0860b7","True","","LBORRESU","True","BiomedicalConceptProperty_142","BiomedicalConceptProperty","LBORRESU"
"633a0e07-813a-4e7a-a3c4-db611eb07381","True","","LBSPEC","True","BiomedicalConceptProperty_143","BiomedicalConceptProperty","LBSPEC"
"f2b1f280-ef54-4f9c-91fa-b13d4a1831a5","True","","LBFAST","True","BiomedicalConceptProperty_144","BiomedicalConceptProperty","LBFAST"
"1bc8cc93-bfdd-4d46-a843-bbf5e6c5500e","True","","LBTESTCD","True","BiomedicalConceptProperty_145","BiomedicalConceptProperty","LBTESTCD"
"30f89fa7-7d54-4bba-8399-c731631a299b","True","float","LBORRES","True","BiomedicalConceptProperty_146","BiomedicalConceptProperty","LBORRES"
"f715cdb9-d082-4521-8e64-a8590024f165","True","","LBORRESU","True","BiomedicalConceptProperty_147","BiomedicalConceptProperty","LBORRESU"
"ae4c78ab-4b58-4c98-9013-200c9dbdfb39","True","","LBSPEC","True","BiomedicalConceptProperty_148","BiomedicalConceptProperty","LBSPEC"
"c785ec02-cd2a-4a7b-abf0-3f17d62b235b","True","","LBFAST","True","BiomedicalConceptProperty_149","BiomedicalConceptProperty","LBFAST"
"03f1de66-a016-4006-9433-db5cdfaffffc","True","","LBTESTCD","True","BiomedicalConceptProperty_150","BiomedicalConceptProperty","LBTESTCD"
"9e4317e3-5d4a-4b06-b21a-308c5b043b12","True","float","LBORRES","True","BiomedicalConceptProperty_151","BiomedicalConceptProperty","LBORRES"
"ddea48ed-2945-4be4-91f4-ad7cae5ec26a","True","","LBORRESU","True","BiomedicalConceptProperty_152","BiomedicalConceptProperty","LBORRESU"
"d60d6c45-bf68-46f8-99b5-764ed9db787d","True","","LBSPEC","True","BiomedicalConceptProperty_153","BiomedicalConceptProperty","LBSPEC"
