"uuid:ID","description","label","id","instanceType","name"
"ccc8c0e8-2e2d-467f-a3df-270181c4e75b","Screening encounter","Screening 1","Encounter_1","Encounter","E1"
"f8cc7a78-6907-471b-9f20-26a95cf42065","Screening encounter - Ambulatory ECG Placement","Screening 2","Encounter_2","Encounter","E2"
"7df2d548-c469-4c11-ab09-84b8e1dba870","Baseline encounter - Ambulatory ECG Removal","Baseline","Encounter_3","Encounter","E3"
"615d0aba-ca9a-416a-9f16-fda854fe8cb2","Day 14","Week 2","Encounter_4","Encounter","E4"
"e5b1d770-bc82-46ea-be8f-6890c1e26e6f","Day 28","Week 4","Encounter_5","Encounter","E5"
"5f11d2ce-b04e-4a34-bbb0-f0b8e9cb91c9","Day 42","Week 6","Encounter_6","Encounter","E7"
"13063915-4ff8-491c-8b3a-dd4f50563761","Day 56","Week 8","Encounter_7","Encounter","E8"
"dddbd717-8701-48fe-839f-43553c13b261","Day 84","Week 12","Encounter_8","Encounter","E9"
"d08216ec-8c52-47b1-b72c-9668039ad388","Day 112","Week 16","Encounter_9","Encounter","E10"
"bd40225f-b2e9-425f-9816-e95e1ca0b05d","Day 140","Week 20","Encounter_10","Encounter","E11"
"623123f7-4e0c-41c6-90fc-bbbcc1720bda","Day 168","Week 24","Encounter_11","Encounter","E12"
"047a6363-8803-4d9f-852c-c99b3bc82f98","Day 182","Week 26","Encounter_12","Encounter","E13"
