"valueLabel","uuid:ID","description","windowUpper","windowLower","label","windowLabel","id","value","instanceType","name"
"2 weeks","1c8af71e-ac95-436b-bf42-37fca5d897b8","Screening timing","","","Screening","","Timing_1","P2W","Timing","TIM1"
"2 days","8472b084-27ad-4d7c-8912-1f8ef4818cc3","Pre dose timing","PT0H","PT4H","Pre dose","-4..0 hours","Timing_2","P2D","Timing","TIM2"
"1 Day","a9925a16-3f9f-4a31-9029-13ba2e0dc1c1","Dosing anchor","","","Dosing","","Timing_3","P1D","Timing","TIM3"
"2 Weeks","b947d862-2784-4595-8ea8-bb1ec5ae3df9","Week 2 timing","P3D","P3D","Week 2","-3..3 days","Timing_4","P2W","Timing","TIM4"
"4 Weeks","11481208-96a9-4a92-97e7-5130bc68f91b","Week 4 timing","P3D","P3D","Week 4","-3..3 days","Timing_5","P4W","Timing","TIM5"
"6 Weeks","8fb0b2db-145b-4bec-be2b-d2cc0217c38d","Week 6 timing","P3D","P3D","Week 6","-3..3 days","Timing_6","P6W","Timing","TIM6"
"8 Weeks","94ed53b1-bd35-42ab-8d61-05ad5b55a39b","Week 8 timing","P3D","P3D","Week 8","-3..3 days","Timing_7","P8W","Timing","TIM7"
"12 Weeks","62ded442-b221-4466-ae6a-43afe1d38700","Week 12 timing","P4D","P4D","Week 12","-4..4 days","Timing_9","P12W","Timing","TIM9"
"16 Weeks","63c475eb-0b6c-47e8-99b2-25de88fa8d3b","Week 16 timing","P4D","P4D","Week 16","-4..4 days","Timing_11","P16W","Timing","TIM11"
"20 Weeks","0ff3492c-563f-4eb8-b549-481f798d1a1b","Week 20 timing","P4D","P4D","Week 20","-4..4 days","Timing_13","P20W","Timing","TIM13"
"24 Weeks","3fff0a23-6ba2-44af-8a9c-f5a79b464203","Week 24 timing","P4D","P4D","Week 24","-4..4 days","Timing_15","P24W","Timing","TIM15"
"26 Weeks","67847ac3-e0f1-4cff-aeb9-43c9053e2ed5","Week 26 timing","P3D","P3D","Week 26","-3..3 days","Timing_16","P26W","Timing","TIM16"
"2 Weeks","3ca3fec6-d632-4089-8ad7-08bf5631137f","Week 8 at home timing","","","Week 8 Home","","Timing_8","P2W","Timing","TIM8"
"2 Weeks","9741ef9f-c538-484a-a7ec-9bdb1134fbaf","Week 12 at home timing","","","Week 12 Home","","Timing_10","P2W","Timing","TIM10"
"2 Weeks","62e4267d-270d-45c6-a02f-d15bb366adc8","Week 16 at home timing","","","Week 16 Home","","Timing_12","P2W","Timing","TIM12"
"2 Weeks","59a4fa5f-a591-44dc-8934-3768d8e44253","Week 20 at home timing","","","Week 20 Home","","Timing_14","P2W","Timing","TIM14"
"1 Day","05320b12-8f46-4e25-88c4-09c386cb70e4","Adverse Event","","","Adverse Event","","Timing_17","P1D","Timing","TIM17"
"1 Day","d8f64ead-e7e2-4445-94dc-9592e3115f6f","Early Termination","","","Early Termination","","Timing_18","P1D","Timing","TIM18"
"0 mins","62008406-f13f-4d0c-aa49-2733e55a22b8","Supine","","","Supine","","Timing_19","PT0M","Timing","TIM19"
"5 mins","cf3e9bd7-d0b7-4c69-beda-f89c8aad6215","VS while supine","","","VS while supine","","Timing_20","PT5M","Timing","TIM20"
"0 min","b94c645a-985f-47c7-b8d8-a16005729ebc","Standing","","","Standing","","Timing_21","PT0M","Timing","TIM21"
"1 min","2369901e-ad4e-4084-becd-40354b2b7aa4","VS while standing","","","VS while standing","","Timing_22","PT1M","Timing","TIM22"
"0 min","cdd38fdb-de26-40ee-89a6-a2c8a42314ad","Standing","","","Standing","","Timing_23","PT0M","Timing","TIM23"
"2 min","e6019a6b-7e5e-4361-8b88-d702af4ca120","VS while standing","","","VS while standing","","Timing_24","PT2M","Timing","TIM24"
