"uuid:ID","label","id","reference","synonyms","instanceType","name"
"5e199612-be8d-41fe-8ff7-b0e4696ef435","Informed Consent Obtained","BiomedicalConcept_20","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","['Informed Consent Obtained', 'Informed Consent']","BiomedicalConcept","Informed Consent Obtained"
"8dda4a34-aabc-405b-b5cf-7004f6d5618e","Sex","BiomedicalConcept_21","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","","BiomedicalConcept","Sex"
"4b8f6e9e-7a64-43ba-b070-e32f7cf3f86b","Race","BiomedicalConcept_22","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","['Racial Group']","BiomedicalConcept","Race"
"dedef962-d627-4d3c-b479-7c7efa83af5b","Temperature","BiomedicalConcept_23","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']","BiomedicalConcept","Temperature"
"9d3f2730-7b46-4b36-9ced-4e79dfc3bd05","Weight","BiomedicalConcept_24","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']","BiomedicalConcept","Weight"
"3c90f4a3-49db-4f24-9e26-566cb582d0f1","Height","BiomedicalConcept_25","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']","BiomedicalConcept","Height"
"234787f5-dc8a-4063-9774-9595285104cf","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_26","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma"
"1908b4d0-5b8d-40c8-bc0e-13c1350fc294","Albumin Presence in Urine","BiomedicalConcept_27","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']","BiomedicalConcept","Albumin Presence in Urine"
"f9fa6fe7-0078-4ad7-9737-9fcca96ca3dd","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_28","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma"
"6f3185ea-6d7b-44ee-ab37-2aa90dd6aed0","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_29","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma"
"3a8fcfb5-98d8-47be-963e-daee20020b20","Creatinine Concentration in Urine","BiomedicalConcept_30","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept","Creatinine Concentration in Urine"
"7e976db1-9c5f-4253-8d1c-925b8f596d96","Potassium Concentration in Urine","BiomedicalConcept_31","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept","Potassium Concentration in Urine"
"9d4e34e4-4f98-4790-8f19-3b08bfd9223e","Sodium Concentration in Urine","BiomedicalConcept_32","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept","Sodium Concentration in Urine"
"5e1c5b92-bdbc-4d9c-ab47-ea8f411993f6","Hemoglobin A1C Concentration in Blood","BiomedicalConcept_33","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept","Hemoglobin A1C Concentration in Blood"
