"uuid:ID","id","instanceType","code","codeSystem","codeSystemVersion","decode"
"733e893f-0fd8-4dc5-a6d2-f8bc4defaedf","Code_1","Code","C98388","http://www.cdisc.org","2023-12-15","Interventional Study"
"8c383d1d-a904-4dd4-856a-9bcff88630bf","Code_2","Code","C15601","http://www.cdisc.org","2023-12-15","Phase II Trial"
"d8ed558a-dde7-4957-8245-cd3c17f3b726","Code_9","Code","C132352","http://www.cdisc.org","2023-12-15","Sponsor Approval Date"
"163e6d31-ddb0-4390-a8d7-0605708b2c28","Code_10","Code","C68846","http://www.cdisc.org","2023-12-15","Global"
"9d790430-8275-48a9-9492-a5062ce74e66","Code_72","Code","C99904x3","http://www.cdisc.org","2023-12-15","IRB/IEC Feedback"
"1910ea54-c376-4137-b902-347f2bd25a35","Code_73","Code","C17649","http://www.cdisc.org","2023-12-15","Other"
"f09c8951-b378-4cfd-bef0-344b06e539f2","Code_75","Code","C41129","http://www.cdisc.org","2023-12-15","Region"
"9d87ddc8-e305-4f1d-b758-09b69635be9a","Code_74","Code","150","ISO 3166 1 alpha3","2020-08","Europe"
"3021a635-a849-45c0-b32d-3b73c1522d0a","Code_4","Code","PHARMA","SPONSOR","12","Eli Lilly"
"b5c0bd07-6661-4c58-90c5-e9014a0460ae","Code_76","Code","C70793","http://www.cdisc.org","2023-12-15","Clinical Study Sponsor"
"e18c5f1f-b325-46a6-b4f2-79f2848615cd","Code_77","Code","USA","ISO 3166 1 alpha3","2020-08","United States of America"
"7cec636e-8eb8-472d-a3f9-0487dfd6cf4c","Code_78","Code","C93453","http://www.cdisc.org","2023-12-15","Study Registry"
"6a0bf55c-88bb-413a-9e2c-ff3163058cc2","Code_79","Code","USA","ISO 3166 1 alpha3","2020-08","United States of America"
"ef807a97-2e5f-41e7-b377-f914f43bbb3e","Code_137","Code","C49656","http://www.cdisc.org","2023-12-15","Treatment Study"
"2d7fe6e0-9982-4ea9-9820-3725807182cb","Code_138","Code","C49666","http://www.cdisc.org","2023-12-15","Efficacy Study"
"afe6b079-1a55-4a00-9ea1-72825b61b79c","Code_139","Code","C49667","http://www.cdisc.org","2023-12-15","Safety Study"
"7088a05f-91f0-4b9e-8c0a-ff36bd27af46","Code_140","Code","C49663","http://www.cdisc.org","2023-12-15","Pharmacokinetic Study"
"3f94eec6-8f31-4a25-95ba-357a4f41827f","Code_134","Code","MILD_MOD_ALZ","SPONSOR","12","Mild to Moderate Alzheimer's Disease"
"91a9fe06-0ee4-4e7c-baf1-abb3bf62595a","Code_135","Code","26929004","SNOMED","January 31, 2018","Alzheimer's disease"
"a8bf2a44-55a1-4ab8-a4c5-04ff25870afe","Code_143","Code","C99907x1","http://www.cdisc.org","2023-12-15","EXTENSION"
"530dcb58-3401-4ad6-93d7-880439bcdeec","Code_144","Code","C98704","http://www.cdisc.org","2023-12-15","ADAPTIVE"
"85e4ddaa-2926-4696-9b62-f9fedef8f483","Code_141","Code","C82639","http://www.cdisc.org","2023-12-15","Parallel Study"
"9488e9e1-6fc4-472b-9d8e-bf194495517d","Code_83","Code","C25716","http://www.cdisc.org","2023-12-15","Visit"
"ffc3d7c0-6352-4751-a4d1-1ce38802d10f","Code_84","Code","C51282","http://www.cdisc.org","2023-12-15","Clinic"
"4eec7888-0eeb-4faa-9f48-4bd4731de60f","Code_85","Code","C175574","http://www.cdisc.org","2023-12-15","In Person"
"6a59741f-0874-4273-a905-e528b9acc716","Code_86","Code","C25716","http://www.cdisc.org","2023-12-15","Visit"
"b3ff8d35-2348-46b4-856e-b7b25ff07969","Code_87","Code","C51282","http://www.cdisc.org","2023-12-15","Clinic"
