"uuid:ID","description","label","id","instanceType","name"
"1c4a58ca-9675-4dd6-814f-269c70845cc7","-","Screen One","ScheduledActivityInstance_9","ScheduledActivityInstance","SCREEN1"
"ecbc3d44-f829-4250-94f6-ab4c1a010cdc","-","Screen Two","ScheduledActivityInstance_10","ScheduledActivityInstance","SCREEN2"
"f35054c8-6d99-445b-a9eb-55f66a211349","-","Dose","ScheduledActivityInstance_11","ScheduledActivityInstance","DOSE"
"97e00c1c-6588-4f85-9967-88e8e1ca71d5","-","Week 2","ScheduledActivityInstance_12","ScheduledActivityInstance","WK2"
"c52935fe-e65a-4e74-9e6f-92782b343034","-","Week 4","ScheduledActivityInstance_13","ScheduledActivityInstance","WK4"
"ad129740-8584-47fc-b41a-2697ac5db6ca","-","Week 6","ScheduledActivityInstance_14","ScheduledActivityInstance","WK6"
"2a14fbf6-e157-4900-9439-437e2ea81440","-","Week 8","ScheduledActivityInstance_15","ScheduledActivityInstance","WK8"
"378e24eb-e8c2-455f-aee7-5812124d33b3","-","Week NPI","ScheduledActivityInstance_16","ScheduledActivityInstance","WK8N"
"1ead8863-f10a-4103-b4b3-8435f38142a8","-","Week 12","ScheduledActivityInstance_17","ScheduledActivityInstance","WK12"
"6011a168-1b5d-47c5-92f2-5ea75c390153","-","Week 12 NPI","ScheduledActivityInstance_18","ScheduledActivityInstance","WK12N"
"c5325a50-4a35-4c18-b000-78581ae6547a","-","Week 16","ScheduledActivityInstance_19","ScheduledActivityInstance","WK16"
"210c57eb-b926-4655-b55c-47eabaf61b82","-","Week 16 NPI","ScheduledActivityInstance_20","ScheduledActivityInstance","WK16N"
"c5c33f63-4bc4-4b9a-ace0-f89171acbbe3","-","Week 20","ScheduledActivityInstance_21","ScheduledActivityInstance","WK20"
"efe53c5e-2f51-4de3-a467-b572dd32c1b2","-","Week 20 NPI","ScheduledActivityInstance_22","ScheduledActivityInstance","WK20N"
"e8c0401d-0e72-49f7-a378-bc47859c27ce","-","Week 24","ScheduledActivityInstance_23","ScheduledActivityInstance","WK24"
"24dbb9c5-b1c1-45e4-ae0f-c2bfa11d5a2b","-","Week 26","ScheduledActivityInstance_24","ScheduledActivityInstance","WK26"
"1966abfd-0335-41ed-b53f-079ec3069b3b","-","Adevers Event","ScheduledActivityInstance_1","ScheduledActivityInstance","AE"
"31631c42-ffc7-4cba-a886-7a3ead1f3f29","-","Early Termination","ScheduledActivityInstance_2","ScheduledActivityInstance","ET"
"c5d622fb-0658-46dd-bdce-1a437cbed0e7","","5 minute supine","ScheduledActivityInstance_3","ScheduledActivityInstance","VS_5MIN"
"6539c7aa-bedf-440f-bbd2-efd6cf22413f","","Vital signs supine","ScheduledActivityInstance_4","ScheduledActivityInstance","VS_SUPINE"
"29b79ce2-10dc-4b24-8f90-c61d42fc8467","","1 minute standing","ScheduledActivityInstance_5","ScheduledActivityInstance","VS_1MIN"
"dff09b9f-443e-4c4c-97d9-575b95dda3e6","","Vital signs after 1 min standing","ScheduledActivityInstance_6","ScheduledActivityInstance","VS_STAND1"
"c508ebed-ad62-4100-a9c7-efbe8f206685","","2 minute standing","ScheduledActivityInstance_7","ScheduledActivityInstance","VS_2MIN"
"2b02c83e-24fb-439f-910b-b6d55c18de30","","Vital signs after 3 min standing","ScheduledActivityInstance_8","ScheduledActivityInstance","VS_STAND3"
