"id","instanceType","description","uuid:ID","name","label"
"Encounter_1","Encounter","Screening encounter","a725ea9d-88f3-4bc4-b695-0e22ce468bf6","E1","Screening 1"
"Encounter_2","Encounter","Screening encounter - Ambulatory ECG Placement","aab8a0c2-e36a-4a1b-8852-ec4d25f7a2a8","E2","Screening 2"
"Encounter_3","Encounter","Baseline encounter - Ambulatory ECG Removal","6757fe2b-5f32-437c-83b5-502009eed71b","E3","Baseline"
"Encounter_4","Encounter","Day 14","6a10ec95-e579-4ff6-a357-9dff31c82acd","E4","Week 2"
"Encounter_5","Encounter","Day 28","3a1cce89-0dd0-433e-96fb-de7901e98f81","E5","Week 4"
"Encounter_6","Encounter","Day 42","3da91952-0d97-42f2-9adc-ff76d4411539","E7","Week 6"
"Encounter_7","Encounter","Day 56","1f03044a-3cc6-4a8c-94e6-7341aa7f311f","E8","Week 8"
"Encounter_8","Encounter","Day 84","85e7c1e2-418e-447a-bab3-bf4477b589c7","E9","Week 12"
"Encounter_9","Encounter","Day 112","d00bca1b-443f-4ab8-bc9a-c8f539cdfeb1","E10","Week 16"
"Encounter_10","Encounter","Day 140","cb4e1cad-1780-4d5b-b172-24e67cd8fea1","E11","Week 20"
"Encounter_11","Encounter","Day 168","75979e60-2409-4a2f-a909-70d4c353b84b","E12","Week 24"
"Encounter_12","Encounter","Day 182","f2a48134-b642-4e83-9bc3-9e9c2871fa47","E13","Week 26"
