"id","text","instanceType","uuid:ID","name"
"TransitionRule_1","Subject identifier","TransitionRule","492c72cd-0979-452e-8c00-b51056db86fc","ENCOUNTER_START_RULE_1"
"TransitionRule_2","completion of screening activities","TransitionRule","77bb5618-c817-446e-90aa-3717718da34b","ENCOUNTER_START_RULE_1"
"TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule","e623d725-6580-4290-984a-2e19a1e24901","ENCOUNTER_START_RULE_2"
"TransitionRule_4","subject has connection of ambulatory ECG machine removed","TransitionRule","da6d501d-89e9-4fa1-9565-f4977f017c13","ENCOUNTER_START_RULE_3"
"TransitionRule_5","Radomized","TransitionRule","98988c6f-d7bb-4d55-bef9-b6113f55fb60","ENCOUNTER_START_RULE_3"
"TransitionRule_6","End of treatment","TransitionRule","c1b65468-78f8-4d25-8944-3631d22cfee8","ENCOUNTER_START_RULE_12"
"TransitionRule_7","Informed consent","TransitionRule","5f56d7fa-703a-4764-90e1-b9801f8adae1","ELEMENT_START_RULE_1"
"TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule","4f43d9c4-be88-45f5-9a94-3120cb4bd52d","ELEMENT_END_RULE_1"
"TransitionRule_9","Administration of first dose","TransitionRule","22c1101a-e078-480b-bd0c-aa87fedffc76","ELEMENT_START_RULE_2"
"TransitionRule_14","End of last scheduled visit on study (including early termination)","TransitionRule","fc9e6cd6-0bae-4288-ba8c-2366b222bf7b","ELEMENT_START_RULE_7"
"TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule","86cbf145-27db-4bcf-88e5-5fc01cb063c6","ELEMENT_END_RULE_7"
"TransitionRule_10","Administration of first dose","TransitionRule","f35470a6-367f-4bc2-8b75-147ced944428","ELEMENT_START_RULE_3"
"TransitionRule_11","Randomized","TransitionRule","92a29423-c076-446a-a55c-00723aa84ed1","ELEMENT_START_RULE_4"
"TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","TransitionRule","908d3e98-0d8d-4a0e-9338-7335c1699247","ELEMENT_START_RULE_5"
"TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","TransitionRule","41a40419-fdde-42bd-97ba-95197f097c09","ELEMENT_START_RULE_6"
