"id","text","instanceType","description","uuid:ID","name","label","purpose"
"Endpoint_1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint","","3598ce2b-4532-439e-adc6-6930da36b269","END1","",""
"Endpoint_2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint","","b8daec2d-8187-4755-9825-6aae410e5475","END2","",""
"Endpoint_3","Adverse events","Endpoint","","6c5e4b6d-4ae5-4ee0-afc4-3c5892fc4f12","END3","",""
"Endpoint_4","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint","","6a30d79f-8a41-4574-a226-ef9892701a1e","END4","",""
"Endpoint_5","Laboratory evaluations (Change from Baseline)","Endpoint","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","a3032218-2296-4f29-b83d-f3a1e3817a73","END5","",""
"Endpoint_6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint","","21410260-f6c8-4ba2-8258-1a044dfdc2dc","END6","",""
"Endpoint_7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint","","40b469c2-6dd8-47b1-976f-fc2a40be3508","END7","",""
"Endpoint_8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint","","d2a793bf-13f7-48fb-8a50-d1bf180b8de6","END8","",""
"Endpoint_9","*** To be determined from protocol ***","Endpoint","","525a8ec6-d31f-4616-87c8-f90464a67d61","END9","",""
"Endpoint_10","*** To be determined from protocol ***","Endpoint","","e32915c0-6a0a-40f6-9b77-1004509f87ee","END10","",""
"Endpoint_11","*** To be determined from protocol ***","Endpoint","","c32ea32c-8054-4656-bbc8-b1dc0a1c6476","END11","",""
