"id","instanceType","isEnabled","uuid:ID","isRequired","name","label","datatype"
"BiomedicalConceptProperty_89","BiomedicalConceptProperty","True","cd47a88a-f9da-4520-932f-f892f742d8ed","True","Sex","Sex","string"
"BiomedicalConceptProperty_90","BiomedicalConceptProperty","True","70e99a00-9727-4d86-a1c8-0d75ac3db7f7","True","Race","Race","string"
"BiomedicalConceptProperty_91","BiomedicalConceptProperty","True","1b892ee7-587e-4e2f-b007-fae401d558aa","True","Clinical Test Result","Clinical Test Result","decimal"
"BiomedicalConceptProperty_92","BiomedicalConceptProperty","True","8c741441-a1d4-433e-8142-829ff0812779","True","Unit of Temperature","Unit of Temperature","string"
"BiomedicalConceptProperty_93","BiomedicalConceptProperty","True","ef58c482-b633-4f6c-86df-ca05c93fa59c","True","Anatomic Site","Anatomic Site","string"
"BiomedicalConceptProperty_94","BiomedicalConceptProperty","True","89b1da28-17dc-45c0-8298-d131da782e90","True","Clinical Test Result","Clinical Test Result","decimal"
"BiomedicalConceptProperty_95","BiomedicalConceptProperty","True","63606036-b593-4952-8652-db5e57d4755b","True","Unit of Weight","Unit of Weight","string"
"BiomedicalConceptProperty_96","BiomedicalConceptProperty","True","4bf47348-b372-493e-b29c-604eb59d71a9","True","Clinical Test Result","Clinical Test Result","decimal"
"BiomedicalConceptProperty_97","BiomedicalConceptProperty","True","a8ee583f-f882-4139-af53-18f3aeab08f0","True","Unit of Height","Unit of Height","string"
"BiomedicalConceptProperty_98","BiomedicalConceptProperty","True","049290fa-1840-4ccf-8514-e762c81d5735","True","Laboratory Test Result","Laboratory Test Result","decimal"
"BiomedicalConceptProperty_99","BiomedicalConceptProperty","True","91ee0511-8e4c-4e4f-a27d-78fdf0bd5dcc","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","boolean"
"BiomedicalConceptProperty_100","BiomedicalConceptProperty","True","449bf24b-c426-4c34-8266-a40c52051651","True","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","string"
