"id","instanceType","description","window","uuid:ID","windowUpper","windowLower","name","value","label"
"Timing_1","Timing","Screening timing","","2533d168-1b3d-410b-a760-bbbde5325beb","","","TIM1","P2W","Screening"
"Timing_2","Timing","Pre dose timing","-4..0 hours","830afb1c-6426-48d2-b341-199c63c191b9","PT0H","PT4H","TIM2","P2D","Pre dose"
"Timing_3","Timing","Dosing anchor","","fffe5d99-b205-420d-863e-af4796ade8c0","","","TIM3","P1D","Dosing"
"Timing_4","Timing","Week 2 timing","-3..3 days","e00843d0-1af0-4b7b-b67b-2d40708f65d1","P3D","P3D","TIM4","P2W","Week 2"
"Timing_5","Timing","Week 4 timing","-3..3 days","300e8a89-0a62-4043-ae02-81fd137b87fb","P3D","P3D","TIM5","P4W","Week 4"
"Timing_6","Timing","Week 6 timing","-3..3 days","a8a70ad8-fcf6-4a94-a582-3d75224d002a","P3D","P3D","TIM6","P6W","Week 6"
"Timing_7","Timing","Week 8 timing","-3..3 days","bfde8760-15f2-4ddb-a142-588fea4fdaf3","P3D","P3D","TIM7","P8W","Week 8"
"Timing_9","Timing","Week 12 timing","-4..4 days","16921a02-7e9a-4f77-b1d2-a160e058665c","P4D","P4D","TIM9","P12W","Week 12"
"Timing_11","Timing","Week 16 timing","-4..4 days","9dbe65b1-0c53-4ac2-a4d8-55346b2af4c0","P4D","P4D","TIM11","P16W","Week 16"
"Timing_13","Timing","Week 20 timing","-4..4 days","1e3d2bc5-b3c0-467f-aa1e-f54fa9d3d3e2","P4D","P4D","TIM13","P20W","Week 20"
"Timing_15","Timing","Week 24 timing","-4..4 days","9568d017-4007-4703-9610-cdc4b5742751","P4D","P4D","TIM15","P24W","Week 24"
"Timing_16","Timing","Week 26 timing","-3..3 days","3d367ba5-a902-48ab-ae14-fcc7848b8fe3","P3D","P3D","TIM16","P26W","Week 26"
"Timing_8","Timing","Week 8 at home timing","","4b85f8fe-0bb1-42fd-ac88-41390d3bdaac","","","TIM8","P2W","Week 8 Home"
"Timing_10","Timing","Week 12 at home timing","","74a9eb41-0316-48b5-bea1-dafd2aefc8cc","","","TIM10","P2W","Week 12 Home"
"Timing_12","Timing","Week 16 at home timing","","e54f5b71-236e-4b21-b252-c2b95564961d","","","TIM12","P2W","Week 16 Home"
"Timing_14","Timing","Week 20 at home timing","","0300d626-be8a-415a-9c05-68208fec250b","","","TIM14","P2W","Week 20 Home"
"Timing_17","Timing","Adverse Event","","de21102b-7770-4ab2-b8cd-4aa4f4d39ac6","","","TIM17","P1D","Adverse Event"
"Timing_18","Timing","Early Termination","","12be01a1-8d0c-4e22-abc5-c00632978338","","","TIM18","P1D","Early Termination"
"Timing_19","Timing","Supine","","5bfee215-7067-4782-a076-5fe4f397dd2c","","","TIM19","PT0M","Supine"
"Timing_20","Timing","VS while supine","","b09b7031-fa03-4d96-b1f0-6daffb79567e","","","TIM20","PT5M","VS while supine"
"Timing_21","Timing","Standing","","293f9454-76fd-4018-9fc1-d291339717b0","","","TIM21","PT0M","Standing"
"Timing_22","Timing","VS while standing","","eb8ebe79-799a-4adb-9ddc-bee2ea1de11a","","","TIM22","PT1M","VS while standing"
"Timing_23","Timing","Standing","","66fcd63a-7d4c-46a7-98ab-f872a624339f","","","TIM23","PT0M","Standing"
"Timing_24","Timing","VS while standing","","6aa344f7-2335-48a3-8c0c-6b9c68e0109e","","","TIM24","PT2M","VS while standing"
