"id","reference","instanceType","uuid:ID","synonyms","name","label"
"BiomedicalConcept_20","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept","635c6a8a-d3fd-4c24-b943-1f1ede15f4b8","","Sex","Sex"
"BiomedicalConcept_21","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept","b6369558-1db0-42c9-9915-52239a0e5a2c","['Racial Group']","Race","Race"
"BiomedicalConcept_22","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","BiomedicalConcept","64ccdfc6-2d18-4695-82f5-e4e85cbd770c","['Temperature']","Body Temperature","Body Temperature"
"BiomedicalConcept_23","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","BiomedicalConcept","05ce73f2-549c-4743-98a1-c01b8b1ad0f1","['Weight']","Body Weight","Body Weight"
"BiomedicalConcept_24","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","BiomedicalConcept","7176bd5c-5111-45ea-ad1a-497055dc1de0","['Height']","Body Height","Body Height"
"BiomedicalConcept_25","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept","db59cb54-16c4-4de5-9bd4-febf96bae09a","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement"
"BiomedicalConcept_26","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept","9c4e1192-54b0-4e8e-bfe9-0ffa6c2d5e11","['Albumin']","Albumin Measurement","Albumin Measurement"
"BiomedicalConcept_27","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept","1bae4203-e7a8-4d46-95d2-df29b4f07480","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement"
"BiomedicalConcept_28","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept","51e66883-1f12-4894-8a7c-a811a56212bc","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement"
"BiomedicalConcept_29","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept","7cc4ec07-370a-409b-9647-10d4c9a1d013","['Creatinine']","Creatinine Measurement","Creatinine Measurement"
"BiomedicalConcept_30","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept","4734f5e3-3d69-4081-988a-916898956460","['Potassium', 'K']","Potassium Measurement","Potassium Measurement"
"BiomedicalConcept_31","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept","39188b5e-f9fc-4003-9717-30e2af31698e","['Sodium', 'NA']","Sodium Measurement","Sodium Measurement"
"BiomedicalConcept_1","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C41331","BiomedicalConcept","e40d3232-5d6a-40c5-8ae9-9eae18404e70","","Adverse Event","Adverse Event"
"BiomedicalConcept_2","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","BiomedicalConcept","404d34f0-170d-4eaf-a1ce-63ec714248bf","['SYSBP']","Systolic Blood Pressure","Systolic Blood Pressure"
"BiomedicalConcept_3","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","BiomedicalConcept","e30ba4c5-5ceb-4143-b6f9-de2b6e63fd2f","['DIABP']","Diastolic Blood Pressure","Diastolic Blood Pressure"
"BiomedicalConcept_4","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","BiomedicalConcept","f1c65bd7-69eb-40a3-abd5-39a8e3de2efd","['Temperature']","Body Temperature","Body Temperature"
"BiomedicalConcept_5","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","BiomedicalConcept","f3c6d8f6-48bc-4bda-a2b0-46e9b102c4d2","['Weight']","Body Weight","Body Weight"
"BiomedicalConcept_6","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","BiomedicalConcept","4bfff13c-e2c7-4cbf-bca2-9557a4060b44","['Height']","Body Height","Body Height"
"BiomedicalConcept_7","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept","889dc1c3-dffa-431d-8292-791efdf4e3e4","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement"
"BiomedicalConcept_8","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept","746af095-6c15-4c26-b9a8-087e816c56c5","['Albumin']","Albumin Measurement","Albumin Measurement"
"BiomedicalConcept_9","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept","023876bc-a288-44ee-985a-8655d6239a85","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement"
"BiomedicalConcept_10","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept","8fffeff0-ce9e-4029-97a8-256fa05fc858","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement"
"BiomedicalConcept_11","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept","5e708969-f0e1-4c2b-a9a0-f0ee1347f78d","['Creatinine']","Creatinine Measurement","Creatinine Measurement"
