"id","instanceType","description","uuid:ID","name","label"
"Activity_1","Activity","","66e857f6-559e-47dc-b6dc-0dcc8597f32f","Informed consent","Informed consent"
"Activity_2","Activity","","cf4b5a4f-a040-446f-9b6f-9131953753bf","Inclusion/exclusion criteria","Inclusion and exclusion criteria"
"Activity_3","Activity","","1e1b6629-eb73-4e2b-ac98-7718784b2ad8","Patient number assigned","Patient number assigned"
"Activity_4","Activity","","51bbbc9b-9787-43b5-909f-bb97fc48799b","Demographics","Demographics"
"Activity_5","Activity","","b2f79fab-f9a3-47ae-86b1-4a9b8bbaf3d3","Hachinski","Hachinski Ischemic Scale"
"Activity_6","Activity","","71a0f7be-6707-44ff-9b5b-7254ce539019","MMSE","MMSE"
"Activity_7","Activity","","9694501e-4336-4bd7-9010-da9cebbdb1ff","Physical examination","Physical examination"
"Activity_8","Activity","","45aeba46-f677-4593-b44a-84f7a4e3fe17","Medical history","Medical history"
"Activity_9","Activity","","b70bc28f-1f58-45be-91ee-906313ed7ed0","Habits","Habits"
"Activity_10","Activity","","6c458834-997f-45b6-981f-ff1d522d8781","Chest X-ray","Chest X-ray"
"Activity_11","Activity","","dc300e43-191e-4fb4-9baa-886a23c6d297","Apo E genotyping","Apo E genotyping"
"Activity_12","Activity","","cb8b7bd6-0db6-4c98-bafb-9867dd0bb824","Patient randomised","Patient randomised"
"Activity_13","Activity","","89f52e09-d6fa-469b-a3d4-a8e9fd223680","Vital signs / Temperature","Vital Signs and Temperature"
"Activity_14","Activity","","da91b5f6-9993-4b2b-be5e-9bcee485f9cf","Ambulatory ECG placed","Ambulatory ECG placed"
"Activity_15","Activity","","00d46752-8d3f-4355-80d6-aa3b65162e4a","Ambulatory ECG removed","Ambulatory ECG removed"
"Activity_16","Activity","","c396c4d7-c43c-4088-9f3b-fc5e5216fa04","ECG","ECG"
"Activity_17","Activity","","e1107991-5621-44f3-b9df-b2c132f7e6b8","Placebo TTS test","Placebo TTS test"
"Activity_18","Activity","","2030fb04-96ac-406c-9d14-c1e6a894a4e8","CT scan","CT scan"
"Activity_19","Activity","","5674216f-96fd-4e1f-a25e-45a06ecd7883","Concomitant medications","Concomitant medications"
"Activity_20","Activity","","e77ac42d-60d6-4860-bbd2-84950922309e","Hematology","Hematology"
"Activity_21","Activity","","25d7fb40-0480-41c8-b773-2292ddb688eb","Chemistry","Chemistry"
"Activity_22","Activity","","4d521dc9-db37-40d7-a433-59fc0a185e9b","Uninalysis","Uninalysis"
"Activity_23","Activity","","4eb8840f-1eca-4992-95e2-e15c5048e524","Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)"
"Activity_24","Activity","","68f442e9-29c1-4936-b575-58a0130e7e96","Hemoglobin A1C","Hemoglobin A1C"
"Activity_25","Activity","","6d8107f8-e0e5-45c6-8bed-6346db2ddbe2","Study drug","Study drug record , Medications dispensed, Medications returned"
"Activity_26","Activity","","551fbe1e-8eab-465e-a2cc-744ac5d3b623","TTS Acceptability Survey","TTS Acceptability Survey"
"Activity_27","Activity","","6297f4ab-77c9-46aa-8275-62bbf1bb1ee6","ADAS-Cog","ADAS-Cog"
"Activity_28","Activity","","9806a11e-69b0-4266-8cbe-992b4ba938a9","CIBIC+","CIBIC+"
"Activity_29","Activity","","a5cdb75a-507a-4882-9f57-c604e08e111c","DAD","DAD"
"Activity_30","Activity","","d506b0d1-a9f6-4fe8-a359-76612d2f0637","NPI-X","NPI-X"
"Activity_31","Activity","","c41e6835-6dc4-4746-8b22-87ad1adb0885","Adverse events","Adverse events"
"Activity_32","Activity","","f2afe82b-8183-43a6-98c0-c247d5c93fe1","Check adverse events","Check adverse events"
"Activity_33","Activity","","3537466d-8a27-497f-af45-d790782c8fa8","Supine","Subject supine"
"Activity_34","Activity","","010c466c-1194-4a21-8506-888842999277","Vital Signs Supine","Vital signs while supine"
"Activity_35","Activity","","40f0d9b1-3970-4f7a-b3c7-63ecb5dda48c","Stand","Subject Standing"
"Activity_36","Activity","","5a1453d2-ef71-4483-a745-53dca3f1cecd","Vital Signs Standing","Vital signs while standing"
