"id","instanceType","decode","uuid:ID","codeSystemVersion","code","codeSystem"
"Code_1","Code","Interventional Study","f7ddc4e3-d3b6-4b05-82a4-45a3ee786e9a","2023-09-29","C98388","http://www.cdisc.org"
"Code_2","Code","Phase II Trial","0d15a73a-4601-4ed0-880e-b0957bb48897","2023-09-29","C15601","http://www.cdisc.org"
"Code_9","Code","Sponsor Approval Date","01ff0ba9-7306-4f2a-984f-6b4ac95338c3","2023-09-29","C132352","http://www.cdisc.org"
"Code_10","Code","Global","e550c62f-3b32-4906-95a5-58670fa7f206","2023-09-29","C68846","http://www.cdisc.org"
"Code_72","Code","IRB/IEC Feedback","f7fb369d-dff2-4309-b4d3-a9b979ef472b","2023-09-29","C99904x3","http://www.cdisc.org"
"Code_73","Code","Other","9a57755f-b548-4167-97bb-a3aac12f8f46","2023-09-29","C17649","http://www.cdisc.org"
"Code_75","Code","Region","9e6ee498-dcfb-40bc-b098-5c9f529d3d78","2023-09-29","C41129","http://www.cdisc.org"
"Code_74","Code","Europe","01081dd0-9ae2-409f-8443-09068858b8a3","2020-08","150","ISO 3166 1 alpha3"
"Code_4","Code","Eli Lilly","4cf37557-2e2a-4dd1-8582-08f9bbf64b45","12","PHARMA","SPONSOR"
"Code_76","Code","Clinical Study Sponsor","750744c2-b535-4b29-8044-8d2c13f7ed87","2023-09-29","C70793","http://www.cdisc.org"
"Code_77","Code","United States of America","b9de54b4-06aa-49d0-9ba1-139cc93176d8","2020-08","USA","ISO 3166 1 alpha3"
"Code_78","Code","Study Registry","65e1f454-1e6c-494b-98c5-2196bf1643ef","2023-09-29","C93453","http://www.cdisc.org"
"Code_79","Code","United States of America","b3c0d507-8ca5-4d1d-9134-31563fb4bc8c","2020-08","USA","ISO 3166 1 alpha3"
"Code_137","Code","Treatment Study","9d1fe20d-2e28-4fdd-b931-4b485ee8bb54","2023-09-29","C49656","http://www.cdisc.org"
"Code_138","Code","Efficacy Study","cd85f9f4-f5c0-4dfe-b8b1-12f87efb22fb","2023-09-29","C49666","http://www.cdisc.org"
"Code_139","Code","Safety Study","93023bf6-eacb-4943-bcb2-966ed23b54c4","2023-09-29","C49667","http://www.cdisc.org"
"Code_140","Code","Pharmacokinetic Study","16ccc1a6-b451-4120-99d6-87a6712f6c5d","2023-09-29","C49663","http://www.cdisc.org"
"Code_134","Code","Mild to Moderate Alzheimer's Disease","ab518bc2-e99a-481c-bba7-267ccdf39be1","12","MILD_MOD_ALZ","SPONSOR"
"Code_135","Code","Alzheimer's disease","cf18c0d4-669b-4f1d-8696-0b3c3f47569b","January 31, 2018","26929004","SNOMED"
"Code_143","Code","EXTENSION","98bef5b5-9cb6-451e-91c6-3b11a76a5c65","2023-09-29","C99907x1","http://www.cdisc.org"
"Code_144","Code","ADAPTIVE","24d711b0-fb40-4a98-b692-5d80fd4fa8f3","2023-09-29","C98704","http://www.cdisc.org"
"Code_141","Code","Parallel Study","d8c77488-0947-4161-93f2-d9ae6bcf3eed","2023-09-29","C82639","http://www.cdisc.org"
"Code_83","Code","Visit","8fd61941-fccc-49fb-9b66-9e6b19ac7341","2023-09-29","C25716","http://www.cdisc.org"
"Code_84","Code","Clinic","05c1323b-1068-4484-9b66-18c0c73801b6","2023-09-29","C51282","http://www.cdisc.org"
"Code_85","Code","In Person","f04de46b-e496-427d-b66a-91f0e516518b","2023-09-29","C175574","http://www.cdisc.org"
"Code_86","Code","Visit","14696c93-3d2e-4cfc-bafb-9b1d7483358e","2023-09-29","C25716","http://www.cdisc.org"
"Code_87","Code","Clinic","ceb78f47-d580-4911-bf22-6fcdc4ef854b","2023-09-29","C51282","http://www.cdisc.org"
"Code_88","Code","In Person","cad743dc-06a9-484e-a274-e1400fd161ed","2023-09-29","C175574","http://www.cdisc.org"
"Code_89","Code","Visit","3d6fd1b3-c2ed-4097-aa6d-f8a3466de817","2023-09-29","C25716","http://www.cdisc.org"
"Code_90","Code","Clinic","8c6d1715-1e9f-404f-94a4-8f3bf8f95266","2023-09-29","C51282","http://www.cdisc.org"
"Code_91","Code","In Person","550f5606-1b69-4475-a4b0-e6ce7e7120ee","2023-09-29","C175574","http://www.cdisc.org"
"Code_92","Code","Visit","77533d11-33ce-43d2-87f6-9481062a637e","2023-09-29","C25716","http://www.cdisc.org"
"Code_93","Code","Clinic","b894cb99-2001-45f3-bcb6-ebf6e79f3e96","2023-09-29","C51282","http://www.cdisc.org"
"Code_94","Code","In Person","4662684e-22fd-481f-a2f7-86b619d80676","2023-09-29","C175574","http://www.cdisc.org"
"Code_95","Code","Visit","5d79f468-8525-46b4-9145-fcaf9e2fec97","2023-09-29","C25716","http://www.cdisc.org"
"Code_96","Code","Clinic","ee4c5232-dcd2-45f7-ab90-5a26e99e8080","2023-09-29","C51282","http://www.cdisc.org"
"Code_97","Code","In Person","5fc859ba-75cc-4834-9ab7-0ac3a17d64ac","2023-09-29","C175574","http://www.cdisc.org"
"Code_98","Code","Visit","5b74576b-ff17-48a2-b1d6-2c3798918764","2023-09-29","C25716","http://www.cdisc.org"
"Code_99","Code","Clinic","fcba37de-2b12-45fc-b44e-baf3718ffecc","2023-09-29","C51282","http://www.cdisc.org"
"Code_100","Code","In Person","89263988-d8dc-4264-859b-967ef58c08fe","2023-09-29","C175574","http://www.cdisc.org"
"Code_101","Code","Visit","61b43803-0ecc-4df8-805c-314d9071aa69","2023-09-29","C25716","http://www.cdisc.org"
"Code_102","Code","Clinic","c1f0a481-cbc5-44ba-9912-07b5fd012158","2023-09-29","C51282","http://www.cdisc.org"
"Code_103","Code","In Person","4a05055d-7f56-420a-92bc-cc9495d0923f","2023-09-29","C175574","http://www.cdisc.org"
"Code_104","Code","Telephone Call","fd412422-a546-4eef-9850-34c0456d294b","2023-09-29","C171537","http://www.cdisc.org"
"Code_105","Code","Visit","7d70abe3-bef1-4df2-ae8c-322cc8d79677","2023-09-29","C25716","http://www.cdisc.org"
