"id","uuid:ID","instanceType","codeSystem","codeSystemVersion","decode","code"
"Code_1","e696df91-ab71-41a1-9c16-f9d4c13a0e52","Code","http://www.cdisc.org","2023-12-15","Interventional Study","C98388"
"Code_2","0a6d39fd-feee-46db-bcf3-c39791cdad76","Code","http://www.cdisc.org","2023-12-15","Phase II Trial","C15601"
"Code_9","d488daac-3257-4838-bbb1-b0411b5ea34c","Code","http://www.cdisc.org","2023-12-15","Sponsor Approval Date","C132352"
"Code_10","6c8a0857-b0ef-4d71-88f8-ac7b73e574aa","Code","http://www.cdisc.org","2023-12-15","Global","C68846"
"Code_72","d1acc10b-df7d-4a26-b5d0-c6b8ea0da5ec","Code","http://www.cdisc.org","2023-12-15","IRB/IEC Feedback","C99904x3"
"Code_73","0233da75-f150-425d-9746-9be8549fa3b3","Code","http://www.cdisc.org","2023-12-15","Other","C17649"
"Code_75","675ba908-46af-4385-9670-79bc78a82dfc","Code","http://www.cdisc.org","2023-12-15","Region","C41129"
"Code_74","99de76af-8a78-4374-81bd-3142e29ccd5b","Code","ISO 3166 1 alpha3","2020-08","Europe","150"
"Code_4","73b0ff54-379a-43c8-9edb-5cab7415504e","Code","SPONSOR","12","Eli Lilly","PHARMA"
"Code_76","c7ca1975-e637-4eef-8c6f-95e7f785f763","Code","http://www.cdisc.org","2023-12-15","Clinical Study Sponsor","C70793"
"Code_77","73fda7bf-af00-46dc-ab4b-c39c64828f0c","Code","ISO 3166 1 alpha3","2020-08","United States of America","USA"
"Code_78","db939f52-88f0-4ad3-8b50-7a15e30e6aed","Code","http://www.cdisc.org","2023-12-15","Study Registry","C93453"
"Code_79","2e114dcf-c24e-4562-801d-cbb6f9fdde63","Code","ISO 3166 1 alpha3","2020-08","United States of America","USA"
"Code_137","2c538e65-20b4-4b33-ae17-b70083ab7fbe","Code","http://www.cdisc.org","2023-12-15","Treatment Study","C49656"
"Code_138","cbfaa965-0d29-47cc-b5f1-af223ee37fd1","Code","http://www.cdisc.org","2023-12-15","Efficacy Study","C49666"
"Code_139","934c7b12-1c89-46e0-a24a-e20bf91cf990","Code","http://www.cdisc.org","2023-12-15","Safety Study","C49667"
"Code_140","cba86a5c-a76f-4f67-937f-826e256a2d8a","Code","http://www.cdisc.org","2023-12-15","Pharmacokinetic Study","C49663"
