"id","name","uuid:ID","label","instanceType","description"
"Encounter_1","E1","dcdf9d90-a899-4c76-b476-e088f02ce225","Screening 1","Encounter","Screening encounter"
"Encounter_2","E2","19b7ef21-e07a-42d5-a059-f3620d6fa55c","Screening 2","Encounter","Screening encounter - Ambulatory ECG Placement"
"Encounter_3","E3","ebc0bad1-4568-45ac-bdb4-9c487b33794b","Baseline","Encounter","Baseline encounter - Ambulatory ECG Removal"
"Encounter_4","E4","c256fdbe-52ff-41f5-9bc6-c84d66ce6661","Week 2","Encounter","Day 14"
"Encounter_5","E5","5b62fa65-8ae0-41b7-add3-2dae3fae8b2b","Week 4","Encounter","Day 28"
"Encounter_6","E7","ec894a13-77d3-4394-966e-cc69aafb3d46","Week 6","Encounter","Day 42"
"Encounter_7","E8","171508c5-2876-4286-b778-b0f8c51d8146","Week 8","Encounter","Day 56"
"Encounter_8","E9","5007bb7a-b5c5-4390-847f-643dba367503","Week 12","Encounter","Day 84"
"Encounter_9","E10","bb16f97b-fb50-4eac-a307-24cc195a55bf","Week 16","Encounter","Day 112"
"Encounter_10","E11","5ce8bdd5-2621-4553-bfac-dc7f5ea7cf5f","Week 20","Encounter","Day 140"
"Encounter_11","E12","978df734-c7f4-487a-a17b-fe0b449fe40e","Week 24","Encounter","Day 168"
"Encounter_12","E13","f9cf934b-76cf-4514-a22a-f5d35e1bdae1","Week 26","Encounter","Day 182"
