"id","name","uuid:ID","label","instanceType","synonyms","reference"
"BiomedicalConcept_20","Sex","3ede7a26-2d22-44c3-b198-7dbc6753fa51","Sex","BiomedicalConcept","","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421"
"BiomedicalConcept_21","Race","131dc51a-9eb3-4255-b753-1864410e59fe","Race","BiomedicalConcept","['Racial Group']","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049"
"BiomedicalConcept_22","Temperature","cee7d09b-fa5c-4c56-aa7f-44c0a8109634","Temperature","BiomedicalConcept","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP"
"BiomedicalConcept_23","Weight","c04b43b1-167d-492b-b7cd-49dd4049a4f4","Weight","BiomedicalConcept","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT"
"BiomedicalConcept_24","Height","1521c95d-c88c-42b5-bb48-9488ab151f45","Height","BiomedicalConcept","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT"
"BiomedicalConcept_25","Alanine Aminotransferase Concentration in Serum/Plasma","2f7d46e6-5cf2-4b28-9a1c-1580811969e5","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL"
"BiomedicalConcept_26","Albumin Presence in Urine","2a1bcf5e-5817-45c0-a344-c0b05a80062d","Albumin Presence in Urine","BiomedicalConcept","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES"
"BiomedicalConcept_27","Alkaline Phosphatase Concentration in Serum/Plasma","1b10b8e6-0e53-4f35-815b-2742cf64b2af","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL"
"BiomedicalConcept_28","Aspartate Aminotransferase in Serum/Plasma","a8cf83aa-bc8e-4ffc-aea2-08edf9d89cf5","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL"
"BiomedicalConcept_29","Creatinine Concentration in Urine","e287ad91-f553-4fa3-ad3a-3e6e9c1929eb","Creatinine Concentration in Urine","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN"
"BiomedicalConcept_30","Potassium Concentration in Urine","1bebf8f0-165d-4d26-8592-2877ed6b3b72","Potassium Concentration in Urine","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN"
"BiomedicalConcept_31","Sodium Concentration in Urine","ae866510-163c-490d-bd30-6bf68372ff45","Sodium Concentration in Urine","BiomedicalConcept","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN"
"BiomedicalConcept_32","Hemoglobin A1C Concentration in Blood","684da529-a215-4fc7-be63-38e4ac490987","Hemoglobin A1C Concentration in Blood","BiomedicalConcept","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD"
