"id","name","uuid:ID","label","instanceType","description"
"ScheduledActivityInstance_9","SCREEN1","9a495f48-4e3d-4185-8619-f050be585a48","Screen One","ScheduledActivityInstance","-"
"ScheduledActivityInstance_10","SCREEN2","d0af7e28-069b-45cd-8409-9c7466c8ff7d","Screen Two","ScheduledActivityInstance","-"
"ScheduledActivityInstance_11","DOSE","76636837-8d64-47b4-b2a3-c3fa06fd3a06","Dose","ScheduledActivityInstance","-"
"ScheduledActivityInstance_12","WK2","72cb6a76-7b52-4f25-af90-c57aee01943f","Week 2","ScheduledActivityInstance","-"
"ScheduledActivityInstance_13","WK4","bd981276-abf6-4984-97fb-92abb8ce1e45","Week 4","ScheduledActivityInstance","-"
"ScheduledActivityInstance_14","WK6","800a6b61-648d-46ef-b79e-4db0fcb7dd85","Week 6","ScheduledActivityInstance","-"
"ScheduledActivityInstance_15","WK8","1b19d78c-2b12-4ce8-9f95-081a13852a83","Week 8","ScheduledActivityInstance","-"
"ScheduledActivityInstance_16","WK8N","40f11adf-1d9b-4625-9b7e-654fcb7888e3","Week NPI","ScheduledActivityInstance","-"
"ScheduledActivityInstance_17","WK12","1bab1d70-e33c-4664-a786-fce9d222695f","Week 12","ScheduledActivityInstance","-"
"ScheduledActivityInstance_18","WK12N","dc9fea36-934d-47ce-ba9a-a40df7e966cb","Week 12 NPI","ScheduledActivityInstance","-"
"ScheduledActivityInstance_19","WK16","27ca2927-4422-4fca-b6ab-cc3b73a770f9","Week 16","ScheduledActivityInstance","-"
"ScheduledActivityInstance_20","WK16N","9aea40b0-b66a-4a75-aa2d-e19d36ba4cbb","Week 16 NPI","ScheduledActivityInstance","-"
"ScheduledActivityInstance_21","WK20","6bd208f6-7b96-413e-b5e3-dc3ba490e8bb","Week 20","ScheduledActivityInstance","-"
"ScheduledActivityInstance_22","WK20N","00c2ea00-7a20-43af-ae9e-7dcdcfae38d2","Week 20 NPI","ScheduledActivityInstance","-"
"ScheduledActivityInstance_23","WK24","8b5006cd-9e43-495e-b583-2e0a164e2eb6","Week 24","ScheduledActivityInstance","-"
"ScheduledActivityInstance_24","WK26","e7946221-f2dd-4de8-bcda-e46b354a2f05","Week 26","ScheduledActivityInstance","-"
"ScheduledActivityInstance_1","AE","cd5f81c8-8dcc-4c6e-89db-4e5f944b4c3b","Adevers Event","ScheduledActivityInstance","-"
"ScheduledActivityInstance_2","ET","787a25b8-6410-4bbe-b375-14f0bcbfd344","Early Termination","ScheduledActivityInstance","-"
"ScheduledActivityInstance_3","VS_5MIN","b68ea9fb-faef-485e-97c9-c3a7e9167552","5 minute supine","ScheduledActivityInstance",""
"ScheduledActivityInstance_4","VS_SUPINE","e19dd551-9e70-4d2f-8e20-1678ac8a48bd","Vital signs supine","ScheduledActivityInstance",""
"ScheduledActivityInstance_5","VS_1MIN","4ce392bc-65d0-4e9f-9a89-0767ba092b0b","1 minute standing","ScheduledActivityInstance",""
"ScheduledActivityInstance_6","VS_STAND1","4a27305c-d449-457f-9f55-cd27366e5675","Vital signs after 1 min standing","ScheduledActivityInstance",""
"ScheduledActivityInstance_7","VS_2MIN","7236e251-5524-47d3-9c42-360063df8794","2 minute standing","ScheduledActivityInstance",""
"ScheduledActivityInstance_8","VS_STAND3","45284d8d-823f-493a-be93-fac5fedaa4f1","Vital signs after 3 min standing","ScheduledActivityInstance",""
