"id","name","uuid:ID","instanceType","text"
"TransitionRule_1","ENCOUNTER_START_RULE_1","93d2c341-93fe-42d2-9521-c4e8491a5f31","TransitionRule","Subject identifier"
"TransitionRule_2","ENCOUNTER_START_RULE_1","a0445ce9-1249-447e-8a4f-250df85c2cb4","TransitionRule","completion of screening activities"
"TransitionRule_3","ENCOUNTER_START_RULE_2","e3285a0f-062a-401e-8cea-becae79c8c7b","TransitionRule","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule_4","ENCOUNTER_START_RULE_3","f3f90737-7ded-4af9-944b-8b7a11ab601d","TransitionRule","subject has connection of ambulatory ECG machine removed"
"TransitionRule_5","ENCOUNTER_START_RULE_3","921d50b9-c157-4ada-bc72-51daaaba6ed8","TransitionRule","Radomized"
"TransitionRule_6","ENCOUNTER_START_RULE_12","6ae93723-236a-44c5-8192-f17abc015df1","TransitionRule","End of treatment"
"TransitionRule_7","ELEMENT_START_RULE_1","3265827e-d2f3-4bbf-b122-6fa5bf6c19fa","TransitionRule","Informed consent"
"TransitionRule_8","ELEMENT_END_RULE_1","efb4713d-9928-4faf-8625-e87e5512c023","TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule_9","ELEMENT_START_RULE_2","02753821-98b9-46f9-9dcf-e003a2fd72f2","TransitionRule","Administration of first dose"
"TransitionRule_14","ELEMENT_START_RULE_7","5b7bb959-00a4-4043-b610-cd9458e409b0","TransitionRule","End of last scheduled visit on study (including early termination)"
"TransitionRule_15","ELEMENT_END_RULE_7","d499b61b-89b2-4113-8e21-d6881ceee310","TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule_10","ELEMENT_START_RULE_3","e008b0b8-455b-448a-a9cc-ef1bead59b23","TransitionRule","Administration of first dose"
"TransitionRule_11","ELEMENT_START_RULE_4","e8dd485f-2f52-49a7-a640-aaed1143703d","TransitionRule","Randomized"
"TransitionRule_12","ELEMENT_START_RULE_5","53995116-dc21-47f9-b0f3-562ea734db16","TransitionRule","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule_13","ELEMENT_START_RULE_6","b1fba4e4-1c69-4d8a-b460-79a7894602cc","TransitionRule","Administration of first dose (from patches supplied at Visit 12)"
