"id","name","uuid:ID","label","instanceType","text","description","purpose"
"Endpoint_1","END1","c04efa7d-70b2-4f32-b180-c11f1e432acd","","Endpoint","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","",""
"Endpoint_2","END2","cf403d55-043f-4cea-957e-a43567461d09","","Endpoint","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","",""
"Endpoint_3","END3","ffb32f38-cc65-48be-9483-df980180fd9a","","Endpoint","Adverse events","",""
"Endpoint_4","END4","15d09e3f-3708-445d-a1e6-57821f0fd392","","Endpoint","Vital signs (weight, standing and supine blood pressure, heart rate)","",""
"Endpoint_5","END5","3620e45d-3655-4ddb-8d54-a780cecc8cf3","","Endpoint","Laboratory evaluations (Change from Baseline)","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation",""
"Endpoint_6","END6","fe553dd4-1e79-48a2-aa7c-3a92fa64c947","","Endpoint","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","",""
"Endpoint_7","END7","1e90f1c5-dfa8-4044-969f-1c46e2e4c89f","","Endpoint","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","",""
"Endpoint_8","END8","28f345bc-27f1-4f18-8c77-e9a9c7bc3cb6","","Endpoint","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","",""
"Endpoint_9","END9","b3569627-5361-4ffc-afa8-251ca47c6f1b","","Endpoint","*** To be determined from protocol ***","",""
"Endpoint_10","END10","3be9c653-9084-4e3a-8037-d7774e64c101","","Endpoint","*** To be determined from protocol ***","",""
"Endpoint_11","END11","ac5142b7-f33f-4aef-8a0b-6c303e120771","","Endpoint","*** To be determined from protocol ***","",""
