"id","valueLabel","windowLabel","name","uuid:ID","label","windowLower","instanceType","value","description","windowUpper"
"Timing_1","2 weeks","","TIM1","f28e4c83-df98-423c-a21e-ba30564448c5","Screening","","Timing","P2W","Screening timing",""
"Timing_2","2 days","-4..0 hours","TIM2","c6ea867f-6f69-44e9-a897-c828335f41cb","Pre dose","PT4H","Timing","P2D","Pre dose timing","PT0H"
"Timing_3","1 Day","","TIM3","007022de-e163-491d-99e7-c91078a2f476","Dosing","","Timing","P1D","Dosing anchor",""
"Timing_4","2 Weeks","-3..3 days","TIM4","6df1e413-55ae-490e-915a-c3bf5f764ab5","Week 2","P3D","Timing","P2W","Week 2 timing","P3D"
"Timing_5","4 Weeks","-3..3 days","TIM5","d0b4c0bb-48c0-44fd-b2b1-aef04257cf65","Week 4","P3D","Timing","P4W","Week 4 timing","P3D"
"Timing_6","6 Weeks","-3..3 days","TIM6","4b12f986-57a4-4778-8ab0-7b8fbfd30609","Week 6","P3D","Timing","P6W","Week 6 timing","P3D"
"Timing_7","8 Weeks","-3..3 days","TIM7","cdc7b263-bf8b-4592-8f29-6e434bb3449b","Week 8","P3D","Timing","P8W","Week 8 timing","P3D"
"Timing_9","12 Weeks","-4..4 days","TIM9","c532218c-9bfb-4220-a111-28bfbc2f6477","Week 12","P4D","Timing","P12W","Week 12 timing","P4D"
"Timing_11","16 Weeks","-4..4 days","TIM11","44418053-1c2a-492b-a38f-b86998bbe251","Week 16","P4D","Timing","P16W","Week 16 timing","P4D"
"Timing_13","20 Weeks","-4..4 days","TIM13","9ffb852e-4e4e-432b-9607-475a1ae8c34c","Week 20","P4D","Timing","P20W","Week 20 timing","P4D"
"Timing_15","24 Weeks","-4..4 days","TIM15","7fb80be1-5c7c-4d30-ac80-2f21a24055ce","Week 24","P4D","Timing","P24W","Week 24 timing","P4D"
"Timing_16","26 Weeks","-3..3 days","TIM16","61d9e90a-3b9b-4c8c-a438-62deccebf45a","Week 26","P3D","Timing","P26W","Week 26 timing","P3D"
"Timing_8","2 Weeks","","TIM8","8371efcc-246c-4ad0-96bb-3ca4088c7914","Week 8 Home","","Timing","P2W","Week 8 at home timing",""
"Timing_10","2 Weeks","","TIM10","792c5f32-4006-45c3-a73e-b497b716c641","Week 12 Home","","Timing","P2W","Week 12 at home timing",""
"Timing_12","2 Weeks","","TIM12","6b13e062-1323-43ff-a9f7-a6b3a5b360e4","Week 16 Home","","Timing","P2W","Week 16 at home timing",""
"Timing_14","2 Weeks","","TIM14","4641a8a9-0e0f-4ace-9d02-2a46477376b4","Week 20 Home","","Timing","P2W","Week 20 at home timing",""
"Timing_17","1 Day","","TIM17","24e2ddd6-8d44-4b61-adfe-28ac88ab0fc7","Adverse Event","","Timing","P1D","Adverse Event",""
"Timing_18","1 Day","","TIM18","f830d858-e9c8-47c0-9595-2c5cd3bcef18","Early Termination","","Timing","P1D","Early Termination",""
"Timing_19","0 mins","","TIM19","07d34b09-49cc-45fd-b02a-84dbde80f86c","Supine","","Timing","PT0M","Supine",""
"Timing_20","5 mins","","TIM20","523f7cd1-973e-45f2-be33-2c0ed7cf9ecc","VS while supine","","Timing","PT5M","VS while supine",""
"Timing_21","0 min","","TIM21","50620010-a8b9-4ba3-ab05-93d5a89b4eee","Standing","","Timing","PT0M","Standing",""
"Timing_22","1 min","","TIM22","0e91e63b-8b89-44d7-a85e-9fd296297eb2","VS while standing","","Timing","PT1M","VS while standing",""
"Timing_23","0 min","","TIM23","088c463d-9a3d-4e47-8b2a-244d747c6dfa","Standing","","Timing","PT0M","Standing",""
"Timing_24","2 min","","TIM24","f338dd6e-6aff-4f79-af96-0375f5d116d7","VS while standing","","Timing","PT2M","VS while standing",""
