"uuid:ID","label","name","text","instanceType","id","description"
"819cf84a-9cc3-4a2a-828d-e6b620011f26","","COND1","Within 42 days of ALXN1840 administration. Details of procedures that may be performed by sites designated as “screening sites” (only in the US) are detailed in Section 8.","Condition","Condition_1",""
"2d8ce9ed-c4a9-4ca7-b226-3dd3f98c65e2","","COND2","Participants will be admitted to the clinical research unit (CRU) at least 10 hours prior to enrollment and initiation of copper- and molybdenum-controlled diet.","Condition","Condition_2",""
"0c792ab0-bf46-4b4e-a1f0-4d0b2b1262fc","","COND3","At the CRU's discretion, participants may remain in the CRU or be readmitted on Day 22 with all procedures starting on Day 23.","Condition","Condition_3",""
"6c9f29c7-19fb-40ff-8595-5a2a70d41986","","COND4","Unscheduled study visits may occur at any time during the study and may include any study procedure as deemed necessary by the Investigator.","Condition","Condition_4",""
"32a82300-c558-4a31-be58-c344f2b935b9","","COND5","Participants are required to return to the CRU Day 54+/-2; participants will be discontinued from ALXN1840 medication by their physician at the latest by the Day 54 follow-up.","Condition","Condition_5",""
"8a8404a7-8b6e-485d-bb72-94fbecd85428","Discharge","COND6","Discharge from the unit may occur after completion of all procedures on Day 9 and on Day 40 and after the Investigator has reviewed all safety assessment (including safety laboratory tests) and confirmed that the participant is appropriate for discharge.","Condition","Condition_6","Discharge from unit condition"
"36b00726-0ddf-441d-be7b-0a6c0df71635","","COND7","A single outpatient visit or phone call and safety laboratory assessment should occur between Day 14 and Day 18. A phone call may take place on a different day than the blood draw within the Day 14 through Day 18 period.","Condition","Condition_7",""
"4c046d81-2034-4768-a2dc-47f13f3f366a","","COND8","During the outpatient period, participants will use SMS text messaging to confirm study intervention administration.","Condition","Condition_8",""
"4094b7e0-e47a-44f5-a4b7-6a29436321fd","","COND9","If needed to confirm menopause.","Condition","Condition_9",""
"13aeb8c8-372e-4747-ba88-e7cfa06192a1","","COND10","Parameters include age and sex. Race and ethnicity will be collected where permitted by local regulations.","Condition","Condition_10",""
"fdc17803-9bf4-432f-90e4-78fb8f3fd549","","COND11","Wilson disease history will include diagnosis date, method of diagnosis, history of cirrhosis, details of any previous liver biopsies performed, and treatment received.","Condition","Condition_11",""
"4a48c70a-6d16-45fc-b27b-3fc369321a23","","COND12","A full physical examination will be performed at Screening, at check-in for the study, and at the End of the study/Early Termination Visit. A physical examination should also be performed on any participants with ongoing adverse events prior to discharge from the unit. Otherwise, a symptom-driven physical examination may be performed at other times, at the Principal Investigator's discretion.","Condition","Condition_12",""
"1b611f66-fe54-4280-bd2c-9b29f72aafc3","","COND13","Height at screening only.","Condition","Condition_13",""
"fc364cb5-a2bd-422f-b74c-67a930742e94","","COND14","While in the CRU, study intervention will be administered after an overnight fast (ie, at least 10 hours) at the same time every morning; drug is to be administered with 240 mL of water and meals should be delayed a minimum of 2 hours after dosing. As an outpatient, participants are expected to take ALXN1840 at approximately the same time daily (+/-1 hour). Participants should take the medication with a glass of water on an empty stomach; meals should be delayed a minimum of 2 hours after dosing.","Condition","Condition_14",""
"b4178908-0564-4621-ac69-444ceb2f0ade","","COND15","Blood sampling for PK/PD will occur before ALXN1840 administration and represents a predose trough. See Table 2 for PK/PD sampling on Days 1, 25, 29, and 39.","Condition","Condition_15",""
"b3b98c6e-a6f5-4f14-95bb-df9f53e8366f","","COND16","PK/PD collection will include timepoints described in the schedule of PK/PD assessment for Days 1, 25, 29, and 39 (Table 2).","Condition","Condition_16",""
