"uuid:ID","label","name","reference","synonyms","instanceType","id"
"65e142ea-52ab-4536-8c4c-2f74dc8b0a02","Subject Age","Subject Age","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C69260","['Age']","BiomedicalConcept","BiomedicalConcept_2"
"12d3f3d2-1707-4a43-a95f-25e4304270bb","Sex","Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","","BiomedicalConcept","BiomedicalConcept_3"
"710f6a06-b2a3-42f0-97d0-3b59b4e12013","Race","Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","['Racial Group']","BiomedicalConcept","BiomedicalConcept_4"
"df54ac92-104c-4ecc-9d8a-e56140750374","Weight","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']","BiomedicalConcept","BiomedicalConcept_5"
"42e80300-e087-4310-b098-3701cd162149","Height","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']","BiomedicalConcept","BiomedicalConcept_6"
"0282923f-ec7b-4112-8cca-f7333f35f1ee","Body Mass Index","Body Mass Index","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/BMI","['BMI', 'Quetelet Index', 'Body Mass Index']","BiomedicalConcept","BiomedicalConcept_7"
"0c917ac4-0e2c-4a8e-af4c-c977e343168c","Temperature","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']","BiomedicalConcept","BiomedicalConcept_8"
"ce08364b-edf0-4dc7-9f9b-9cb88295955e","Heart Rate","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","['Heart Rate']","BiomedicalConcept","BiomedicalConcept_9"
"a8d29da4-24df-4a40-bd32-07c0200c4722","Respiratory Rate","Respiratory Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/RESP","['Respiratory Rate']","BiomedicalConcept","BiomedicalConcept_10"
"e471107e-10d0-462f-ab23-da3c5f3a157c","Systolic Blood Pressure","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","BiomedicalConcept_11"
"66dd2589-27d1-42e8-bd30-81d57677daeb","Diastolic Blood Pressure","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","BiomedicalConcept_12"
"01e5edbe-56c2-4778-b4e9-777e0c0feafa","Adverse Event Prespecified","Adverse Event Prespecified","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept","BiomedicalConcept_1"
