"codeSystem","uuid:ID","code","decode","instanceType","id","codeSystemVersion"
"http://www.cdisc.org","81beaae9-5458-422f-833d-7262e4cad71b","C98388","Interventional Study","Code","Code_1","2023-12-15"
"http://www.cdisc.org","d8300917-5d7b-44e1-acaa-50075388524b","C15601","Phase II Trial","Code","Code_2","2023-12-15"
"http://www.cdisc.org","5497cc03-d546-4ee7-a65b-918524c70ebd","C99904x13","Protocol Design Error","Code","Code_154","2023-12-15"
"http://www.cdisc.org","df1a6aef-feb2-4d5d-b119-f0955ec44e66","C99904x12","Inconsistency And/Or Error In The Protocol","Code","Code_155","2023-12-15"
"http://www.cdisc.org","93b9e50d-b255-47fe-998e-c316fa0ed76d","C68846","Global","Code","Code_156","2023-12-15"
"http://www.cdisc.org","50b0bb2c-7aaa-4948-9c65-815c80922470","C99904x2","New Regulatory Guidance","Code","Code_157","2023-12-15"
"http://www.cdisc.org","cb164277-6833-4edc-b659-cc65c43925df","C99904x12","Inconsistency And/Or Error In The Protocol","Code","Code_158","2023-12-15"
"http://www.cdisc.org","f22147d3-a925-49fe-bc22-1f5f082d19b9","C68846","Global","Code","Code_159","2023-12-15"
"http://www.cdisc.org","15f4c5e1-42ba-460d-b1d9-7215350ce4a6","C99904x7","Change In Strategy","Code","Code_160","2023-12-15"
"http://www.cdisc.org","d4f08774-acfb-4170-bf44-8bcd611d1361","C99904x12","Inconsistency And/Or Error In The Protocol","Code","Code_161","2023-12-15"
"http://www.cdisc.org","683a4608-dfb3-43e8-b39e-102acd0e0d63","C68846","Global","Code","Code_162","2023-12-15"
"http://www.cdisc.org","2700baf2-85dc-46e0-9c4b-fc109e890e1f","C99904x11","Recruitment Difficulty","Code","Code_163","2023-12-15"
"http://www.cdisc.org","6b54ed02-09b4-44a5-af0c-e98f764455b7","C99904x12","Inconsistency And/Or Error In The Protocol","Code","Code_164","2023-12-15"
"http://www.cdisc.org","70b5fe6f-4694-48b9-831c-6d602c38cc1c","C68846","Global","Code","Code_165","2023-12-15"
"SPONSOR","c158f883-8d30-43eb-9d4a-e91a9fb13948","PHARMA","Alexion","Code","Code_3","12"
"http://www.cdisc.org","9232b394-bdbd-4b11-8fdf-64d52bcdb261","C70793","Clinical Study Sponsor","Code","Code_166","2023-12-15"
"ISO 3166 1 alpha3","395cf870-0a80-451f-877c-3b6b3085dd47","USA","United States of America","Code","Code_167","2020-08"
"http://www.cdisc.org","db717113-372c-411c-9965-f8e0d35e2449","C93453","Study Registry","Code","Code_168","2023-12-15"
"ISO 3166 1 alpha3","45f410c5-1128-40c5-9c8b-fbecddcf0cc6","USA","United States of America","Code","Code_169","2020-08"
"http://www.cdisc.org","b663b7f2-40ba-4661-90fa-42e1398caa51","C93453","Study Registry","Code","Code_170","2023-12-15"
"ISO 3166 1 alpha3","119ff7ca-44a4-493d-a047-0e247869caa1","NLD","Netherlands","Code","Code_171","2020-08"
"http://www.cdisc.org","58752234-0f86-4fed-94bb-533b45c66f03","C188863","Regulatory Agency","Code","Code_172","2023-12-15"
"ISO 3166 1 alpha3","368fd7dd-4bfe-4ffa-9458-0c4256faafa6","USA","United States of America","Code","Code_173","2020-08"
"http://www.cdisc.org","0791e7ac-d5a5-4e11-ba28-4408571515e3","C49654","Cure Study","Code","Code_337","2023-12-15"
"http://www.cdisc.org","7e9eee4f-5177-4511-92df-fe86acd7d1ee","C49666","Efficacy Study","Code","Code_338","2023-12-15"
"http://www.cdisc.org","859e03a5-a3db-4b1b-8e63-b6c4635ae86c","C49667","Safety Study","Code","Code_339","2023-12-15"
"http://www.cdisc.org","4b440bc8-010e-4f72-a99d-dbddf961263b","C49663","Pharmacokinetic Study","Code","Code_340","2023-12-15"
"SNOMED","c97e3250-b5fa-4172-a822-2e834e04b7ce","88518009","Wilson's disease","Code","Code_335","January 31, 2018"
"http://www.cdisc.org","787d8569-344d-471d-b08b-bfb913866b7a","C98704","ADAPTIVE","Code","Code_343","2023-12-15"
"http://www.cdisc.org","d7d06f3c-1af1-4149-bcfd-bf131aa9927c","C82640","Single Group Study","Code","Code_341","2023-12-15"
"http://www.cdisc.org","5a761ffa-c18a-434e-93e1-048d168f69c3","C25716","Visit","Code","Code_175","2023-12-15"
"http://www.cdisc.org","773a0230-c242-42fb-bec3-f1731cd169d5","C51282","Clinic","Code","Code_176","2023-12-15"
"http://www.cdisc.org","cc33082e-dd0b-444b-a19c-3940f52759f7","C175574","In Person","Code","Code_177","2023-12-15"
"http://www.cdisc.org","f1ebb97a-5b82-4b6a-a311-5f6a950884d9","C25716","Visit","Code","Code_178","2023-12-15"
"http://www.cdisc.org","0757806f-568e-456a-8ee3-7c58e34e503d","C51282","Clinic","Code","Code_179","2023-12-15"
"http://www.cdisc.org","7eec62a8-d919-4b8e-aedf-3c84da675bcf","C175574","In Person","Code","Code_180","2023-12-15"
"http://www.cdisc.org","1f2ba269-fad4-4f1e-8061-63985413ea4f","C25716","Visit","Code","Code_181","2023-12-15"
"http://www.cdisc.org","0876eb43-5bf0-4f33-9efc-941964996708","C51282","Clinic","Code","Code_182","2023-12-15"
"http://www.cdisc.org","b9951663-338b-4198-8dae-8a8a81b1ae80","C175574","In Person","Code","Code_183","2023-12-15"
"http://www.cdisc.org","77cf3030-5d07-4999-809a-b02a1c16d1ae","C25716","Visit","Code","Code_184","2023-12-15"
"http://www.cdisc.org","ad4f2acc-d675-4153-849d-b05a59989e77","C51282","Clinic","Code","Code_185","2023-12-15"
"http://www.cdisc.org","f2fa472e-2ac9-4552-85c8-0324bb26b2b5","C175574","In Person","Code","Code_186","2023-12-15"
"http://www.cdisc.org","e75b8ff7-44d2-41ad-824f-961509ced5c9","C25716","Visit","Code","Code_187","2023-12-15"
"http://www.cdisc.org","a1757d0a-2214-4d27-b96e-6279f97a5e7c","C51282","Clinic","Code","Code_188","2023-12-15"
"http://www.cdisc.org","d76275d1-6672-4833-babc-fbaa820a7c6d","C175574","In Person","Code","Code_189","2023-12-15"
"http://www.cdisc.org","33d3e911-0957-4d85-8e35-79583254934a","C25716","Visit","Code","Code_190","2023-12-15"
"http://www.cdisc.org","300965c3-6d8b-4135-8236-6f1d24ca1325","C51282","Clinic","Code","Code_191","2023-12-15"
"http://www.cdisc.org","e2f0d59a-40ba-4d28-a583-a0c8dc445920","C175574","In Person","Code","Code_192","2023-12-15"
"http://www.cdisc.org","f9915ff3-7c96-4ed1-b1f7-63f2090d9204","C25716","Visit","Code","Code_193","2023-12-15"
"http://www.cdisc.org","e8c7e4e4-51be-4c08-9aaa-292e9d91fd25","C51282","Clinic","Code","Code_194","2023-12-15"
