"id","uuid:ID","instanceType","sectionTitle","sectionNumber","name","text"
"NarrativeContent_1","41df55f9-a63d-4aa0-ad3e-0fbc1e5ff526","NarrativeContent","Root","0","ROOT",""
"NarrativeContent_2","1af8e1e7-32f5-4cf0-96b8-a2bc3264f5f4","NarrativeContent","TITLE PAGE","0","SECTION 0","<div><usdm:section name=""M11-title-page""></div>"
"NarrativeContent_3","20e61c96-6f0c-443e-99dd-c56c4e677d39","NarrativeContent","PROTOCOL SUMMARY","1","SECTION 1","<div></div>"
"NarrativeContent_4","2e615db6-9583-4e1a-b09b-7cfec41e5197","NarrativeContent","Protocol Synopsis","1.1","SECTION 1.1","<div></div>"
"NarrativeContent_5","7e40574a-b0e1-4db4-adb9-80e9a57accea","NarrativeContent","Trial Schema","1.2","SECTION 1.2","<div></div>"
"NarrativeContent_6","28860295-c1b3-4645-b2ba-9da10967831e","NarrativeContent","Schedule of Activities","1.3","SECTION 1.3","<div></div>"
"NarrativeContent_7","d9470f50-f42e-4eff-ace5-39931f3de575","NarrativeContent","INTRODUCTION","2","SECTION 2","<div></div>"
"NarrativeContent_8","0895e78a-e009-431f-96e6-da964e0578cb","NarrativeContent","Purpose of Trial","2.1","SECTION 2.1","<div></div>"
"NarrativeContent_9","ff572c71-cc18-44df-bca1-3f763136758d","NarrativeContent","Summary of Benefits and Risks","2.2","SECTION 2.2","<div></div>"
"NarrativeContent_10","1f5e6a93-4646-4341-955a-6316ec11c37c","NarrativeContent","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","3","SECTION 3","<div></div>"
"NarrativeContent_11","8ee7c033-8152-48b7-8c48-32f3043a72e9","NarrativeContent","Primary Objectives","3.1","SECTION 3.1","<div><usdm:section name=""M11-objective-endpoints""></div>"
"NarrativeContent_12","0d30e527-ac9d-45c8-be26-108e536b6647","NarrativeContent","TRIAL DESIGN","4","SECTION 4","<div></div>"
"NarrativeContent_13","93bf106a-2aba-4168-8a46-bca5fdd31784","NarrativeContent","Description of Trial Design","4.1","SECTION 4.1","<div></div>"
"NarrativeContent_14","cc4f0882-984d-40ee-81d3-1b94407cb4bc","NarrativeContent","Participant Input into Design","4.1.1","SECTION 4.1.1","<div></div>"
"NarrativeContent_15","53fff00c-f924-46f0-827f-13bee840bb83","NarrativeContent","Rationale for Trial Design","4.2","SECTION 4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>"
"NarrativeContent_16","bf979519-360a-4d98-859c-f7b99cb07eae","NarrativeContent","Rationale for Comparator","4.2.1","SECTION 4.2.1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>"
"NarrativeContent_17","a04038ca-12b6-4e20-baf2-44ea40d64a71","NarrativeContent","Rationale for Adaptive or Novel Trial Design","4.2.2","SECTION 4.2.2","<div></div>"
"NarrativeContent_18","2fb8f732-76f3-470d-8def-031b334deabe","NarrativeContent","Other Trial Design Considerations","4.2.3","SECTION 4.2.3","<div></div>"
"NarrativeContent_19","5667b49e-17ee-4553-b37e-7da8919a0da9","NarrativeContent","Access to Trial Intervention After End of Trial","4.3","SECTION 4.3","<div></div>"
"NarrativeContent_20","d0cd5f97-0dbc-4783-9abb-175661d21737","NarrativeContent","Start of Trial and End of Trial","4.4","SECTION 4.4","<div></div>"
