"id","uuid:ID","codeSystemVersion","decode","code","instanceType","codeSystem"
"Code_1","005fa1c2-f457-4c1f-a7ec-d3bc31e0251d","2023-09-29","Interventional Study","C98388","Code","http://www.cdisc.org"
"Code_2","726057f2-fc92-4956-94e3-3bd12544006d","2023-09-29","Phase II Trial","C15601","Code","http://www.cdisc.org"
"Code_9","7930a50c-fcb2-4880-9299-7c46d2469d33","2023-09-29","Sponsor Approval Date","C132352","Code","http://www.cdisc.org"
"Code_10","d51f5c32-2fc6-4646-b1c1-51e9b413d928","2023-09-29","Global","C68846","Code","http://www.cdisc.org"
"Code_72","4a4f84cc-634b-4439-90d8-d896ea8ff87b","2023-09-29","IRB/IEC Feedback","C99904x3","Code","http://www.cdisc.org"
"Code_73","d2fcfc58-7fff-4dfa-80ae-0c27ccda7f8c","2023-09-29","Other","C17649","Code","http://www.cdisc.org"
"Code_75","9435e1b2-a6ae-4b3c-9ba4-329f806a3119","2023-09-29","Region","C41129","Code","http://www.cdisc.org"
"Code_74","342836a8-016d-4668-8025-905c5eba921f","2020-08","Europe","150","Code","ISO 3166 1 alpha3"
"Code_4","c444234a-a8c7-4246-a179-294ad1fd9c66","12","Eli Lilly","PHARMA","Code","SPONSOR"
"Code_76","c35754c6-e36e-45bf-816b-be5b7d3eac91","2023-09-29","Clinical Study Sponsor","C70793","Code","http://www.cdisc.org"
"Code_77","2c2a22f8-9b25-4bc4-9f4f-a554df24331a","2020-08","Denmark","DNK","Code","ISO 3166 1 alpha3"
"Code_78","e25c9da5-6cf6-4e08-880b-6efea29da3c6","2023-09-29","Study Registry","C93453","Code","http://www.cdisc.org"
"Code_136","916b93e5-5cd2-4a9b-b2a6-85d51a771cac","2023-09-29","Treatment Study","C49656","Code","http://www.cdisc.org"
"Code_137","41dc434a-6199-4992-ac08-1d821b982df9","2023-09-29","Efficacy Study","C49666","Code","http://www.cdisc.org"
"Code_138","0f99ddfb-e88e-4e6f-80a2-4a9fa76eb492","2023-09-29","Safety Study","C49667","Code","http://www.cdisc.org"
"Code_139","7ad70b79-09e5-418c-bd65-c4be1422158a","2023-09-29","Pharmacokinetic Study","C49663","Code","http://www.cdisc.org"
"Code_133","38ac87c2-572d-4c57-88e7-f5edc3fb68b2","12","Mild to Moderate Alzheimer's Disease","MILD_MOD_ALZ","Code","SPONSOR"
"Code_134","f4b43c72-f638-40c3-ab88-29a2d1834e02","January 31, 2018","Alzheimer's disease","26929004","Code","SNOMED"
"Code_142","07c5ba19-d5e1-4c01-869e-da6b014f63cd","2023-09-29","EXTENSION","C99907x1","Code","http://www.cdisc.org"
"Code_143","3ea94b64-bd69-48d1-b074-ce5de5c64367","2023-09-29","ADAPTIVE","C98704","Code","http://www.cdisc.org"
"Code_140","33252c39-4854-48b2-8d6c-b3f16521a8f4","2023-09-29","Parallel Study","C82639","Code","http://www.cdisc.org"
"Code_82","8ccf1f7e-5872-42dc-a8a6-aa62a33b1c5b","2023-09-29","Visit","C25716","Code","http://www.cdisc.org"
"Code_83","7399241e-54da-4ac3-8d78-a124f863c9e8","2023-09-29","Clinic","C51282","Code","http://www.cdisc.org"
"Code_84","fc49e2be-ae00-4572-b966-f99338dba02c","2023-09-29","In Person","C175574","Code","http://www.cdisc.org"
"Code_85","ab062814-2b01-4c8a-b353-d7f00819bf99","2023-09-29","Visit","C25716","Code","http://www.cdisc.org"
"Code_86","2a7f4ebf-c816-4663-8f7e-b1679ba372d9","2023-09-29","Clinic","C51282","Code","http://www.cdisc.org"
"Code_87","906bd785-9dec-430f-952b-6a994cab46ce","2023-09-29","In Person","C175574","Code","http://www.cdisc.org"
"Code_88","4b9399ec-b846-4eee-8833-10c32d1274c1","2023-09-29","Visit","C25716","Code","http://www.cdisc.org"
"Code_89","790097f9-23a5-4a9e-a59e-ec715adc6a1a","2023-09-29","Clinic","C51282","Code","http://www.cdisc.org"
"Code_90","432da466-5e67-4790-8bc2-a2d03e21e6f8","2023-09-29","In Person","C175574","Code","http://www.cdisc.org"
"Code_91","347addc2-d3bb-4ab5-87ef-1282b3122182","2023-09-29","Visit","C25716","Code","http://www.cdisc.org"
"Code_92","ed49de21-2d81-4317-a946-2ed86193bc5e","2023-09-29","Clinic","C51282","Code","http://www.cdisc.org"
"Code_93","0abad8d1-2245-4f27-a625-889e91186927","2023-09-29","In Person","C175574","Code","http://www.cdisc.org"
"Code_94","75d19e7b-65d4-4f77-998c-a0e879561654","2023-09-29","Visit","C25716","Code","http://www.cdisc.org"
"Code_95","bdda4a7f-8521-4e82-b959-21a52ad34e1e","2023-09-29","Clinic","C51282","Code","http://www.cdisc.org"
"Code_96","06190e87-3e94-47cb-9156-3e8fa0aea022","2023-09-29","In Person","C175574","Code","http://www.cdisc.org"
"Code_97","70269454-f817-4cbe-a602-8bf991ac6740","2023-09-29","Visit","C25716","Code","http://www.cdisc.org"
"Code_98","261248e3-cb0d-4c75-83f0-1fb7ee6cd336","2023-09-29","Clinic","C51282","Code","http://www.cdisc.org"
"Code_99","34111e21-4644-46ca-9706-3beca0e61905","2023-09-29","In Person","C175574","Code","http://www.cdisc.org"
"Code_100","f0e8774d-2771-44e0-a5e4-e430399cd8ae","2023-09-29","Visit","C25716","Code","http://www.cdisc.org"
