"id","uuid:ID","instanceType","name","text"
"TransitionRule_1","74f4fc5e-5da2-43f7-a19f-cf35fbf2378c","TransitionRule","ENCOUNTER_START_RULE_1","Subject identifier"
"TransitionRule_2","18950093-bbb2-4a1a-9e94-ce02546a6565","TransitionRule","ENCOUNTER_START_RULE_1","completion of screening activities"
"TransitionRule_3","45c0e436-2798-435c-af88-1a71eb65a59e","TransitionRule","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule_4","fd8af02f-569e-474b-a418-58d5be6d61b7","TransitionRule","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed"
"TransitionRule_5","13c3b03d-a869-497a-adc6-239f95a89a6f","TransitionRule","ENCOUNTER_START_RULE_3","Radomized"
"TransitionRule_6","e4441021-de72-4bb1-a41c-96179dba317c","TransitionRule","ENCOUNTER_START_RULE_12","End of treatment"
"TransitionRule_7","920075c4-a8b1-4f30-81fa-bbae7fbb5e6f","TransitionRule","ELEMENT_START_RULE_1","Informed consent"
"TransitionRule_8","d3dae611-d843-45dc-b4e7-5a5f056952a0","TransitionRule","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule_9","e4112151-c945-4b19-9b51-8b77a2166a92","TransitionRule","ELEMENT_START_RULE_2","Administration of first dose"
"TransitionRule_14","855846fa-2f12-4d63-929b-53bf51a01be7","TransitionRule","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)"
"TransitionRule_15","83073eed-0854-493b-b019-5e356cea6029","TransitionRule","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule_10","110669c8-c7d2-4813-8b03-b11e70451cbb","TransitionRule","ELEMENT_START_RULE_3","Administration of first dose"
"TransitionRule_11","96247815-284b-45d7-bc68-aff45dc723b2","TransitionRule","ELEMENT_START_RULE_4","Randomized"
"TransitionRule_12","a6738956-3cd9-4f2e-a7c0-4d6a56369a82","TransitionRule","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule_13","f25342c7-fa40-4bc1-9b6f-e01ac1ac654d","TransitionRule","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)"
