"id","uuid:ID","reference","instanceType","name","synonyms","label"
"BiomedicalConcept_20","0b9285d8-4c7b-4073-9108-9482ed751fcb","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept","Body Temperature","['Temperature']","Body Temperature"
"BiomedicalConcept_21","2ca235b4-0180-4405-96b4-461ba2d0ace6","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept","Body Weight","['Weight']","Body Weight"
"BiomedicalConcept_22","71a026a2-be23-41ef-9368-bdb02b25931a","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept","Body Height","['Height']","Body Height"
"BiomedicalConcept_23","3c4e9712-bf42-4186-bef6-c59e135d6ca7","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","Alanine Aminotransferase Measurement"
"BiomedicalConcept_24","c7de01c7-e946-4f4f-8e80-22221d5aec07","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept","Albumin Measurement","['Albumin']","Albumin Measurement"
"BiomedicalConcept_25","f936b66e-0b37-4dc7-9a5c-038e40de5c6a","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement"
"BiomedicalConcept_26","5cdf6225-31f2-4a13-a58a-46015b613950","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","Aspartate Aminotransferase Measurement"
"BiomedicalConcept_27","c70f20f3-25a8-496f-984a-a7514ca36806","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept","Creatinine Measurement","['Creatinine']","Creatinine Measurement"
"BiomedicalConcept_28","dd774b65-b935-49bb-adae-4ad061147fb3","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept","Potassium Measurement","['Potassium', 'K']","Potassium Measurement"
"BiomedicalConcept_29","fa2c40b3-8ebb-4bb8-827e-87493b80b6a2","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept","Sodium Measurement","['Sodium', 'NA']","Sodium Measurement"
"BiomedicalConcept_1","8f7897e3-37b9-47e5-bbbb-5a444a87a489","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","BiomedicalConcept","Adverse Event","['Adverse Event Reported Term', 'AETERM']","Adverse Event"
"BiomedicalConcept_2","e3783a1f-8720-413d-9c9e-71c87857ee14","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept","Systolic Blood Pressure","['SYSBP']","Systolic Blood Pressure"
"BiomedicalConcept_3","c8539a6b-e5cc-4e3c-b9ae-b26ebaecf35e","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept","Diastolic Blood Pressure","['DIABP']","Diastolic Blood Pressure"
"BiomedicalConcept_4","17ca2e6a-0539-4a05-97b7-7ae818f17aea","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept","Body Temperature","['Temperature']","Body Temperature"
"BiomedicalConcept_5","778fdc56-e244-47e1-b0ef-1eca9226f88e","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept","Body Weight","['Weight']","Body Weight"
"BiomedicalConcept_6","188d02e5-69ca-488e-b9c8-9b4aa529152a","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept","Body Height","['Height']","Body Height"
"BiomedicalConcept_7","a1ea1176-cd86-477d-947c-9a3085820ab3","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","Alanine Aminotransferase Measurement"
"BiomedicalConcept_8","fba5b05a-f84a-4118-9d96-24b32873f3c5","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept","Albumin Measurement","['Albumin']","Albumin Measurement"
"BiomedicalConcept_9","e41e2707-13a0-415c-9a9d-82f294e460cc","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement"
"BiomedicalConcept_10","45bc26d1-59e2-42c3-a7dd-c5eff78f0bd6","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","Aspartate Aminotransferase Measurement"
"BiomedicalConcept_11","91857c62-5d01-4d25-ade3-cfcb0b0d3223","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept","Creatinine Measurement","['Creatinine']","Creatinine Measurement"
"BiomedicalConcept_12","bfb81710-3d96-4802-b32c-e27bc555417f","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept","Potassium Measurement","['Potassium', 'K']","Potassium Measurement"
"BiomedicalConcept_13","20ee0950-9bbc-4c83-970f-2cc8b993d4ce","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept","Sodium Measurement","['Sodium', 'NA']","Sodium Measurement"
"BiomedicalConcept_14","e48bd9b1-cc83-472a-9708-65c8a717b7da","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept","Systolic Blood Pressure","['SYSBP']","Systolic Blood Pressure"
"BiomedicalConcept_15","bd9cbf3e-c6ed-4a62-aa9f-bd31692e26b6","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept","Diastolic Blood Pressure","['DIABP']","Diastolic Blood Pressure"
"BiomedicalConcept_16","5a285e8f-e829-4770-b923-4ddd2c6204e9","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","BiomedicalConcept","Heart Rate","","Heart Rate"
"BiomedicalConcept_17","8dc07f74-e9be-463f-aa60-71fd50cde0e4","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept","Systolic Blood Pressure","['SYSBP']","Systolic Blood Pressure"
