"id","uuid:ID","description","instanceType","name","label"
"Encounter_1","a149e000-4eab-4273-bffa-410329a356d0","Screening encounter","Encounter","E1","Screening 1"
"Encounter_2","f9bebe7d-8e77-4e5e-8cd0-7d379af5ced6","Screening encounter - Ambulatory ECG Placement","Encounter","E2","Screening 2"
"Encounter_3","98e6eb4c-5149-4cbc-a53a-b62c34c10d27","Baseline encounter - Ambulatory ECG Removal","Encounter","E3","Baseline"
"Encounter_4","a1781d0a-2ff8-4e46-a394-11447e4b2c2f","Day 14","Encounter","E4","Week 2"
"Encounter_5","a03f4cc4-7f29-4845-8792-b4cf6efd971b","Day 28","Encounter","E5","Week 4"
"Encounter_6","1901c664-7d9a-4846-9aeb-d0199ad96062","Day 42","Encounter","E7","Week 6"
"Encounter_7","51c9ef51-9c53-44e2-a650-61386092cd69","Day 56","Encounter","E8","Week 8"
"Encounter_8","d760ad85-30dc-45f4-a2e5-6a750404cb72","Day 84","Encounter","E9","Week 12"
"Encounter_9","66d0e015-dcc6-4ea2-8163-8ab5faa318a6","Day 112","Encounter","E10","Week 16"
"Encounter_10","485cfc94-47a2-4c2d-9c8b-19b304cb1561","Day 140","Encounter","E11","Week 20"
"Encounter_11","72722e41-bd2e-470b-9591-3cdbca145c2f","Day 168","Encounter","E12","Week 24"
"Encounter_12","e611ba29-6f0d-433f-9924-312b478a7ab5","Day 182","Encounter","E13","Week 26"
