"windowLower","id","uuid:ID","description","instanceType","windowUpper","name","value","window","label"
"","Timing_1","cbfdb4fb-b677-4ff1-af7f-1e9b71867783","Screening timing","Timing","","TIM1","P2W","","Screening"
"PT4H","Timing_2","c96fa4f2-45f3-494e-a90e-03f69e84b776","Pre dose timing","Timing","PT0H","TIM2","P2D","-4..0 hours","Pre dose"
"","Timing_3","2d7e1036-1a47-4f31-925b-7665d774372e","Dosing anchor","Timing","","TIM3","P1D","","Dosing"
"P3D","Timing_4","87685bdd-29e8-4fa9-86d0-e1fe2616f809","Week 2 timing","Timing","P3D","TIM4","P2W","-3..3 days","Week 2"
"P3D","Timing_5","16779cb6-04c9-49cb-8ccd-dc862c19579b","Week 4 timing","Timing","P3D","TIM5","P4W","-3..3 days","Week 4"
"P3D","Timing_6","83eeca2f-518b-465a-8d80-4d925071062b","Week 6 timing","Timing","P3D","TIM6","P6W","-3..3 days","Week 6"
"P3D","Timing_7","4a64cbea-e370-45ad-b6ba-a850b41601d8","Week 8 timing","Timing","P3D","TIM7","P8W","-3..3 days","Week 8"
"P4D","Timing_9","a80d39cc-f54b-4e54-aa84-61e6462f5242","Week 12 timing","Timing","P4D","TIM9","P12W","-4..4 days","Week 12"
"P4D","Timing_11","0e8c4a18-23b5-4d40-b891-dff40cc135b2","Week 16 timing","Timing","P4D","TIM11","P16W","-4..4 days","Week 16"
"P4D","Timing_13","d63d71bf-8c39-4a3b-ae53-b9d3dfb22301","Week 20 timing","Timing","P4D","TIM13","P20W","-4..4 days","Week 20"
"P4D","Timing_15","4ab64ff5-f9f1-4619-83c5-02183b7735f4","Week 24 timing","Timing","P4D","TIM15","P24W","-4..4 days","Week 24"
"P3D","Timing_16","dbb75117-d65d-4c5e-935d-c31f546a358c","Week 26 timing","Timing","P3D","TIM16","P26W","-3..3 days","Week 26"
"","Timing_8","7e747f39-4494-4b00-b81c-5bd5eacb0ecb","Week 8 at home timing","Timing","","TIM8","P2W","","Week 8 Home"
"","Timing_10","9d52c457-1345-4f81-aefb-431a09d6c7df","Week 12 at home timing","Timing","","TIM10","P2W","","Week 12 Home"
"","Timing_12","baed49d0-cd4c-425c-92a0-182856ca5ff1","Week 16 at home timing","Timing","","TIM12","P2W","","Week 16 Home"
"","Timing_14","01773cc2-b05f-4af4-adcc-9663199afba6","Week 20 at home timing","Timing","","TIM14","P2W","","Week 20 Home"
"","Timing_17","0b75cdac-a72f-493c-9183-8699c2204791","Adverse Event","Timing","","TIM17","P1D","","Adverse Event"
"","Timing_18","1f0d9065-2848-475f-af04-b20c2f365861","Early Termination","Timing","","TIM18","P1D","","Early Termination"
"","Timing_19","b6006236-b9e8-4e99-9445-7b5ac320fd85","Supine","Timing","","TIM19","PT0M","","Supine"
"","Timing_20","135296f3-f886-4670-add9-2adcfec49fae","VS while supine","Timing","","TIM20","PT5M","","VS while supine"
"","Timing_21","c3fb8736-1ecd-44ec-98ce-481e9b02365e","Standing","Timing","","TIM21","PT0M","","Standing"
"","Timing_22","8081119f-0140-439d-9d2e-bca87584b12e","VS while standing","Timing","","TIM22","PT1M","","VS while standing"
"","Timing_23","f2829799-cbff-4923-b0f1-3967db77b765","Standing","Timing","","TIM23","PT0M","","Standing"
"","Timing_24","35fcbc1f-7902-4b8a-84d8-0d7a246b2093","VS while standing","Timing","","TIM24","PT2M","","VS while standing"
