"name","label","id","uuid:ID","window","value","description","instanceType","windowLower","windowUpper"
"TIM1","Screening","Timing_1","02d7c152-8083-4503-a148-1b3b48f87a65","","P2W","Screening timing","Timing","",""
"TIM2","Pre dose","Timing_2","475021bd-c51d-4ae7-aab9-4a2ffb7322b5","-4..0 hours","P2D","Pre dose timing","Timing","PT4H","PT0H"
"TIM3","Dosing","Timing_3","e714d615-f5be-43e0-85cc-a34e028ca901","","P1D","Dosing anchor","Timing","",""
"TIM4","Week 2","Timing_4","222321eb-1a8d-4179-ba9b-7de2aba5f39a","-3..3 days","P2W","Week 2 timing","Timing","P3D","P3D"
"TIM5","Week 4","Timing_5","e4bff77e-9717-4775-9f64-fbd75dec5b94","-3..3 days","P4W","Week 4 timing","Timing","P3D","P3D"
"TIM6","Week 6","Timing_6","e200ad95-dec8-40ad-aab4-ab7f86d224e6","-3..3 days","P6W","Week 6 timing","Timing","P3D","P3D"
"TIM7","Week 8","Timing_7","94b967b1-08f7-4093-b240-f7747b92f6cc","-3..3 days","P8W","Week 8 timing","Timing","P3D","P3D"
"TIM9","Week 12","Timing_9","a219059a-7345-47ca-ab0a-440a7ff0ecc6","-4..4 days","P12W","Week 12 timing","Timing","P4D","P4D"
"TIM11","Week 16","Timing_11","23f3cedf-c03b-4fc2-9edb-f241b2db60d6","-4..4 days","P16W","Week 16 timing","Timing","P4D","P4D"
"TIM13","Week 20","Timing_13","c0d5063f-5b3b-4298-a18f-8986c44a1c91","-4..4 days","P20W","Week 20 timing","Timing","P4D","P4D"
"TIM15","Week 24","Timing_15","7e1c7afa-fc04-424b-8ba5-473d0e0a0806","-4..4 days","P24W","Week 24 timing","Timing","P4D","P4D"
"TIM16","Week 26","Timing_16","67e83b36-4d65-4576-9d1e-f625bf8c8e85","-3..3 days","P26W","Week 26 timing","Timing","P3D","P3D"
"TIM8","Week 8 Home","Timing_8","eea79f18-4657-434e-9c58-9b52f6edc3b1","","P2W","Week 8 at home timing","Timing","",""
"TIM10","Week 12 Home","Timing_10","617aeada-dd1b-48ac-b7ab-45b46e2239e1","","P2W","Week 12 at home timing","Timing","",""
"TIM12","Week 16 Home","Timing_12","95d129e0-f8f2-4917-8306-4f3133fcdd1d","","P2W","Week 16 at home timing","Timing","",""
"TIM14","Week 20 Home","Timing_14","bae8406a-5a2e-4c99-9b31-f716d6891595","","P2W","Week 20 at home timing","Timing","",""
"TIM17","Adverse Event","Timing_17","550da422-bbee-4dcc-87d7-3aa84efec3a9","","P1D","Adverse Event","Timing","",""
"TIM18","Early Termination","Timing_18","605f2d15-4b34-43c8-b616-57489a5c2c9e","","P1D","Early Termination","Timing","",""
"TIM19","Supine","Timing_19","ad8077ce-a2ba-4021-b980-6569d3fed17d","","PT0M","Supine","Timing","",""
"TIM20","VS while supine","Timing_20","00ce377e-aaff-4644-972e-90d4c8042f7b","","PT5M","VS while supine","Timing","",""
"TIM21","Standing","Timing_21","56df9b7e-611e-44ec-a104-e189fe64e814","","PT0M","Standing","Timing","",""
"TIM22","VS while standing","Timing_22","1f8aacc5-953c-4b28-aa96-010921f76163","","PT1M","VS while standing","Timing","",""
"TIM23","Standing","Timing_23","a225fca4-fd18-44f9-a9f7-0ba0efc5ddc3","","PT0M","Standing","Timing","",""
"TIM24","VS while standing","Timing_24","c8f8ad7b-afb3-4639-94f3-b889c7bbff9d","","PT2M","VS while standing","Timing","",""
