"codeSystemVersion","code","id","uuid:ID","instanceType","codeSystem","decode"
"2023-09-29","C98388","Code_1","01049d03-cdc2-4134-9e41-9a89c698bacf","Code","http://www.cdisc.org","Interventional Study"
"2023-09-29","C15601","Code_2","111e5b36-b14b-4f5c-80c5-75f7195370d4","Code","http://www.cdisc.org","Phase II Trial"
"2023-09-29","C132352","Code_9","17dd5fd3-caf9-41e3-8d4e-7bc1f932d354","Code","http://www.cdisc.org","Sponsor Approval Date"
"2023-09-29","C68846","Code_10","3d3cbbc5-200b-41b9-9bf3-6f1faa2fef84","Code","http://www.cdisc.org","Global"
"2023-09-29","C99904x3","Code_72","2cf2f40d-d7cb-4982-9b5f-86fe1250a503","Code","http://www.cdisc.org","IRB/IEC Feedback"
"2023-09-29","C17649","Code_73","12ac2009-82ad-4670-9aa7-f09e618cc0ef","Code","http://www.cdisc.org","Other"
"2023-09-29","C41129","Code_75","9083adf0-b0c2-4b51-b452-c0755b9a8cd2","Code","http://www.cdisc.org","Region"
"2020-08","150","Code_74","042b3fb0-e236-468e-90a8-eacd32041fa1","Code","ISO 3166 1 alpha3","Europe"
"12","PHARMA","Code_4","a3c3c373-7313-460e-bca6-c0186e9db95e","Code","SPONSOR","Eli Lilly"
"2023-09-29","C70793","Code_76","916325c0-e613-4932-9da9-91cf83f48694","Code","http://www.cdisc.org","Clinical Study Sponsor"
"2020-08","DNK","Code_77","dbe30871-41de-43a6-82fe-8254c23b8649","Code","ISO 3166 1 alpha3","Denmark"
"2023-09-29","C93453","Code_78","a688d8f5-d05d-46d9-a657-58f226b098e7","Code","http://www.cdisc.org","Study Registry"
"2023-09-29","C49656","Code_136","52719905-b38c-4344-bf7f-ef8e0f81e7a6","Code","http://www.cdisc.org","Treatment Study"
"2023-09-29","C49666","Code_137","f51b1af1-eea5-413d-9ecd-efe6c26af520","Code","http://www.cdisc.org","Efficacy Study"
"2023-09-29","C49667","Code_138","d22a0c9d-503d-44e9-b959-0a0dd0982ca0","Code","http://www.cdisc.org","Safety Study"
"2023-09-29","C49663","Code_139","e625827e-3e6f-4185-9da7-e8973691e813","Code","http://www.cdisc.org","Pharmacokinetic Study"
"12","MILD_MOD_ALZ","Code_133","ca3ff117-7c58-49f5-8665-818893fcaba2","Code","SPONSOR","Mild to Moderate Alzheimer's Disease"
"January 31, 2018","26929004","Code_134","b3ce5f9c-b608-43ec-8f83-7eceb2d79ebb","Code","SNOMED","Alzheimer's disease"
"2023-09-29","C99907x1","Code_142","4149de02-634d-42d3-bd8d-b4755fb6c319","Code","http://www.cdisc.org","EXTENSION"
"2023-09-29","C98704","Code_143","18bc6114-5e37-46ac-a9d6-d861d25a2c29","Code","http://www.cdisc.org","ADAPTIVE"
"2023-09-29","C82639","Code_140","226857ee-1666-4dab-b485-4f7d5ffc3a52","Code","http://www.cdisc.org","Parallel Study"
"2023-09-29","C25716","Code_82","02caf20a-b817-4bde-a323-ca4533f327ff","Code","http://www.cdisc.org","Visit"
"2023-09-29","C51282","Code_83","4a7193bf-cb8b-40a1-a987-6fdb365d3bde","Code","http://www.cdisc.org","Clinic"
"2023-09-29","C175574","Code_84","c2343ec4-7f96-4f37-923c-9300a1f16c7d","Code","http://www.cdisc.org","In Person"
