"name","label","id","uuid:ID","instanceType","description"
"E1","Screening 1","Encounter_1","9b74f8b6-11ad-4205-893a-949084e15fd5","Encounter","Screening encounter"
"E2","Screening 2","Encounter_2","67578bfd-69ce-440d-b8a7-d70b55e46192","Encounter","Screening encounter - Ambulatory ECG Placement"
"E3","Baseline","Encounter_3","9145502b-74b5-461b-ade9-65e42afccf87","Encounter","Baseline encounter - Ambulatory ECG Removal"
"E4","Week 2","Encounter_4","ef00efe6-7078-4b4b-a844-ec0723cb603d","Encounter","Day 14"
"E5","Week 4","Encounter_5","966a85f9-54ae-4dcc-98f7-0fd79c6c80a4","Encounter","Day 28"
"E7","Week 6","Encounter_6","85a17185-5fa4-4e2a-979f-fd773c53047d","Encounter","Day 42"
"E8","Week 8","Encounter_7","6fe9319c-2c0f-4fb1-9f62-8f50461a8cbb","Encounter","Day 56"
"E9","Week 12","Encounter_8","d78af460-f7f9-43fd-adae-3c4d7a809aef","Encounter","Day 84"
"E10","Week 16","Encounter_9","521a8608-4013-4c5f-ae00-58703c8a5e56","Encounter","Day 112"
"E11","Week 20","Encounter_10","2ead6f8a-9a19-4e42-9ecf-5802eefc1092","Encounter","Day 140"
"E12","Week 24","Encounter_11","cb18efc4-bec2-41ab-ada8-8b4765f9d413","Encounter","Day 168"
"E13","Week 26","Encounter_12","8aa55a76-a15a-4e02-8364-a5a8eeb68fdc","Encounter","Day 182"
