"name","label","id","uuid:ID","isEnabled","instanceType","datatype","isRequired"
"Vital Signs Result","Vital Signs Result","BiomedicalConceptProperty_98","d30652fe-2330-4e6b-80cb-fe1a7aecbf91","True","BiomedicalConceptProperty","decimal","True"
"Unit of Temperature","Unit of Temperature","BiomedicalConceptProperty_99","25e8e03c-1e21-4636-a445-5cf01d8f205b","True","BiomedicalConceptProperty","string","True"
"Vital Signs Location","Vital Signs Location","BiomedicalConceptProperty_100","3ac6f532-4ab1-4549-aa99-fca2577046d4","True","BiomedicalConceptProperty","string","True"
"Vital Signs Result","Vital Signs Result","BiomedicalConceptProperty_101","4cdf77ca-16e0-481f-8efd-e5300bd3ace6","True","BiomedicalConceptProperty","decimal","True"
"Unit of Weight","Unit of Weight","BiomedicalConceptProperty_102","ec66a8e6-c065-4da6-a52c-ff22d116c059","True","BiomedicalConceptProperty","string","True"
"Vital Signs Result","Vital Signs Result","BiomedicalConceptProperty_103","1d88ca05-cdc2-428f-b61b-e389b90310ae","True","BiomedicalConceptProperty","decimal","True"
"Unit of Height","Unit of Height","BiomedicalConceptProperty_104","08cf8851-7098-455d-8351-34fcee395be9","True","BiomedicalConceptProperty","string","True"
"Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty_105","3c97a9f4-fb53-464e-ad89-7799c5d485c2","True","BiomedicalConceptProperty","decimal","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty_106","c32248c5-682d-4975-88f4-a4fec27b431e","True","BiomedicalConceptProperty","boolean","True"
"Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_107","835272c5-b8b7-4fb1-97f2-699997620c2e","True","BiomedicalConceptProperty","string","True"
"Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty_108","6fd99152-5fd4-43dc-b6b7-0d838634cb42","True","BiomedicalConceptProperty","string","True"
"Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty_109","7ba3747a-d7a6-459b-9af3-0b4481bcbd76","True","BiomedicalConceptProperty","string","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty_110","bd16f9ba-a91f-46ff-a7b2-2212fa6c0c94","True","BiomedicalConceptProperty","boolean","True"
"Unit of Concentration","Unit of Concentration","BiomedicalConceptProperty_111","059a3634-7ea9-4c62-970a-ed0e0dbfcc3f","True","BiomedicalConceptProperty","string","True"
"Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty_112","8444d9c7-87ee-4f38-ad30-a47fdc4410e3","True","BiomedicalConceptProperty","string","True"
"Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty_113","53976e8d-30e8-4299-83f7-4ff50c7e5595","True","BiomedicalConceptProperty","decimal","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty_114","dce38b03-7659-4c44-856c-538f78508a80","True","BiomedicalConceptProperty","boolean","True"
"Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_115","faea1949-2460-480e-b20b-9c284e8679c3","True","BiomedicalConceptProperty","string","True"
"Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty_116","4d8ab124-c3f3-45a0-bcfc-70b214320a04","True","BiomedicalConceptProperty","string","True"
"Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty_117","087d6e88-0f1d-46af-9cd5-b686ac1ea981","True","BiomedicalConceptProperty","decimal","True"
"Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty_118","97a67cb5-9181-4d66-9f0b-f01d800e8c88","True","BiomedicalConceptProperty","boolean","True"
"Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_119","3c6b55ad-253b-41af-a97e-38c52607d1ac","True","BiomedicalConceptProperty","string","True"
"Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty_120","6eb47524-5a3e-46eb-825d-55d0ad90b25d","True","BiomedicalConceptProperty","string","True"
"Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty_121","c5ffe8a2-22f9-4c84-b271-a0318cd99a85","True","BiomedicalConceptProperty","string","True"
