"name","text","id","uuid:ID","sectionTitle","sectionNumber","instanceType"
"ROOT","","NarrativeContent_1","726db5ba-23ed-44d6-aac7-bce3beda544f","Root","0","NarrativeContent"
"SECTION 0","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent_2","3acc1de7-291e-4481-adeb-82e6b865a4be","TITLE PAGE","0","NarrativeContent"
"SECTION 1","<div></div>","NarrativeContent_3","24738156-4c30-459c-b116-a2978c382f9c","PROTOCOL SUMMARY","1","NarrativeContent"
"SECTION 1.1","<div></div>","NarrativeContent_4","f8a54bd7-e9c3-40db-bcb2-7b4a5d2d84a3","Protocol Synopsis","1.1","NarrativeContent"
"SECTION 1.2","<div></div>","NarrativeContent_5","0a46126b-c76a-49a6-8942-85f3ccb1bce3","Trial Schema","1.2","NarrativeContent"
"SECTION 1.3","<div></div>","NarrativeContent_6","fb1d80f1-de84-4916-a2e0-56b48eb2a6b7","Schedule of Activities","1.3","NarrativeContent"
"SECTION 2","<div></div>","NarrativeContent_7","88cedfd2-09b8-4a6d-9c44-41a6044f8840","INTRODUCTION","2","NarrativeContent"
"SECTION 2.1","<div></div>","NarrativeContent_8","526151ff-1879-4b2d-8bc4-c38d524d9a82","Purpose of Trial","2.1","NarrativeContent"
"SECTION 2.2","<div></div>","NarrativeContent_9","7cb8b6b6-5ca4-42e7-bf7f-ca0c6587230a","Summary of Benefits and Risks","2.2","NarrativeContent"
"SECTION 3","<div></div>","NarrativeContent_10","4daf8738-973b-43dd-ad63-a2fd587a0213","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","3","NarrativeContent"
"SECTION 3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent_11","0c5cb455-61e7-4083-83c0-f749475c7380","Primary Objectives","3.1","NarrativeContent"
"SECTION 4","<div></div>","NarrativeContent_12","493188e5-bc12-41c3-8fe3-5d629c48d6e4","TRIAL DESIGN","4","NarrativeContent"
"SECTION 4.1","<div></div>","NarrativeContent_13","b2652b71-fb8d-4dfd-aa4b-e56ef776442f","Description of Trial Design","4.1","NarrativeContent"
"SECTION 4.1.1","<div></div>","NarrativeContent_14","5b8840da-b382-48f3-99cf-d0bd85e1710b","Participant Input into Design","4.1.1","NarrativeContent"
"SECTION 4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent_15","6f6028f5-f61b-4bae-b945-0993db06162f","Rationale for Trial Design","4.2","NarrativeContent"
"SECTION 4.2.1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent_16","b1409bb7-40b1-48db-ad63-f58b2448a882","Rationale for Comparator","4.2.1","NarrativeContent"
"SECTION 4.2.2","<div></div>","NarrativeContent_17","eb02f3ee-4465-416f-9c32-cfafe73b144c","Rationale for Adaptive or Novel Trial Design","4.2.2","NarrativeContent"
"SECTION 4.2.3","<div></div>","NarrativeContent_18","acefc3d4-b02c-4dd1-a532-0f59e662e7cd","Other Trial Design Considerations","4.2.3","NarrativeContent"
"SECTION 4.3","<div></div>","NarrativeContent_19","ee2dab85-2fac-4a43-89f9-532bc8308b97","Access to Trial Intervention After End of Trial","4.3","NarrativeContent"
"SECTION 4.4","<div></div>","NarrativeContent_20","d524585b-2079-49f8-b666-376ff95148d5","Start of Trial and End of Trial","4.4","NarrativeContent"
"SECTION 5","<div></div>","NarrativeContent_21","f0bb273d-f418-4f67-80a5-d4d581ed9282","TRIAL POPULATION","5","NarrativeContent"
"SECTION 5.1","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","NarrativeContent_22","d0358448-488a-47f2-b2e7-06e6dc7c0ae1","Selection of Trial Population","5.1","NarrativeContent"
"SECTION 5.2","<div></div>","NarrativeContent_23","bfa3ab86-3d96-4975-9c9c-dc2c3f03ff42","Rationale for Trial Population","5.2","NarrativeContent"
"SECTION 5.3","<div><usdm:section name=""M11-inclusion""></div>","NarrativeContent_24","dfa3bcad-f79e-43fd-a6fa-1f0b5b210605","Inclusion Criteria","5.3","NarrativeContent"
"SECTION 5.4","<div><usdm:section name=""M11-exclusion""></div>","NarrativeContent_25","6cedd94c-5919-4ae3-b7f4-32633f3ac8b1","Exclusion Criteria","5.4","NarrativeContent"
"SECTION 5.5","<div></div>","NarrativeContent_26","b57229d4-e8e5-498d-bb92-1cf5cb7202a1","Lifestyle Considerations","5.5","NarrativeContent"
"SECTION 5.5.1","<div></div>","NarrativeContent_27","c146f5d0-8607-4988-b241-3ba0c19829df","Meals and Dietary Restrictions","5.5.1","NarrativeContent"
"SECTION 5.5.2","<div><p>Not applicable</p></div>","NarrativeContent_28","e0bbe1bf-ee62-4c2d-aa59-26e32b1944f8","Caffeine, Alcohol, Tobacco, and Other Habits","5.5.2","NarrativeContent"
"SECTION 5.5.3","<div></div>","NarrativeContent_29","02eb536d-5ae6-4519-82e8-852185132fc7","Physical Activity","5.5.3","NarrativeContent"
"SECTION 5.5.4","<div></div>","NarrativeContent_30","899a2114-ecda-4543-9afc-083e7d75b908","Other Activity","5.5.4","NarrativeContent"
"SECTION 5.6","<div></div>","NarrativeContent_31","045463f2-b13e-4977-8ed8-a7728b43b128","Screen Failures","5.6","NarrativeContent"
"SECTION 6","<div></div>","NarrativeContent_32","99d73f2e-204b-4770-acac-cf8d5e6ea06f","TRIAL INTERVENTION AND CONCOMITANT THERAPY","6","NarrativeContent"
"SECTION 6.1","<div></div>","NarrativeContent_33","28d4899e-101e-4149-8d32-b4644079bcb6","Description of Trial Intervention","6.1","NarrativeContent"
"SECTION 6.2","<div></div>","NarrativeContent_34","ec475cff-5b8e-4eba-8a54-5ca180cf504d","Rationale for Trial Intervention","6.2","NarrativeContent"
"SECTION 6.3","<div></div>","NarrativeContent_35","d6d454d7-e780-413c-9e0e-67f27457ec0b","Dosing and Administration","6.3","NarrativeContent"
