"reference","name","label","id","uuid:ID","instanceType","synonyms"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","Body Temperature","Body Temperature","BiomedicalConcept_20","48998c11-1e13-403d-95b0-20c2c7f8238d","BiomedicalConcept","['Temperature']"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","Body Weight","Body Weight","BiomedicalConcept_21","ef6802b5-2b8f-46d9-bb19-e7c689b919b7","BiomedicalConcept","['Weight']"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","Body Height","Body Height","BiomedicalConcept_22","5f6c2d4c-2098-4e95-adfb-3a46727f8f7a","BiomedicalConcept","['Height']"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","BiomedicalConcept_23","f056994c-880a-4eef-812a-12637833a4dd","BiomedicalConcept","['ALT', 'SGPT']"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","Albumin Measurement","Albumin Measurement","BiomedicalConcept_24","fecf36ab-70c7-4c50-8751-0f828b6ab3a0","BiomedicalConcept","['Albumin']"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","BiomedicalConcept_25","5b4a05a5-21de-45d4-96fa-22dd18536c2f","BiomedicalConcept","['Alkaline Phosphatase']"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","BiomedicalConcept_26","ec8a42c9-ab2c-4bc6-a637-b60664d46931","BiomedicalConcept","['AST', 'SGOT']"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","Creatinine Measurement","Creatinine Measurement","BiomedicalConcept_27","76ae7e55-63b5-44e1-afd0-331cbe97b152","BiomedicalConcept","['Creatinine']"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","Potassium Measurement","Potassium Measurement","BiomedicalConcept_28","d187aa5b-4ecf-4eed-acb0-3c3bfb93dc51","BiomedicalConcept","['Potassium', 'K']"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","Sodium Measurement","Sodium Measurement","BiomedicalConcept_29","447a79e7-4dbf-489e-b345-5d2222bbafe8","BiomedicalConcept","['Sodium', 'NA']"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","Adverse Event","Adverse Event","BiomedicalConcept_1","3cd25803-ba29-435f-a680-32083226fe61","BiomedicalConcept","['Adverse Event Reported Term', 'AETERM']"
