"name","text","id","uuid:ID","instanceType"
"ENCOUNTER_START_RULE_1","Subject identifier","TransitionRule_1","b846189c-a553-4c37-8ce1-5f87f304b931","TransitionRule"
"ENCOUNTER_START_RULE_1","completion of screening activities","TransitionRule_2","856c9f9d-a871-450f-b0b0-40d94c19e093","TransitionRule"
"ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","a7490028-fe28-4a92-a91c-0a20dd39f9f5","TransitionRule"
"ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","TransitionRule_4","c00c66e1-03f0-42ac-bab6-522d8770fdc6","TransitionRule"
"ENCOUNTER_START_RULE_3","Radomized","TransitionRule_5","ec896ea0-762c-4202-81dd-3d25d4df96d5","TransitionRule"
"ENCOUNTER_START_RULE_12","End of treatment","TransitionRule_6","4350d441-d0be-4379-aa58-2ed7f357c9c9","TransitionRule"
"ELEMENT_START_RULE_1","Informed consent","TransitionRule_7","2987fea3-b128-45f7-97d8-9eea074edcc0","TransitionRule"
"ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","44250a26-6bed-4d07-878d-c4dbfd24c897","TransitionRule"
"ELEMENT_START_RULE_2","Administration of first dose","TransitionRule_9","2934bf45-da19-4347-a9f4-69f9c63c72a5","TransitionRule"
"ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","TransitionRule_14","c1f77a4c-454c-46ac-8c63-637c3cec4892","TransitionRule"
"ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","27844ec5-3abe-4e3b-8d2d-3a5dc71238e4","TransitionRule"
"ELEMENT_START_RULE_3","Administration of first dose","TransitionRule_10","7162242d-fabc-4242-98e9-798e8234a83f","TransitionRule"
"ELEMENT_START_RULE_4","Randomized","TransitionRule_11","219a52ad-e6af-497a-beef-eae16b4d1c30","TransitionRule"
"ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","0971e40e-a078-475e-9718-519d5c631894","TransitionRule"
"ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","71ea98a2-2e90-45fc-bbb7-316055081702","TransitionRule"
