"decode","uuid:ID","codeSystem","instanceType","code","codeSystemVersion","id"
"Interventional Study","92991c13-f815-4bf0-b746-5511054bdb94","http://www.cdisc.org","Code","C98388","2023-12-15","Code_1"
"Phase II Trial","52acd7e5-b5e8-4661-bb50-8c8aa114897e","http://www.cdisc.org","Code","C15601","2023-12-15","Code_2"
"Sponsor Approval Date","c3468664-b798-448c-ba00-1b86e3ac2deb","http://www.cdisc.org","Code","C132352","2023-12-15","Code_9"
"Global","f7430915-17b6-40ff-bc34-ac691c6ebc97","http://www.cdisc.org","Code","C68846","2023-12-15","Code_10"
"IRB/IEC Feedback","f8615c6b-2c0a-45f1-9810-17f0267ca631","http://www.cdisc.org","Code","C99904x3","2023-12-15","Code_72"
"Other","6bf48ae8-99a4-4c59-b852-d8c22afe5205","http://www.cdisc.org","Code","C17649","2023-12-15","Code_73"
"Region","4e308ecb-e6c7-44ec-9a34-3f7a7155a244","http://www.cdisc.org","Code","C41129","2023-12-15","Code_75"
"Europe","2bb445e0-884e-4369-bec2-c99aacaa561b","ISO 3166 1 alpha3","Code","150","2020-08","Code_74"
"Eli Lilly","aa686ee1-4d8c-4fa9-91a0-6505e0ef58d5","SPONSOR","Code","PHARMA","12","Code_4"
"Clinical Study Sponsor","52b0359f-b2dd-46c3-a6ad-3ff0601a6e19","http://www.cdisc.org","Code","C70793","2023-12-15","Code_76"
"United States of America","1755438a-bf35-4ea5-bcfc-d50b6cc71b28","ISO 3166 1 alpha3","Code","USA","2020-08","Code_77"
"Study Registry","b0366c52-4b92-4a81-b2f8-386639676669","http://www.cdisc.org","Code","C93453","2023-12-15","Code_78"
"United States of America","63e29dc2-4623-4bfc-9226-94e9b6dfbb49","ISO 3166 1 alpha3","Code","USA","2020-08","Code_79"
"Treatment Study","e2a914ff-6ae4-49cd-84a5-394a002568fc","http://www.cdisc.org","Code","C49656","2023-12-15","Code_137"
"Efficacy Study","02a24e92-e4f2-41db-b42b-b64300b43ea3","http://www.cdisc.org","Code","C49666","2023-12-15","Code_138"
"Safety Study","9fbac703-a3ff-4c7f-ab77-4100349d26cc","http://www.cdisc.org","Code","C49667","2023-12-15","Code_139"
"Pharmacokinetic Study","2af3b8c1-967a-488e-8a88-0fcc1e3cc862","http://www.cdisc.org","Code","C49663","2023-12-15","Code_140"
"Mild to Moderate Alzheimer's Disease","85199b55-bafe-4610-aa6f-6d4abf715b43","SPONSOR","Code","MILD_MOD_ALZ","12","Code_134"
"Alzheimer's disease","e3452551-f108-48c3-985c-38b86bf57c3e","SNOMED","Code","26929004","January 31, 2018","Code_135"
"EXTENSION","76b94be9-9726-407b-8562-d93ee95c0e1f","http://www.cdisc.org","Code","C99907x1","2023-12-15","Code_143"
"ADAPTIVE","2de05c0d-2563-478c-a9e2-82804cdcfb17","http://www.cdisc.org","Code","C98704","2023-12-15","Code_144"
"Parallel Study","afff5a29-a120-404b-a506-34677825175f","http://www.cdisc.org","Code","C82639","2023-12-15","Code_141"
"Visit","e5bc1bbc-526d-4929-8536-ec1caafb19ba","http://www.cdisc.org","Code","C25716","2023-12-15","Code_83"
"Clinic","4cd74352-12ea-4776-bc42-f38f01e94f22","http://www.cdisc.org","Code","C51282","2023-12-15","Code_84"
"In Person","5e06bbdd-ff96-4108-83a5-54e2308039e9","http://www.cdisc.org","Code","C175574","2023-12-15","Code_85"
"Visit","a1147a20-03ba-4a7a-bef0-2ed311b017ed","http://www.cdisc.org","Code","C25716","2023-12-15","Code_86"
"Clinic","145837c1-7ff9-41ab-aede-8881365ab461","http://www.cdisc.org","Code","C51282","2023-12-15","Code_87"
"In Person","6b49930d-e16e-4c20-9d3f-66cfc8f190e9","http://www.cdisc.org","Code","C175574","2023-12-15","Code_88"
"Visit","679643ce-140c-407c-8d5d-47da5895eeaf","http://www.cdisc.org","Code","C25716","2023-12-15","Code_89"
"Clinic","dd9e3e26-2b59-43e8-b4b2-b8e64ed37250","http://www.cdisc.org","Code","C51282","2023-12-15","Code_90"
"In Person","c3ede447-b57d-4be7-a6fc-224c87ac29a6","http://www.cdisc.org","Code","C175574","2023-12-15","Code_91"
"Visit","5640d7ae-a5b5-40cd-84ae-3e57f5a23ebb","http://www.cdisc.org","Code","C25716","2023-12-15","Code_92"
"Clinic","3faa8f03-a544-4a39-86dc-196ff9465011","http://www.cdisc.org","Code","C51282","2023-12-15","Code_93"
"In Person","e433d061-e20e-442c-b9ed-5a2d094b58f5","http://www.cdisc.org","Code","C175574","2023-12-15","Code_94"
"Visit","8385fef3-0bd4-489a-83d2-bb2bf5923e9f","http://www.cdisc.org","Code","C25716","2023-12-15","Code_95"
"Clinic","da802287-555c-49c5-9862-bcbd524152df","http://www.cdisc.org","Code","C51282","2023-12-15","Code_96"
"In Person","dbbb84e5-f1eb-482c-b3eb-6932470482c6","http://www.cdisc.org","Code","C175574","2023-12-15","Code_97"
"Visit","ebd93fe4-97e8-40e5-9671-ee53dde6894d","http://www.cdisc.org","Code","C25716","2023-12-15","Code_98"
"Clinic","3edc694c-7bed-45ab-a1b5-fb7532689e67","http://www.cdisc.org","Code","C51282","2023-12-15","Code_99"
"In Person","822caad6-0d5b-44f2-8ca7-909f1972a461","http://www.cdisc.org","Code","C175574","2023-12-15","Code_100"
"Visit","1b6fb03a-0254-445a-8ec9-6a4ca1d22ebb","http://www.cdisc.org","Code","C25716","2023-12-15","Code_101"
"Clinic","cfdec394-03b7-44de-89e8-ae9d31068244","http://www.cdisc.org","Code","C51282","2023-12-15","Code_102"
"In Person","c1306909-3c24-4a98-a985-882c3f1eeb52","http://www.cdisc.org","Code","C175574","2023-12-15","Code_103"
"Telephone Call","fe5ba678-973b-40a0-97c8-d9928d0dcef9","http://www.cdisc.org","Code","C171537","2023-12-15","Code_104"
"Visit","e4e4683b-2930-4116-9dd5-c8ef06583d2a","http://www.cdisc.org","Code","C25716","2023-12-15","Code_105"
"Clinic","3ee3377f-df75-490e-8987-8c87c472ca26","http://www.cdisc.org","Code","C51282","2023-12-15","Code_106"
"In Person","c149055b-1e55-404c-9575-44b7cd6d45d9","http://www.cdisc.org","Code","C175574","2023-12-15","Code_107"
"Telephone Call","d8fb43ca-7fc9-48b2-8ceb-b079278f2875","http://www.cdisc.org","Code","C171537","2023-12-15","Code_108"
"Visit","5c28d400-748a-474b-a347-07aa05eb5f9e","http://www.cdisc.org","Code","C25716","2023-12-15","Code_109"
"Clinic","a5a82d6a-78a8-4cad-ac99-436fad57bd43","http://www.cdisc.org","Code","C51282","2023-12-15","Code_110"
"In Person","8d390a89-4fce-4855-9e31-68799fc23ca3","http://www.cdisc.org","Code","C175574","2023-12-15","Code_111"
"Telephone Call","e2eefb8f-5002-40ed-8a5e-e8e09145b327","http://www.cdisc.org","Code","C171537","2023-12-15","Code_112"
"Visit","54cb2bc4-df25-4135-87eb-97e6dc70db07","http://www.cdisc.org","Code","C25716","2023-12-15","Code_113"
"Clinic","a2308ff6-be32-4158-8be5-d2298fcc36c5","http://www.cdisc.org","Code","C51282","2023-12-15","Code_114"
"In Person","44d942c0-6e2c-49d0-9e93-b5cc448b85da","http://www.cdisc.org","Code","C175574","2023-12-15","Code_115"
"Telephone Call","68ea0379-e7d6-440f-8fde-b0c4b9a6bae2","http://www.cdisc.org","Code","C171537","2023-12-15","Code_116"
"Visit","4feedd85-a2ff-4a5e-a09b-ad87a17770dd","http://www.cdisc.org","Code","C25716","2023-12-15","Code_117"
"Clinic","0df5832c-b345-46f7-bbc4-d81fe28c6708","http://www.cdisc.org","Code","C51282","2023-12-15","Code_118"
"In Person","dea97560-5aa6-4b3b-8ecc-25bb2f232ff2","http://www.cdisc.org","Code","C175574","2023-12-15","Code_119"
"Visit","45da87cf-ef12-4c55-a21f-8bbb442977a5","http://www.cdisc.org","Code","C25716","2023-12-15","Code_120"
"Clinic","1dd0728b-4020-4890-a9ce-cba88cdaf10d","http://www.cdisc.org","Code","C51282","2023-12-15","Code_121"
"In Person","db0d5b21-b5a2-4209-92f0-fa7871d681fd","http://www.cdisc.org","Code","C175574","2023-12-15","Code_122"
"CT of head without contrast","cb4f0ef5-f4a0-4dcd-aac0-27a17a75f740","SNOMED","Code","383371000119108","January 31, 2018","Code_80"
"Subject Supine","ca13b9c6-0023-4b9e-917f-eb7d8cf02c13","SPONSOR","Code","123","12","Code_81"
"Subject Standing","62d78a5c-0ed4-44a5-b384-a0ba67a288ae","SPONSOR","Code","124","12","Code_82"
"Dictionary-derived Term","2c9acbdb-0eee-4c9b-b566-14c0f78f61d7","http://www.cdisc.org","Code","C82977","2023-12-15","Code_429"
"Reported Event Term","5c0a57e0-341d-4c82-b9ba-a1465c8db459","http://www.cdisc.org","Code","C82571","2023-12-15","Code_430"
"Observation Start Date Time","62429220-4a06-4904-81a0-227e4f1b2094","http://www.cdisc.org","Code","C82517","2023-12-15","Code_431"
"Informed Consent","8a7c0b4c-f88c-41e4-9de0-d56cf39b0fc5","http://www.cdisc.org","Code","C16735","2023-12-15","Code_432"
"Male","a2e7e691-3b34-4920-9bb5-f7014122f51d","http://www.cdisc.org","Code","C20197","2023-12-15","Code_433"
"Female","7e0e4117-4af7-4aa8-926f-348390993c02","http://www.cdisc.org","Code","C16576","2023-12-15","Code_434"
"Sex","eb9c8b8e-b257-468b-b589-4c65a5dfe632","http://www.cdisc.org","Code","C28421","2023-12-15","Code_435"
"Sex","e58fccdd-0415-41aa-9c6f-ba2c790aa0a8","http://www.cdisc.org","Code","C28421","2023-12-15","Code_436"
"Race","ef8f9c70-fd64-4259-8cd9-eaa88edc3ea5","http://www.cdisc.org","Code","C17049","2023-12-15","Code_437"
"Race","d5aa30fc-3ae9-45fd-b0d5-09a5165934cd","http://www.cdisc.org","Code","C17049","2023-12-15","Code_438"
"TEMP","8deb76fb-f1af-4a01-86a2-cfe1e2552b2e","http://www.cdisc.org","Code","C174446","2023-12-15","Code_439"
"Clinical Test Result","1ea1eb62-efd3-491c-9459-36bcdef44211","http://www.cdisc.org","Code","C77140","2023-12-15","Code_440"
"Degree Celsius","cca83719-d9d2-4ab0-ac3e-6c4081c9c3fc","http://www.cdisc.org","Code","C42559","2023-12-15","Code_441"
"Degree Fahrenheit","859e015f-dbf8-4710-b768-d5197a1ccaa4","http://www.cdisc.org","Code","C44277","2023-12-15","Code_442"
"Kelvin","729444b2-d859-47a9-bbaa-3a482931dcc2","http://www.cdisc.org","Code","C42537","2023-12-15","Code_443"
"Unit of Temperature","0f849dc6-da56-44ce-a052-270eb2ed2a35","http://www.cdisc.org","Code","C44276","2023-12-15","Code_444"
"Axilla","06a5da35-b372-445d-b1c5-b870b6839291","http://www.cdisc.org","Code","C12674","2023-12-15","Code_445"
"Ear","ed516566-0256-46e1-84ae-054049da6df7","http://www.cdisc.org","Code","C12394","2023-12-15","Code_446"
"Forehead","348c5b8d-3cc3-4da4-8346-4ec3da5ee9de","http://www.cdisc.org","Code","C89803","2023-12-15","Code_447"
"Oral Cavity","fa532da4-a313-4a01-993e-1b6af5f50aa1","http://www.cdisc.org","Code","C12421","2023-12-15","Code_448"
"Rectum","66637f90-8662-4360-aa76-36dc01f71bfd","http://www.cdisc.org","Code","C12390","2023-12-15","Code_449"
"Anatomic Site","cb4b1bf7-a4ce-4f5a-bab8-67d5e145ad74","http://www.cdisc.org","Code","C13717","2023-12-15","Code_450"
"TEMP","45d04032-604e-4854-9179-6764bb75d95b","http://www.cdisc.org","Code","C174446","2023-12-15","Code_451"
"WEIGHT","4b5eea9c-5179-4f0a-827c-8a5ec14292fa","http://www.cdisc.org","Code","C25208","2023-12-15","Code_452"
"Clinical Test Result","f74f3916-184b-4b9e-980f-7ab8fa413041","http://www.cdisc.org","Code","C77140","2023-12-15","Code_453"
"Pound","03ac20b8-60ac-449c-bb6d-43a3c35302b7","http://www.cdisc.org","Code","C48531","2023-12-15","Code_454"
"Gram","e0888a81-8a49-457d-aa3f-f8864b4ae4f9","http://www.cdisc.org","Code","C48155","2023-12-15","Code_455"
"Kilogram","9fd90ac4-231f-45c6-b0f7-0acdee4d3bc0","http://www.cdisc.org","Code","C28252","2023-12-15","Code_456"
"Unit of Weight","01b63d8d-4b0a-4678-b650-1d93310e32f4","http://www.cdisc.org","Code","C48208","2023-12-15","Code_457"
"WEIGHT","478320ae-a1de-458d-b2f7-4687035f6954","http://www.cdisc.org","Code","C25208","2023-12-15","Code_458"
"HEIGHT","193a9eb9-eb8d-4bbd-8639-8cb8f971e001","http://www.cdisc.org","Code","C25347","2023-12-15","Code_459"
"Clinical Test Result","1df65c45-984c-4688-99a3-a581b19b9a06","http://www.cdisc.org","Code","C77140","2023-12-15","Code_460"
"Centimeter","2275fbe3-81ca-4bfa-9be1-14747e03a7d3","http://www.cdisc.org","Code","C49668","2023-12-15","Code_461"
"Inch","c91d068b-90a5-4e57-abdb-a9499fe75a1b","http://www.cdisc.org","Code","C48500","2023-12-15","Code_462"
"Meter","a62ce21c-7e64-48dc-8fff-2feef19b626b","http://www.cdisc.org","Code","C41139","2023-12-15","Code_463"
"Unit of Height","b8966d5c-29ef-489b-a48a-2a345e9d52a9","http://www.cdisc.org","Code","C168688","2023-12-15","Code_464"
"HEIGHT","c02128a1-18c2-47ea-ab79-cde118745197","http://www.cdisc.org","Code","C25347","2023-12-15","Code_465"
"ALT","c3783da5-860e-4dc9-83cd-e03bda571f34","http://www.cdisc.org","Code","C64433","2023-12-15","Code_466"
"Laboratory Test Result","ff2aeb61-54de-4b03-81ef-393eb928ccd9","http://www.cdisc.org","Code","C36292","2023-12-15","Code_467"
"Unit per Liter","db729770-1022-4148-8d90-623ed7cdb8c8","http://www.cdisc.org","Code","C67456","2023-12-15","Code_468"
"Microkatal per Liter","b3189764-6b38-40f8-ab15-385d8e9e7b61","http://www.cdisc.org","Code","C67397","2023-12-15","Code_469"
"International Unit per Liter","dcebe9ef-ef3e-40b9-b30b-229146ac432e","http://www.cdisc.org","Code","C67376","2023-12-15","Code_470"
"Nanokatal per Liter","76af58d8-d279-43d2-aa33-33516b89be4b","http://www.cdisc.org","Code","C70510","2023-12-15","Code_471"
"Unit of Catalytic Activity Concentration","e6a6db41-1dfe-459d-bbc3-ca667077b6cb","http://www.cdisc.org","Code","C67365","2023-12-15","Code_472"
"Biospecimen Type","20cb66f7-be10-45ca-b142-1e4d0bedc2e4","http://www.cdisc.org","Code","C70713","2023-12-15","Code_473"
"No","f2b69cfe-0f3e-4852-b6ba-2925375ea886","http://www.cdisc.org","Code","C49487","2023-12-15","Code_474"
"Yes","1d41a02d-1912-478d-87db-50a8bf60a365","http://www.cdisc.org","Code","C49488","2023-12-15","Code_475"
"Laboratory Test Fasting Status","51586f88-e0ea-422c-9756-e2a5bfc22220","http://www.cdisc.org","Code","C83309","2023-12-15","Code_476"
"ALT","98eed4ce-0230-4cce-96df-dc997d5e1331","http://www.cdisc.org","Code","C64433","2023-12-15","Code_477"
