"text","id","instanceType","uuid:ID","name"
"Subject identifier","TransitionRule_1","TransitionRule","7fbc964c-c737-4645-81da-37bc56cdb79a","ENCOUNTER_START_RULE_1"
"completion of screening activities","TransitionRule_2","TransitionRule","63675e9a-c557-4892-98fb-af6714f1e91d","ENCOUNTER_START_RULE_1"
"subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","TransitionRule","af859a31-b89c-4243-b987-a7cde2efd612","ENCOUNTER_START_RULE_2"
"subject has connection of ambulatory ECG machine removed","TransitionRule_4","TransitionRule","a94ca7d0-a628-4f8a-9b8a-b49d1925d726","ENCOUNTER_START_RULE_3"
"Radomized","TransitionRule_5","TransitionRule","41580182-b38e-478e-9ead-bcaf7f6e3fd2","ENCOUNTER_START_RULE_3"
"End of treatment","TransitionRule_6","TransitionRule","fac10d29-be9f-4165-a1d4-9e5505092cf9","ENCOUNTER_START_RULE_12"
"Informed consent","TransitionRule_7","TransitionRule","c78f0b1e-03f2-42f8-80aa-593865ea5f5b","ELEMENT_START_RULE_1"
"Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","TransitionRule","d9285e72-7e18-4f5f-96c9-ec93bdf57c95","ELEMENT_END_RULE_1"
"Administration of first dose","TransitionRule_9","TransitionRule","7af65392-9668-4ca2-bfaa-b3921a33cee8","ELEMENT_START_RULE_2"
"End of last scheduled visit on study (including early termination)","TransitionRule_14","TransitionRule","a844d552-e495-440f-888c-01959d8e2d83","ELEMENT_START_RULE_7"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","TransitionRule","555c2bc7-d109-47aa-959f-f42846771f78","ELEMENT_END_RULE_7"
"Administration of first dose","TransitionRule_10","TransitionRule","ff3dff95-96e8-4f56-9969-344621018846","ELEMENT_START_RULE_3"
"Randomized","TransitionRule_11","TransitionRule","5c0c3253-ccbb-4549-bbb9-62e0fa00d6c6","ELEMENT_START_RULE_4"
"Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","TransitionRule","45f5f7b1-e7b7-4422-bc16-aa9f87a72258","ELEMENT_START_RULE_5"
"Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","TransitionRule","f7c083c6-76c8-4d62-9034-5bf375c9d717","ELEMENT_START_RULE_6"
