"windowLower","id","valueLabel","name","windowLabel","instanceType","uuid:ID","label","description","windowUpper","value"
"","Timing_1","2 weeks","TIM1","","Timing","b8f76ef7-a55a-424a-9a5d-b76e53a2535a","Screening","Screening timing","","P2W"
"PT4H","Timing_2","2 days","TIM2","-4..0 hours","Timing","1ad9a873-70f4-4544-b24e-d8dc11352ca1","Pre dose","Pre dose timing","PT0H","P2D"
"","Timing_3","1 Day","TIM3","","Timing","0707d05f-94ab-45fa-bd9a-6ea8cdd2f6e0","Dosing","Dosing anchor","","P1D"
"P3D","Timing_4","2 Weeks","TIM4","-3..3 days","Timing","9d4a136e-cce8-4569-8b6f-fb9e563012e5","Week 2","Week 2 timing","P3D","P2W"
"P3D","Timing_5","4 Weeks","TIM5","-3..3 days","Timing","c808a62c-a845-4a54-9013-18316a8f27e4","Week 4","Week 4 timing","P3D","P4W"
"P3D","Timing_6","6 Weeks","TIM6","-3..3 days","Timing","4ee2f834-506d-48db-b677-23afdf6c0cf4","Week 6","Week 6 timing","P3D","P6W"
"P3D","Timing_7","8 Weeks","TIM7","-3..3 days","Timing","6b697890-aebf-47a7-b109-299a2ebdff62","Week 8","Week 8 timing","P3D","P8W"
"P4D","Timing_9","12 Weeks","TIM9","-4..4 days","Timing","eea26c01-5465-41df-94b6-f42cb9db1728","Week 12","Week 12 timing","P4D","P12W"
"P4D","Timing_11","16 Weeks","TIM11","-4..4 days","Timing","ffd7d8b3-6b6f-4230-9aad-b339a5882225","Week 16","Week 16 timing","P4D","P16W"
"P4D","Timing_13","20 Weeks","TIM13","-4..4 days","Timing","ecb449be-3af3-46f3-b287-c93c97d77224","Week 20","Week 20 timing","P4D","P20W"
"P4D","Timing_15","24 Weeks","TIM15","-4..4 days","Timing","0b235ca2-c42c-44b2-b694-c058a0a0d929","Week 24","Week 24 timing","P4D","P24W"
"P3D","Timing_16","26 Weeks","TIM16","-3..3 days","Timing","0dba9ddc-70b6-4e1e-9338-34da0c6848ac","Week 26","Week 26 timing","P3D","P26W"
"","Timing_8","2 Weeks","TIM8","","Timing","4d87709c-b4ab-4058-a4a7-b0322c775da5","Week 8 Home","Week 8 at home timing","","P2W"
"","Timing_10","2 Weeks","TIM10","","Timing","657ee5d9-f4ff-4fa8-adb0-5bf930a1c015","Week 12 Home","Week 12 at home timing","","P2W"
"","Timing_12","2 Weeks","TIM12","","Timing","fc2cf1ac-be2e-43c5-8ee5-d96e135a2724","Week 16 Home","Week 16 at home timing","","P2W"
"","Timing_14","2 Weeks","TIM14","","Timing","e2774f7b-2ad3-4772-84a2-3ec21f9790bd","Week 20 Home","Week 20 at home timing","","P2W"
"","Timing_17","1 Day","TIM17","","Timing","8aa35457-e983-4fcd-b1f6-873a2c4a3e68","Adverse Event","Adverse Event","","P1D"
"","Timing_18","1 Day","TIM18","","Timing","3007d442-affb-4aec-b648-4ad08b18ea2d","Early Termination","Early Termination","","P1D"
"","Timing_19","0 mins","TIM19","","Timing","095d06b5-6ee5-4cd6-9bcc-fb94f47e9c18","Supine","Supine","","PT0M"
"","Timing_20","5 mins","TIM20","","Timing","a643b2aa-a704-44f4-846d-70845ff7c627","VS while supine","VS while supine","","PT5M"
"","Timing_21","0 min","TIM21","","Timing","828c5237-d168-4ead-a935-4c54803c1f87","Standing","Standing","","PT0M"
"","Timing_22","1 min","TIM22","","Timing","c1b9b580-d2c6-44d4-9bd5-da47fcd3d880","VS while standing","VS while standing","","PT1M"
"","Timing_23","0 min","TIM23","","Timing","db5d8d28-46c3-4e06-ab17-aada1d938b96","Standing","Standing","","PT0M"
"","Timing_24","2 min","TIM24","","Timing","92427521-0591-42bd-8ed6-ffbd75dee9ac","VS while standing","VS while standing","","PT2M"
